stock_id,stock_name,price_history_rows,latest_price_date,tdcc_history_rows,latest_tdcc_date,tdcc_history_status,has_individual_md,has_individual_pdf,has_sell_strategy_summary,has_warrant_data,has_revenue_data,has_candidate_signal,report_status,data_quality_status,notes,updated_at
0066,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00660,元大歐洲50,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00661,元大日經225,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00662,富邦NASDAQ,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00668,國泰美國道瓊,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0067,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00678,群益那斯達克生技,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0068,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0069,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00690,兆豐藍籌30,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00692,富邦公司治理,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0070,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00700,富邦恒生國企,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00701,國泰股利精選30,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00702,國泰標普低波高息,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00703,台新MSCI中國,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00709,富邦歐洲,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0071,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00712,復華富時不動產,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00713,元大台灣高息低波,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00714,群益道瓊美國地產,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00717,富邦美國特別股,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00728,第一金工業30,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0073,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00730,富邦臺灣優質高息,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00731,復華富時高息低波,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00733,富邦臺灣中小,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00735,國泰臺韓科技,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00736,國泰新興市場,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00737,國泰AI機器人,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00739,元大MSCI A股,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0075,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00752,中信中國50,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00757,統一FANG+,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
0076,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00762,元大全球AI,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00770,國泰北美科技,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:10 Asia/Taipei
00771,元大US高息特別股,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00783,富邦中証500,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
0083,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00830,國泰費城半導體,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
0085,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00850,元大臺灣ESG永續,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00851,台新全球AI,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00858,永豐美國500大,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00861,元大全球未來通訊,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
0087,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00875,國泰網路資安,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00876,元大全球5G,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00877,復華中國5G,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00878,國泰永續高股息,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
0088,,0,,0,,tdcc_history_missing,False,False,False,True,False,False,insufficient_data,insufficient_data,price_history_missing; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00881,國泰台灣科技龍頭,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00882,中信中國高股息,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00885,富邦越南,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
00886,永豐美國科技,6,20260529,0,,tdcc_history_missing,False,False,False,False,False,False,partial_rawdata_report,partial,insufficient_price_history; tdcc_history_missing,2026-05-29 19:34:11 Asia/Taipei
