generated_at,date,stock_id,stock_name,status,message
2026-05-25 12:40:07 Asia/Taipei,20260522,1723,中碳,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,5876,上海商銀,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3617,碩天,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,1733,五鼎,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2535,達欣工,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,1409,新纖,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3045,台灣大,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,9946,三發地產,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2816,旺旺保,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3413,京鼎,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,8342,益張,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3038,全台,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,6534,正瀚-創,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3705,永信,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,1323,永裕,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,4905,台聯電,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,7718,友鋮,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2024,志聯,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,5511,德昌,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2035,唐榮,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2412,中華電,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,5209,新鼎,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,5609,中菲行,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,6576,逸達,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,3313,斐成,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,1233,天仁,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,1734,杏輝,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2414,精技,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2606,裕民,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,4744,皇將,skipped_existing,
2026-05-25 12:40:07 Asia/Taipei,20260522,2610,華航,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,3050,鈺德,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,3227,原相,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1810,和成,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,3434,哲固,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,8409,商之器,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,2505,國揚,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,4961,天鈺,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,6180,橘子,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,8908,欣雄,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1319,東陽,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1737,臺鹽,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1808,潤隆,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,2731,雄獅,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,6605,帝寶,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,5306,桂盟,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,6680,鑫創電子,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,8109,博大,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1527,鑽全,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,4527,方土霖,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1460,宏遠,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1452,宏益,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1474,弘裕,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1584,精剛,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1471,首利,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1805,寶徠,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1414,東和,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1438,三地開發,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1626,艾美特-KY,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1799,易威,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1443,立益物流,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1614,三洋電,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1617,榮星,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1760,寶齡富錦,skipped_existing,
2026-05-25 12:40:08 Asia/Taipei,20260522,1308,亞聚,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1535,中宇,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1906,寶隆,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1304,台聚,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1305,華夏,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1325,恆大,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1402,遠東新,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1410,南染,skipped_existing,
2026-05-25 12:40:09 Asia/Taipei,20260522,1563,巧新,skipped_existing,
