segment_type,segment_value,source_artifact,model_id,model_name_zh,sample_size,report_date_min,report_date_max,snapshot_report_count,generated_at,evaluated_d1_count,win_rate_d1,avg_return_d1,median_return_d1,avg_mfe_d1,avg_mae_d1,evaluated_d3_count,win_rate_d3,avg_return_d3,median_return_d3,avg_mfe_d3,avg_mae_d3,evaluated_d5_count,win_rate_d5,avg_return_d5,median_return_d5,avg_mfe_d5,avg_mae_d5,evaluated_d10_count,win_rate_d10,avg_return_d10,median_return_d10,avg_mfe_d10,avg_mae_d10,confidence_status,advisory_only
model_mainstream_segment,hot_theme_pullback|mainstream,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,599,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,544,47.06%,0.16%,0.00%,2.65%,-2.24%,453,42.38%,-0.13%,-1.12%,5.37%,-4.65%,351,41.88%,-0.44%,-1.71%,6.88%,-6.29%,159,49.06%,2.33%,0.00%,10.39%,-7.96%,ok_first_pass,True
model_mainstream_segment,hot_theme_pullback|non_mainstream,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,65,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,59,50.85%,-0.03%,0.20%,2.43%,-1.97%,48,52.08%,0.78%,0.42%,6.34%,-4.02%,38,55.26%,1.18%,0.50%,8.55%,-5.57%,16,62.50%,3.05%,2.72%,11.34%,-4.78%,small_or_early_snapshot_sample,True
model_mainstream_segment,near_high_neckline_challenge|mainstream,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,2,20260615,20260622,2,2026-07-05 05:07:42 Asia/Taipei,2,0.00%,-4.73%,-4.73%,0.86%,-5.71%,2,50.00%,-2.20%,-2.20%,3.36%,-7.33%,2,50.00%,-3.99%,-3.99%,4.53%,-9.10%,1,0.00%,-0.78%,-0.78%,11.41%,-5.31%,small_or_early_snapshot_sample,True
model_mainstream_segment,near_high_neckline_challenge|non_mainstream,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,11,20260615,20260624,6,2026-07-05 05:07:42 Asia/Taipei,11,45.45%,0.06%,0.00%,1.52%,-1.06%,11,27.27%,-1.51%,-0.73%,1.90%,-2.53%,11,18.18%,-2.35%,-0.84%,2.07%,-3.37%,8,25.00%,-3.42%,-2.27%,2.33%,-5.49%,small_or_early_snapshot_sample,True
model_mainstream_segment,platform_strengthening|mainstream,model_signals_for_report,platform_strengthening,平台整理轉強模型,4,20260617,20260624,3,2026-07-05 05:07:42 Asia/Taipei,4,25.00%,-1.25%,-0.87%,1.04%,-2.22%,4,25.00%,-2.21%,-2.11%,1.24%,-5.53%,4,25.00%,-2.00%,-0.65%,2.71%,-6.24%,1,0.00%,-2.81%,-2.81%,0.76%,-4.21%,small_or_early_snapshot_sample,True
model_mainstream_segment,platform_strengthening|non_mainstream,model_signals_for_report,platform_strengthening,平台整理轉強模型,5,20260615,20260624,5,2026-07-05 05:07:42 Asia/Taipei,5,80.00%,1.13%,0.93%,2.47%,-0.77%,5,0.00%,-1.76%,-1.38%,3.22%,-2.79%,5,20.00%,-2.04%,-1.86%,3.22%,-3.24%,3,0.00%,-2.85%,-0.71%,5.07%,-4.84%,small_or_early_snapshot_sample,True
model_mainstream_segment,price_pullback_23ema|mainstream,model_signals_for_report,price_pullback_23ema,股價回檔模型,1730,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,1560,46.86%,0.09%,-0.16%,2.73%,-2.27%,1261,39.02%,-0.56%,-1.33%,5.08%,-4.77%,978,36.91%,-1.15%,-2.31%,6.46%,-6.48%,407,44.47%,0.48%,-0.72%,9.49%,-7.75%,ok_first_pass,True
model_mainstream_segment,price_pullback_23ema|non_mainstream,model_signals_for_report,price_pullback_23ema,股價回檔模型,1110,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,1000,45.80%,0.12%,0.00%,1.74%,-1.37%,836,39.11%,-0.27%,-0.54%,3.02%,-2.83%,663,41.78%,0.03%,-0.67%,4.18%,-3.61%,290,40.34%,0.51%,-0.79%,5.73%,-5.00%,ok_first_pass,True
model_mainstream_segment,pullback_short_reclaim|mainstream,model_signals_for_report,pullback_short_reclaim,回檔後短線轉強模型,722,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,691,43.27%,-0.09%,-0.39%,2.74%,-2.50%,618,39.48%,-0.17%,-1.33%,5.56%,-4.71%,545,38.35%,-0.66%,-2.16%,7.21%,-6.06%,306,47.06%,0.57%,-0.66%,10.84%,-7.62%,ok_first_pass,True
model_mainstream_segment,pullback_short_reclaim|non_mainstream,model_signals_for_report,pullback_short_reclaim,回檔後短線轉強模型,479,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,460,45.00%,0.03%,0.00%,1.81%,-1.65%,404,35.40%,-0.35%,-0.92%,3.39%,-3.18%,327,40.06%,-0.19%,-1.02%,4.54%,-4.01%,135,42.22%,-0.75%,-0.76%,5.83%,-5.92%,ok_first_pass,True
model_mainstream_segment,revenue_unreacted_range|mainstream,model_signals_for_report,revenue_unreacted_range,營收爆發但股價尚未反應模型,1138,20260615,20260703,12,2026-07-05 05:07:42 Asia/Taipei,1044,48.47%,0.01%,0.00%,2.63%,-2.37%,874,44.51%,-0.19%,-0.77%,5.42%,-4.74%,635,46.61%,0.17%,-0.63%,7.19%,-6.01%,219,50.23%,1.25%,0.11%,11.32%,-7.37%,ok_first_pass,True
model_mainstream_segment,revenue_unreacted_range|non_mainstream,model_signals_for_report,revenue_unreacted_range,營收爆發但股價尚未反應模型,600,20260615,20260703,12,2026-07-05 05:07:42 Asia/Taipei,542,49.08%,0.18%,0.00%,1.80%,-1.34%,465,41.94%,-0.18%,-0.40%,3.12%,-2.73%,349,44.99%,-0.09%,-0.28%,4.12%,-3.50%,126,32.54%,-2.00%,-1.40%,5.23%,-5.21%,ok_first_pass,True
model_mainstream_segment,tdcc_short_term_continuation_d5_d10|mainstream,model_signals_for_report,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,220,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,207,44.93%,-0.21%,-0.50%,3.60%,-3.51%,187,40.11%,-0.73%,-1.56%,7.40%,-6.83%,168,42.86%,-1.45%,-2.07%,8.78%,-9.14%,56,55.36%,1.68%,2.74%,14.38%,-11.92%,ok_first_pass,True
model_mainstream_segment,tdcc_short_term_continuation_d5_d10|non_mainstream,model_signals_for_report,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,74,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,66,43.94%,-0.46%,-0.48%,2.54%,-3.05%,58,31.03%,-0.70%,-1.12%,4.22%,-5.11%,52,36.54%,-0.69%,-3.23%,5.47%,-6.10%,16,31.25%,-6.24%,-6.04%,3.51%,-9.72%,small_or_early_snapshot_sample,True
model_mainstream_segment,volume_range_breakout|mainstream,model_signals_for_report,volume_range_breakout,放量攻擊模型,174,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,155,32.90%,-1.25%,-0.65%,3.33%,-4.20%,134,41.79%,-0.55%,-2.03%,7.57%,-7.85%,112,34.82%,-1.85%,-4.89%,10.22%,-9.90%,48,39.58%,1.81%,-2.92%,15.12%,-11.34%,ok_first_pass,True
model_mainstream_segment,volume_range_breakout|non_mainstream,model_signals_for_report,volume_range_breakout,放量攻擊模型,97,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,67,41.79%,-0.13%,0.00%,3.36%,-3.71%,52,57.69%,3.85%,2.09%,9.31%,-5.45%,36,47.22%,1.95%,-0.44%,11.33%,-6.60%,17,52.94%,2.61%,1.39%,10.68%,-6.54%,small_or_early_snapshot_sample,True
model_mainstream_segment,w_bottom_right_side|mainstream,model_signals_for_report,w_bottom_right_side,W底右側模型,20,20260616,20260703,11,2026-07-05 05:07:42 Asia/Taipei,19,57.89%,0.54%,0.52%,3.38%,-1.65%,16,43.75%,-1.13%,-3.85%,5.53%,-4.22%,15,46.67%,0.47%,-1.83%,6.53%,-5.04%,3,33.33%,-2.52%,-4.31%,9.17%,-5.76%,small_or_early_snapshot_sample,True
model_mainstream_segment,w_bottom_right_side|non_mainstream,model_signals_for_report,w_bottom_right_side,W底右側模型,32,20260616,20260703,12,2026-07-05 05:07:42 Asia/Taipei,28,42.86%,0.45%,0.00%,1.87%,-1.20%,22,36.36%,-0.19%,-0.12%,2.61%,-2.66%,18,61.11%,2.21%,1.02%,5.34%,-3.38%,4,100.00%,38.32%,42.18%,38.54%,-2.63%,small_or_early_snapshot_sample,True
model_overall,hot_theme_pullback,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,664,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,603,47.43%,0.14%,0.00%,2.63%,-2.21%,501,43.31%,-0.04%,-0.96%,5.46%,-4.59%,389,43.19%,-0.28%,-1.43%,7.04%,-6.22%,175,50.29%,2.40%,0.14%,10.47%,-7.67%,ok_first_pass,True
model_overall,near_high_neckline_challenge,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,13,20260615,20260624,6,2026-07-05 05:07:42 Asia/Taipei,13,38.46%,-0.67%,0.00%,1.42%,-1.78%,13,30.77%,-1.61%,-0.73%,2.13%,-3.27%,13,23.08%,-2.60%,-0.84%,2.45%,-4.25%,9,22.22%,-3.12%,-1.26%,3.34%,-5.47%,small_or_early_snapshot_sample,True
model_overall,platform_strengthening,model_signals_for_report,platform_strengthening,平台整理轉強模型,9,20260615,20260624,6,2026-07-05 05:07:42 Asia/Taipei,9,55.56%,0.07%,0.14%,1.83%,-1.42%,9,11.11%,-1.96%,-1.40%,2.34%,-4.01%,9,22.22%,-2.02%,-1.08%,2.99%,-4.57%,4,0.00%,-2.84%,-1.76%,3.99%,-4.68%,small_or_early_snapshot_sample,True
model_overall,price_pullback_23ema,model_signals_for_report,price_pullback_23ema,股價回檔模型,2840,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,2560,46.45%,0.11%,0.00%,2.34%,-1.92%,2097,39.06%,-0.45%,-0.88%,4.26%,-4.00%,1641,38.88%,-0.68%,-1.37%,5.54%,-5.32%,697,42.75%,0.49%,-0.75%,7.93%,-6.61%,ok_first_pass,True
model_overall,pullback_short_reclaim,model_signals_for_report,pullback_short_reclaim,回檔後短線轉強模型,1201,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,1151,43.96%,-0.04%,-0.21%,2.37%,-2.16%,1022,37.87%,-0.24%,-1.04%,4.70%,-4.10%,872,38.99%,-0.48%,-1.56%,6.21%,-5.29%,441,45.58%,0.17%,-0.73%,9.31%,-7.10%,ok_first_pass,True
model_overall,revenue_unreacted_range,model_signals_for_report,revenue_unreacted_range,營收爆發但股價尚未反應模型,1738,20260615,20260703,12,2026-07-05 05:07:42 Asia/Taipei,1586,48.68%,0.07%,0.00%,2.35%,-2.02%,1339,43.61%,-0.18%,-0.54%,4.62%,-4.04%,984,46.04%,0.08%,-0.46%,6.10%,-5.12%,345,43.77%,0.07%,-0.79%,9.10%,-6.58%,ok_first_pass,True
model_overall,tdcc_short_term_continuation_d5_d10,model_signals_for_report,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,294,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,273,44.69%,-0.27%,-0.50%,3.35%,-3.40%,245,37.96%,-0.72%,-1.39%,6.64%,-6.42%,220,41.36%,-1.27%,-2.40%,8.00%,-8.42%,72,50.00%,-0.08%,0.08%,11.96%,-11.44%,ok_first_pass,True
model_overall,volume_range_breakout,model_signals_for_report,volume_range_breakout,放量攻擊模型,271,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,222,35.59%,-0.91%,-0.09%,3.34%,-4.05%,186,46.24%,0.68%,-0.79%,8.06%,-7.18%,148,37.84%,-0.93%,-3.88%,10.49%,-9.10%,65,43.08%,2.02%,-2.41%,13.96%,-10.09%,ok_first_pass,True
model_overall,w_bottom_right_side,model_signals_for_report,w_bottom_right_side,W底右側模型,52,20260616,20260703,12,2026-07-05 05:07:42 Asia/Taipei,47,48.94%,0.48%,0.00%,2.48%,-1.38%,38,39.47%,-0.58%,-0.36%,3.84%,-3.32%,33,54.55%,1.42%,0.74%,5.88%,-4.14%,7,71.43%,20.82%,4.35%,25.95%,-3.97%,small_or_early_snapshot_sample,True
model_rank_bucket,hot_theme_pullback|rank_001_005,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,125,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,115,50.43%,0.15%,0.20%,2.46%,-2.07%,95,40.00%,0.03%,-0.79%,5.56%,-4.25%,75,45.33%,-0.56%,-1.00%,7.05%,-5.92%,36,50.00%,2.55%,0.07%,10.44%,-6.37%,ok_first_pass,True
model_rank_bucket,hot_theme_pullback|rank_006_010,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,70,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,64,40.62%,-0.19%,-0.50%,2.13%,-2.32%,53,35.85%,-1.87%,-2.54%,4.55%,-5.17%,43,27.91%,-3.55%,-4.03%,5.15%,-7.71%,20,30.00%,-2.29%,-2.92%,6.07%,-9.76%,small_or_early_snapshot_sample,True
model_rank_bucket,hot_theme_pullback|rank_011_020,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,130,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,120,50.00%,0.26%,0.08%,2.86%,-2.32%,100,43.00%,0.06%,-1.18%,5.93%,-4.71%,80,42.50%,0.11%,-0.94%,7.60%,-5.80%,40,60.00%,4.67%,1.15%,12.54%,-7.54%,ok_first_pass,True
model_rank_bucket,hot_theme_pullback|rank_021_plus,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,339,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,304,46.71%,0.16%,-0.07%,2.71%,-2.20%,253,46.25%,0.27%,-0.49%,5.43%,-4.55%,191,46.07%,0.39%,-1.00%,7.23%,-6.18%,79,50.63%,2.37%,0.14%,10.56%,-7.79%,ok_first_pass,True
model_rank_bucket,near_high_neckline_challenge|rank_001_005,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,13,20260615,20260624,6,2026-07-05 05:07:42 Asia/Taipei,13,38.46%,-0.67%,0.00%,1.42%,-1.78%,13,30.77%,-1.61%,-0.73%,2.13%,-3.27%,13,23.08%,-2.60%,-0.84%,2.45%,-4.25%,9,22.22%,-3.12%,-1.26%,3.34%,-5.47%,small_or_early_snapshot_sample,True
model_rank_bucket,platform_strengthening|rank_001_005,model_signals_for_report,platform_strengthening,平台整理轉強模型,9,20260615,20260624,6,2026-07-05 05:07:42 Asia/Taipei,9,55.56%,0.07%,0.14%,1.83%,-1.42%,9,11.11%,-1.96%,-1.40%,2.34%,-4.01%,9,22.22%,-2.02%,-1.08%,2.99%,-4.57%,4,0.00%,-2.84%,-1.76%,3.99%,-4.68%,small_or_early_snapshot_sample,True
model_rank_bucket,price_pullback_23ema|rank_001_005,model_signals_for_report,price_pullback_23ema,股價回檔模型,130,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,120,48.33%,0.15%,-0.08%,2.28%,-1.78%,100,41.00%,-0.42%,-0.94%,4.57%,-4.05%,80,35.00%,-0.66%,-1.90%,6.17%,-5.58%,40,32.50%,-0.34%,-1.24%,8.73%,-7.16%,ok_first_pass,True
model_rank_bucket,price_pullback_23ema|rank_006_010,model_signals_for_report,price_pullback_23ema,股價回檔模型,130,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,120,48.33%,-0.08%,0.00%,2.07%,-1.94%,100,35.00%,-1.16%,-0.97%,3.34%,-3.85%,80,35.00%,-2.51%,-2.08%,4.27%,-5.44%,40,32.50%,-1.70%,-4.22%,7.11%,-9.52%,ok_first_pass,True
model_rank_bucket,price_pullback_23ema|rank_011_020,model_signals_for_report,price_pullback_23ema,股價回檔模型,260,20260615,20260703,13,2026-07-05 05:07:42 Asia/Taipei,240,45.42%,0.11%,-0.14%,2.13%,-1.92%,200,36.00%,-1.11%,-1.37%,3.61%,-4.15%,160,35.00%,-1.65%,-1.76%,4.60%,-5.60%,80,36.25%,-1.29%,-1.91%,6.63%,-6.94%,ok_first_pass,True
