generated_at,model_id,model_name_zh,research_artifact_id,entry_filter_id,entry_filter_rule,exit_rule_id,profit_target_pct,feature_column,feature_family,feature_type,feature_rule,win_count,non_win_count,win_feature_value_count,non_win_feature_value_count,win_mean,non_win_mean,delta_win_minus_non_win,win_median,non_win_median,win_share_pct,non_win_share_pct,delta_share_pct,interpretation_status,data_status,advisory_status,approved_for_daily,production_change
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,volume_ratio_prev20,technical_volume,numeric,signal volume ratio vs previous 20 trading days,63597,199448,63597,199448,1.02,0.97,0.05,0.8,0.74,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,return_20d_pct,price_structure,numeric,signal-date prior 20d return,63597,199448,63597,199448,0.65,-1.97,2.62,-0.2,-1.79,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,return_45d_pct,price_structure,numeric,signal-date prior 45d return,63597,199448,55757,168114,0.8,-1.98,2.78,-1.49,-2.84,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,range_width_45d_pct,price_structure,numeric,prior 45d range width,63597,199448,63597,199448,106.01,121.55,-15.54,23.92,21.88,,,,lower_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,close_position_45d_pct,price_structure,numeric,signal close position inside prior 45d range,63597,199448,63597,199448,41.07,33.85,7.22,39.36,27.66,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,prior_extension_ema23_20d_pct,price_structure,numeric,prior 20d high extension above 23EMA,63597,199448,63406,198687,7.74,7.69,0.05,6.56,6.24,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,prior_runup_20d_pct,price_structure,numeric,prior 20d range runup,63597,199448,63597,199448,15.48,14.68,0.8,13.12,12.2,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,pullback_from_high_20d_pct,price_structure,numeric,signal close pullback from prior 20d high,63597,199448,63597,199448,-7.13,-8.12,0.99,-6.3,-7.11,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,rsi14,technical,numeric,RSI14 on signal date,63597,199448,63594,199434,49.29,44.45,4.84,50.0,44.9,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,obv_slope_5d,technical_volume,numeric,OBV 5d slope on signal date,63597,199448,63597,199448,-595797.29,-722397.99,126600.7,-11000.0,-42639.0,,,,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,tdcc_consecutive_up_weeks,chip,numeric,TDCC consecutive up weeks,63597,199448,10843,25158,1.45,1.43,0.02,1.0,0.0,,,,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_volume_ratio,theme_context,numeric,point-in-time theme context volume ratio,63597,199448,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,theme_context_return_20d_pct,theme_context,numeric,point-in-time theme context 20d return,63597,199448,0,0,,,,,,,,,insufficient_feature_coverage,point_in_time_theme_context_coverage_limited,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,macd_hist_gt0,technical,boolean_share,MACD histogram above zero,63597,199448,63597,199448,,,,,,49.94,40.64,9.3,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,kd_bullish_not_overheated,technical,boolean_share,KD bullish and not overheated,63597,199448,63597,199448,,,,,,44.39,43.29,1.1,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,obv_above_ma20,technical_volume,boolean_share,OBV above OBV MA20,63597,199448,63597,199448,,,,,,51.11,39.36,11.75,higher_in_success_rows,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,tdcc_history_available,chip,boolean_share,TDCC history available,63597,199448,63597,199448,,,,,,17.05,12.61,4.44,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
2026-07-01 22:24:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_continuation_win_profile,baseline_replay,no extra feature confirmation beyond production proxy replay,close_prev20_break_then_tp5_or_5ma_next_open,5.0,high_thresholds_up,chip,boolean_share,large-holder TDCC high thresholds increased,63597,199448,63597,199448,,,,,,6.99,4.67,2.32,similar_between_success_and_non_success,available_point_in_time_research_frame,not_production_ready_research_only,False,none
