model_id,model_name_zh,parameter_set_id,horizon,entry_basis,exit_close_basis,exit_high_basis,mature_count,close_win_rate_pct,avg_close_return_pct,median_close_return_pct,avg_high_return_pct,high_5pct_hit_rate_pct
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+1,signal_date_next_open,D+1_close,D+1_intraday_high,4744,37.35,-0.42,-0.43,1.74,9.53
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+2,signal_date_next_open,D+2_close,D+2_intraday_high,4728,39.66,-0.27,-0.61,2.9,19.37
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+3,signal_date_next_open,D+3_close,D+3_intraday_high,4697,39.96,-0.22,-0.72,3.72,24.82
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+4,signal_date_next_open,D+4_close,D+4_intraday_high,4673,39.42,-0.17,-0.88,4.39,28.89
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+5,signal_date_next_open,D+5_close,D+5_intraday_high,4630,39.22,-0.2,-1.0,4.97,32.42
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+6,signal_date_next_open,D+6_close,D+6_intraday_high,4590,39.65,-0.14,-1.08,5.49,34.88
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+7,signal_date_next_open,D+7_close,D+7_intraday_high,4555,39.98,-0.03,-1.02,5.96,37.17
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+8,signal_date_next_open,D+8_close,D+8_intraday_high,4535,39.85,0.1,-1.08,6.44,39.56
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+9,signal_date_next_open,D+9_close,D+9_intraday_high,4519,40.05,0.12,-1.18,6.88,41.49
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+10,signal_date_next_open,D+10_close,D+10_intraday_high,4500,39.53,0.21,-1.27,7.29,43.0
volume_range_breakout,Volume range breakout,w10_vol1.2_width12,D+20,signal_date_next_open,D+20_close,D+20_intraday_high,4107,40.95,1.1,-1.63,11.23,54.74
volume_range_breakout,Volume range breakout,w10_vol1.2_width18,D+1,signal_date_next_open,D+1_close,D+1_intraday_high,6704,37.89,-0.46,-0.48,2.03,12.77
volume_range_breakout,Volume range breakout,w10_vol1.2_width18,D+2,signal_date_next_open,D+2_close,D+2_intraday_high,6678,39.89,-0.31,-0.71,3.39,24.32
volume_range_breakout,Volume range breakout,w10_vol1.2_width18,D+3,signal_date_next_open,D+3_close,D+3_intraday_high,6637,40.11,-0.25,-0.81,4.36,30.42
