generated_at,model_id,model_name_zh,parameter_set_id,parameter_summary,parameter_role,production_parity_status,parity_blocker,variant_of,pdf_visibility,entry_basis,selected_stock_days,selected_unique_stocks,best_close_horizon_d1_d10,best_close_win_rate_pct,best_avg_close_return_pct,sample_status,apply_status,notes,d1_mature_count,d1_close_win_rate_pct,d1_avg_close_return_pct,d1_avg_high_return_pct,d2_mature_count,d2_close_win_rate_pct,d2_avg_close_return_pct,d2_avg_high_return_pct,d3_mature_count,d3_close_win_rate_pct,d3_avg_close_return_pct,d3_avg_high_return_pct,d5_mature_count,d5_close_win_rate_pct,d5_avg_close_return_pct,d5_avg_high_return_pct,d10_mature_count,d10_close_win_rate_pct,d10_avg_close_return_pct,d10_avg_high_return_pct,d20_mature_count,d20_close_win_rate_pct,d20_avg_close_return_pct,d20_avg_high_return_pct
2026-07-10 17:20:29 Asia/Taipei,volume_range_breakout_v2_low_position_volume_attack,低位放量攻擊,volume_range_breakout_v2_low_position_operation_v1,"formal v2 baseline: 120d low-position bucket with all shape buckets, 60d breakout and close-only next-day continuation handled by operation adapter",production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,523,262,D+10,45.02,2.25,ok_first_pass,candidate_parameter_review,Formal operation evidence comes from volume_range_breakout_v2_candidate_bucket_contract and the model-owned operation adapter; TDCC and MA overlays are score-only.,523,38.24,-0.62,2.79,522,43.87,-0.18,4.81,522,42.34,-0.1,6.25,522,39.85,0.46,8.48,522,45.02,2.25,12.32,519,47.78,5.84,19.83
2026-07-10 17:20:29 Asia/Taipei,volume_range_breakout_v2_mid_position_momentum_attack,中位動能放量攻擊,volume_range_breakout_v2_mid_position_operation_v1,"formal v2 baseline: 120d mid-position bucket with non-consolidation or wide-range shape, 60d breakout and close-only next-day continuation handled by operation adapter",production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,79,58,D+10,46.15,-0.83,small_sample_review_only,candidate_parameter_review,Formal operation evidence comes from volume_range_breakout_v2_candidate_bucket_contract and the model-owned operation adapter; TDCC and MA overlays are score-only.,79,31.65,-1.32,3.3,79,37.97,-1.93,5.73,79,36.71,-1.85,7.24,78,41.03,-1.86,9.54,78,46.15,-0.83,13.49,76,48.68,2.52,21.72
2026-07-10 17:20:29 Asia/Taipei,price_pullback_23ema,23EMA回檔模型,price_pullback_23ema_prev20_breakout_stop_v1,"approved operation baseline: 23EMA/support pullback, return20_0_25, TDCC high thresholds up, OBV above MA20",production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,9612,1186,D+10,50.38,1.72,ok_first_pass,candidate_parameter_review,price_pullback_23ema_prev20_breakout_stop_v1 is the formal daily baseline through approved_operation_patterns_latest.csv and the model-owned operation adapter.,9612,41.92,-0.03,1.49,9398,44.36,0.13,2.44,9168,45.28,0.29,3.22,8793,48.35,0.71,4.61,7936,50.38,1.72,7.36,5509,53.6,3.27,12.49
2026-07-10 17:20:29 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,production_current_proxy,production baseline proxy: no-lookahead mainstream theme + pullback near 23EMA/support,production_baseline,production_proxy,daily hot-theme labels are not fully backfilled as point-in-time model-layer fields,production_current,pdf_core_model,signal_date_next_open,5590,906,D+9,48.0,0.67,ok_first_pass,candidate_parameter_review,Production uses current model-layer hot theme labels; research uses strict historical no-lookahead theme state.,5590,43.43,-0.11,2.27,5331,49.05,0.31,3.73,5076,45.51,0.04,4.79,4518,49.11,0.59,6.8,3276,47.16,0.54,9.4,1364,53.01,2.15,14.8
2026-07-10 17:20:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,production_current_proxy,production baseline proxy: price still in 23d range and attack not started; revenue gate tested separately,production_baseline,proxy_only,"strong_revenue gate requires model-specific research matrix, contract update, exact parity, and promotion PR before formal use",production_current,pdf_core_model,signal_date_next_open,348224,2129,D+10,44.29,0.68,ok_first_pass,candidate_parameter_review,"Canonical monthly revenue history exists for research joins, but formal revenue gate parity still requires model-specific promotion.",348224,39.32,-0.14,1.31,346364,42.18,-0.04,2.18,344586,43.11,0.05,2.87,341416,44.03,0.26,4.04,332174,44.29,0.68,6.32,316652,45.51,1.67,10.01
2026-07-10 17:20:40 Asia/Taipei,w_bottom_right_side,W底右側模型,w_bottom_early_entry_operation_v2,"approved operation baseline: right-low early entry, W-structure-low stop, D+20 gain10 else D+40 close exit",production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,94984,1948,D+10,44.81,1.15,ok_first_pass,candidate_parameter_review,w_bottom_early_entry_operation_v2 is the formal daily baseline through approved_operation_patterns_latest.csv; raw research candidate rows remain advisory-only.,94984,39.16,-0.22,1.67,94428,41.56,-0.12,2.75,93869,42.35,0.01,3.62,92613,43.31,0.3,5.09,90327,44.81,1.15,8.02,84299,47.35,3.24,13.17
2026-07-10 17:20:41 Asia/Taipei,neckline_volume_breakout_confirmation,W底頸線帶量突破確認模型,neckline_strict_45_signal_90_score_v1,"approved operation baseline: W-bottom neckline signal, 45d non-bearish context, 90d score-only context, next-open entry and 20d operation-rule outcome",production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,8590,1722,D+10,42.19,0.99,ok_first_pass,candidate_parameter_review,W-bottom neckline volume breakout operation v1 is the formal daily baseline through approved_operation_patterns_latest.csv; other neckline subtypes remain outside this model.,8590,36.5,-0.63,2.46,8574,39.65,-0.5,4.26,8552,39.13,-0.39,5.54,8397,40.11,-0.09,7.5,8247,42.19,0.99,10.92,7900,45.48,3.42,16.9
2026-07-10 17:20:43 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,production_current_proxy,"production baseline proxy: 20d return >= 5%, pullback/reclaim proxy, EMA23 up",production_baseline,production_proxy,pullback_entry_zone/right_side/ma20_reclaim setup flags are not fully backfilled,production_current,pdf_core_model,signal_date_next_open,89287,1863,D+10,45.73,1.78,ok_first_pass,candidate_parameter_review,Production uses pullback/right-side/reclaim flags; research approximates with EMA and MA20 reclaim context.,89287,38.98,-0.36,2.26,88865,42.14,-0.16,3.8,88350,43.0,0.07,5.02,87353,44.43,0.57,7.07,85258,45.73,1.78,11.03,79038,49.01,4.75,17.72
2026-07-10 17:20:44 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,production_current_proxy,"production baseline proxy: TDCC positive, attack not started, low volume/return, still in range",production_baseline,production_proxy,tdcc_price_phase is not fully available historically for every signal date,production_current,pdf_core_model,signal_date_next_open,41834,1790,D+10,50.84,1.61,ok_first_pass,candidate_parameter_review,Production uses TDCC phase when available; research uses weekly TDCC history and range constraints.,41834,41.56,-0.07,1.58,40889,44.6,0.1,2.62,39983,45.7,0.26,3.47,38461,48.61,0.68,4.98,33681,50.84,1.61,7.76,25448,54.86,2.94,12.51
2026-07-10 17:20:45 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,production_current_proxy,production baseline proxy: TDCC sync/high thresholds + 5d momentum + MACD/KD,production_baseline,production_proxy,daily specialty packet fields are not a single core build_specs condition and must be replayed from historical TDCC/technical proxies,production_current,pdf_core_model,signal_date_next_open,3804,869,D+10,43.12,1.66,ok_first_pass,candidate_parameter_review,This mirrors the daily specialty short-term continuation surface enough to serve as baseline before deeper grid variants.,3804,37.62,-0.78,3.0,3758,38.34,-0.8,5.06,3707,38.74,-0.67,6.57,3417,42.0,0.16,9.3,3258,43.12,1.66,13.77,2416,47.64,5.38,21.82
