label_type,rule_family,rule_name,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,avg_return_5d_pct,avg_return_10d_pct,avg_return_20d_pct,sample_status
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_bb,D+10,D+1_open,10.0,126,75,59.52,0.14,67,43,13.0,17.6,1.12,0.65,19.25,28.43,24.29,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_bb,D+10,D+1_open,10.0,78,46,58.97,0.09,50,31,12.59,17.25,1.29,0.74,18.4,27.52,22.87,insufficient_sample
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_kd,D+10,D+1_open,10.0,275,155,56.36,0.3,162,102,12.15,14.98,0.94,0.59,18.9,25.1,24.0,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_kd,D+10,D+1_open,10.0,367,203,55.31,0.39,183,115,12.15,15.52,0.85,0.57,18.2,25.82,23.87,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_bb_not_extreme,D+10,D+1_open,10.0,652,345,52.91,0.66,223,141,10.63,15.17,1.06,0.72,11.24,13.99,14.47,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50,D+10,D+1_open,10.0,1635,861,52.66,1.64,337,228,10.96,15.6,1.09,0.62,19.48,30.2,30.97,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50,D+10,D+1_open,10.0,1092,571,52.29,1.09,318,209,10.84,15.14,1.11,0.63,19.42,29.15,29.77,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_macd,D+10,D+1_open,10.0,1229,642,52.24,1.23,301,203,10.9,15.87,1.07,0.63,19.5,30.31,30.82,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_bb,D+10,D+1_open,10.0,605,315,52.07,0.6,217,133,10.38,14.95,1.1,0.72,11.96,14.88,14.13,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret20_20_80,D+10,D+1_open,10.0,1765,911,51.61,1.74,331,226,10.71,15.59,1.04,0.54,19.81,29.6,35.02,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_macd,D+10,D+1_open,10.0,812,416,51.23,0.79,278,180,10.23,15.12,1.11,0.67,19.24,29.3,29.77,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__start5d_vol_ge3,D+10,D+1_open,10.0,1211,611,50.45,1.17,282,191,10.17,14.85,0.89,0.39,18.74,23.5,23.43,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30,D+10,D+1_open,10.0,2426,1200,49.46,2.29,432,305,9.9,14.24,1.0,0.55,17.19,21.94,23.59,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_kd_bb,D+10,D+1_open,10.0,406,200,49.26,0.38,182,103,9.87,13.1,1.01,0.75,12.1,12.04,13.37,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__prev5d_vol_ge2,D+10,D+1_open,10.0,4228,2016,47.68,3.85,441,349,9.36,13.94,0.7,0.37,9.68,19.2,20.61,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_rsi50_75,D+10,D+1_open,10.0,2986,1423,47.66,2.72,438,325,9.34,13.83,0.72,0.43,9.68,13.7,14.45,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_ema23_ok,D+10,D+1_open,10.0,3763,1791,47.6,3.42,450,341,9.33,13.82,0.8,0.46,11.27,16.51,17.25,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret20_under50_macd,D+10,D+1_open,10.0,3155,1496,47.42,2.86,428,317,9.34,14.1,0.85,0.5,12.49,18.21,18.0,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_pos,D+10,D+1_open,10.0,3379,1599,47.32,3.05,429,317,9.32,14.17,0.89,0.5,13.73,20.13,21.04,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__start5d_vol_ge2,D+10,D+1_open,10.0,5372,2536,47.21,4.84,471,379,9.25,13.76,0.82,0.44,12.64,18.42,19.84,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_kd_good,D+10,D+1_open,10.0,2172,1023,47.1,1.95,415,293,9.15,13.49,0.79,0.46,11.81,13.14,13.78,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_kd,D+10,D+1_open,10.0,1424,653,45.86,1.25,358,232,8.83,13.62,0.79,0.47,12.57,14.34,14.52,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__day_vol_ge2,D+10,D+1_open,10.0,7758,3527,45.46,6.74,506,471,8.81,13.14,0.98,0.6,11.67,14.48,17.7,provisional_latest_label_only
provisional_latest_stock_label,volume_only,all_stock__start5d_vol_ge3,D+10,D+1_open,10.0,3998,1422,35.57,2.72,1000,506,6.22,11.0,0.7,0.2,14.88,18.28,18.13,provisional_latest_label_only
provisional_latest_stock_label,volume_only,all_stock__start5d_vol_ge2,D+10,D+1_open,10.0,16339,5450,33.36,10.41,1721,1006,5.66,10.36,0.66,0.23,9.42,13.4,13.72,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_supported__start5d_vol_ge2,D+10,D+1_open,10.0,540,107,19.81,0.2,72,28,4.17,6.55,0.48,0.19,7.35,9.72,9.08,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,non_mainstream__start5d_vol_ge2,D+10,D+1_open,10.0,6,0,0.0,0.0,1,0,0.17,0.28,-0.45,-0.33,-0.67,-0.66,-1.24,insufficient_sample
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_kd,D+20,D+1_open,10.0,275,195,70.91,0.25,162,126,17.22,23.05,0.94,0.59,18.9,25.1,24.0,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_kd,D+20,D+1_open,10.0,367,260,70.84,0.34,183,144,17.55,23.76,0.85,0.57,18.2,25.82,23.87,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_bb,D+20,D+1_open,10.0,126,89,70.63,0.11,67,51,17.57,25.78,1.12,0.65,19.25,28.43,24.29,provisional_latest_label_only
