rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+10,D+1_open,10.0,56,39,69.64,0.08,23,16,14.41,18.4,0.89,100.0,strong_bull=53; mild_bull=3,mainstream_overheated=56,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,66,45,68.18,0.09,23,16,13.88,18.23,0.95,100.0,strong_bull=53; range_or_unclear=10; mild_bull=3,mainstream_overheated=66,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+10,D+1_open,10.0,69,42,60.87,0.08,29,17,12.74,17.35,1.11,100.0,strong_bull=64; mild_bull=5,mainstream_overheated=69,insufficient_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,34,20,58.82,0.04,16,10,14.36,19.64,1.1,100.0,strong_bull=29; range_or_unclear=3; mild_bull=2,mainstream_overheated=34,insufficient_sample
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,96,54,56.25,0.1,32,21,11.91,15.87,0.97,100.0,strong_bull=70; range_or_unclear=21; mild_bull=5,mainstream_overheated=96,insufficient_sample
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,89,49,55.06,0.09,29,18,11.86,15.72,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,89,49,55.06,0.09,29,18,11.86,15.72,1.04,100.0,strong_bull=64; range_or_unclear=20; mild_bull=5,mainstream_overheated=89,insufficient_sample
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,19,10,52.63,0.02,13,7,15.07,17.55,0.77,100.0,strong_bull=15; range_or_unclear=2; mild_bull=2,mainstream_overheated=19,insufficient_sample
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+10,D+1_open,10.0,405,202,49.88,0.39,110,73,9.94,14.92,0.85,8.15,strong_bull=326; mild_bull=79,mainstream_overheated=405,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,221,108,48.87,0.21,80,49,9.61,14.59,1.21,40.72,strong_bull=214; mild_bull=7,mainstream_overheated=221,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1061,510,48.07,0.98,182,143,9.41,14.54,0.67,13.29,strong_bull=944; mild_bull=117,mainstream_overheated=1061,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1929,905,46.92,1.74,207,172,9.17,13.95,0.79,12.7,strong_bull=1627; mild_bull=302,mainstream_overheated=1929,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,809,375,46.35,0.72,171,124,8.75,13.34,0.8,15.2,strong_bull=732; mild_bull=77,mainstream_overheated=809,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1158,522,45.08,1.01,179,135,8.82,13.86,0.86,19.0,strong_bull=1064; mild_bull=94,mainstream_overheated=1158,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+10,D+1_open,10.0,580,220,37.93,0.42,173,81,5.93,11.92,0.8,100.0,strong_bull=435; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=379; mainstream_supported=96; mainstream_overheated=66; non_mainstream=39,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+10,D+1_open,10.0,733,263,35.88,0.51,210,96,5.69,11.3,0.72,100.0,strong_bull=549; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=482; mainstream_supported=121; mainstream_overheated=89; non_mainstream=41,ok_initial_sample
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,41,14,34.15,0.03,14,3,4.01,9.21,0.81,100.0,strong_bull=31; range_or_unclear=7; mild_bull=2; weak_or_correction=1,non_mainstream=41,insufficient_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1601,546,34.1,1.05,189,117,6.54,9.53,0.61,18.05,strong_bull=1344; mild_bull=257,mainstream_supported=1601,provisional_latest_theme_label
all_stock__vol2__market_bull,market_volume,strict_market,D+10,D+1_open,10.0,14057,4639,33.0,8.94,1695,961,5.52,10.21,0.63,15.17,strong_bull=11859; mild_bull=2198,unlabeled=9971; mainstream_overheated=1929; mainstream_supported=1601; non_mainstream=556,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+10,D+1_open,10.0,11859,3901,32.89,7.52,1648,888,5.49,10.14,0.7,16.93,strong_bull=11859,unlabeled=8395; mainstream_overheated=1627; mainstream_supported=1344; non_mainstream=493,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+10,D+1_open,10.0,270,73,27.04,0.14,83,32,4.54,8.65,0.63,100.0,strong_bull=189; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=199; mainstream_supported=40; non_mainstream=18; mainstream_overheated=13,ok_initial_sample
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+20,D+1_open,10.0,56,41,73.21,0.05,23,17,15.2,19.98,0.89,100.0,strong_bull=53; mild_bull=3,mainstream_overheated=56,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,66,47,71.21,0.06,23,17,14.89,19.57,0.95,100.0,strong_bull=53; range_or_unclear=10; mild_bull=3,mainstream_overheated=66,insufficient_sample
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,221,141,63.8,0.18,80,58,14.71,23.24,1.21,40.72,strong_bull=214; mild_bull=7,mainstream_overheated=221,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+20,D+1_open,10.0,69,44,63.77,0.06,29,18,14.11,19.05,1.11,100.0,strong_bull=64; mild_bull=5,mainstream_overheated=69,insufficient_sample
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,405,255,62.96,0.33,110,87,15.6,22.31,0.85,8.15,strong_bull=326; mild_bull=79,mainstream_overheated=405,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1061,663,62.49,0.86,182,154,14.81,21.95,0.67,13.29,strong_bull=944; mild_bull=117,mainstream_overheated=1061,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,34,21,61.76,0.03,16,10,14.36,20.65,1.1,100.0,strong_bull=29; range_or_unclear=3; mild_bull=2,mainstream_overheated=34,insufficient_sample
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1929,1178,61.07,1.53,207,183,13.88,21.13,0.79,12.7,strong_bull=1627; mild_bull=302,mainstream_overheated=1929,provisional_latest_theme_label
