generated_at,domain,subject,status,ownership_mode,consumer_count,evidence,remaining_gap
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,hot_theme_pullback,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_hot_theme_pullback;score_hot_theme_pullback; semantic_items=24; sha256=fc43040151c29ab93abbf049244216fbf2bd4d2ae721c15975b43de52c63d814; shared_items=23; legacy_shared_items=15,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,neckline_volume_breakout_confirmation,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_neckline_volume_breakout_confirmation;score_neckline_volume_breakout_confirmation; semantic_items=60; sha256=570d37ef239bbad1f9d003c1ba3f6bf9149aad165d02353c1d2197b5c33ebac1; shared_items=44; legacy_shared_items=22,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,price_pullback_23ema,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_pullback;score_pullback; semantic_items=32; sha256=e7bb3f5db4487301188a4e0b069a8f55b5e7590c58e1b02ec89f2ae9c175016d; shared_items=27; legacy_shared_items=19,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,pullback_short_reclaim,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_pullback_short_strength;score_pullback_short_reclaim; semantic_items=20; sha256=cbc712f62b218f5ed87dc33b5b0af191286fddda5e1623d155585d97de2e1e34; shared_items=22; legacy_shared_items=14,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,revenue_unreacted_range,PASS,model_owned_module,1,source=scripts/build_daily_revenue_unreacted_range_operation_section.py; entries=_selected_source_mid_falling;build_operation_section; semantic_items=101; sha256=fa209cb40141edc608aadf85739056f977211e51dd72ac1b67ffb21f00ecdf56; shared_items=0; legacy_shared_items=0,none
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,tdcc_short_term_continuation_d5_d10,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=append_tdcc_short_term; semantic_items=22; sha256=0f2f157fae7f710e3f6a0c713ce3434e5be9fb9a9a27bee215423ccf6eec8156; shared_items=17; legacy_shared_items=9,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,tdcc_stealth_accumulation,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_tdcc_stealth;score_tdcc_stealth; semantic_items=30; sha256=3a16225bfe92529f52f361f3d7844e8a245bd0ac1949652945bfd7a1dc0ed57a; shared_items=28; legacy_shared_items=20,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,volume_range_breakout_v2_high_position_volume_attack,CONTAINED,contained_model_family_dispatcher,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_volume_breakout_v2_high_position_watch_only;score_volume_breakout_v2_high_position;append_volume_breakout_signals; semantic_items=68; sha256=c4d9cc2be88a8a301bce989dec6e923f379f11786e5213d96ea09e558aa9246e; shared_items=71; legacy_shared_items=33,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,volume_range_breakout_v2_low_position_volume_attack,CONTAINED,contained_model_family_dispatcher,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_volume_breakout_v2_low_position_watch_only;score_volume_breakout_v2_low_position;append_volume_breakout_signals; semantic_items=69; sha256=bc14270feaf8f5580011b615aba751483d25a796d8965da66d4fe1002122efea; shared_items=71; legacy_shared_items=33,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,volume_range_breakout_v2_mid_position_momentum_attack,CONTAINED,contained_model_family_dispatcher,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_volume_breakout_v2_mid_position_watch_only;score_volume_breakout_v2_mid_position;append_volume_breakout_signals; semantic_items=69; sha256=96db5bd2bfc39208a8272c69a61f9832404f5fddf1bd11aa86d8ed9174501bd4; shared_items=71; legacy_shared_items=33,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,production_model_semantics,w_bottom_right_side,CONTAINED,contained_legacy_monolith,1,source=scripts/build_daily_candidate_model_layer.py; entries=cond_w_bottom_right;score_w_bottom; semantic_items=40; sha256=ebd686bcd9c8885bed893b4e6d2cdbdbe6dd209cf0f988c675b2361bdba40314; shared_items=36; legacy_shared_items=13,existing shared producer/semantic remains frozen; future model must use a model-owned module
2026-09-02 20:13:23 Asia/Taipei,shared_production_semantics,contained_legacy_cross_model_semantic,CONTAINED,contained_legacy_cross_model_semantic,10,registered_semantic_items=36; exact consumers and AST SHA are pinned,legacy sharing is contained but not physically separated
2026-09-02 20:13:23 Asia/Taipei,shared_production_semantics,contained_model_family_semantic,CONTAINED,contained_model_family_semantic,5,registered_semantic_items=40; exact consumers and AST SHA are pinned,legacy sharing is contained but not physically separated
2026-09-02 20:13:23 Asia/Taipei,shared_production_semantics,registered_cross_model_runtime_semantic,CONTAINED,registered_cross_model_runtime_semantic,10,registered_semantic_items=4; exact consumers and AST SHA are pinned,legacy sharing is contained but not physically separated
2026-09-02 20:13:23 Asia/Taipei,shared_production_semantics,shared_technical,PASS,shared_technical,10,registered_semantic_items=8; exact consumers and AST SHA are pinned,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,tdcc_stealth_accumulation_published_signal_research_outputs,PASS,model_owned_not_shared,1,writer=scripts/build_tdcc_stealth_accumulation_research.py; write_scope=output/research/tdcc_stealth_accumulation/tdcc_stealth_accumulation_actual_recommendation_replay_*_v1.csv; access=owner_model_research_only; contract_sha256=771d2fa7b6065da58dca2cb3c9331a9a7e53f7e5331b54ff249258dccfee112b; migration=tdcc_stealth_accumulation_published_signal_research_outputs_20260902; decision=user_requested_four_model_artifact_registration_then_sequential_backtests_20260902,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,pullback_short_reclaim_research_outputs,PASS,model_owned_not_shared,1,writer=scripts/build_pullback_short_reclaim_research.py; write_scope=output/latest/research_backtest/pullback_short_reclaim_published_signal_replay_*_latest.csv; access=owner_model_research_only; contract_sha256=b5172cdd7e30e33a328a8d31bfe0069afca213b60b5b08516fb80a15a1354986; migration=pullback_short_reclaim_research_outputs_registration_20260902; decision=user_requested_four_model_artifact_registration_then_sequential_backtests_20260902,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,hot_theme_pullback_published_signal_research_outputs,PASS,model_owned_not_shared,1,writer=scripts/build_hot_theme_pullback_research.py; write_scope=output/latest/research_backtest/hot_theme_pullback_published_signal_*_latest.csv; access=owner_model_research_only; contract_sha256=eed0ec068c227c47c7cfa79372fc7d5c898025f0ea431b067cd70a1d8cfe1eac; migration=hot_theme_pullback_published_signal_research_outputs_20260902; decision=user_requested_four_model_artifact_registration_then_sequential_backtests_20260902,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_source_snapshot_projection_v1_archive,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/history/research/revenue_unreacted_range_source_snapshot_projection_archive_evidence_v1_20260731.csv; access=owner_model_research_lineage_only; contract_sha256=0ea3f0a2585ede8277637f1ac827ae5a9158103ce772ef17feb1a1466f8b7e46; migration=revenue_source_snapshot_projection_v2_bootstrap_20260822; decision=user_authorized_revenue_source_snapshot_projection_v2_bootstrap_20260822,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_source_snapshot_projection_v2_candidate,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/history/research/revenue_unreacted_range_source_snapshot_projection_manifest_v2_20260822.csv; access=owner_model_research_candidate_only; contract_sha256=cff768b9d0d6ced359c191c64dc2cbfb4824deda8212186d608447812b9ebedb; migration=revenue_source_snapshot_projection_v2_bootstrap_20260822; decision=user_authorized_revenue_source_snapshot_projection_v2_bootstrap_20260822,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_source_snapshot_projection_v1_v2_diff,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/history/research/revenue_unreacted_range_source_snapshot_projection_v1_20260731_to_v2_20260822_diff_summary.csv; access=owner_model_research_lineage_only; contract_sha256=3caa34f25c6639ac20ad4a49b77a6c591eeed833655ee406d4452ffc60909142; migration=revenue_source_snapshot_projection_v2_bootstrap_20260822; decision=user_authorized_revenue_source_snapshot_projection_v2_bootstrap_20260822,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,stock_price_history,PASS,approved_shared_objective,1,writer=scripts/build_stock_price_history.py; write_scope=data/stock_price_history/*.csv; access=read_only_objective_feature_input; contract_sha256=2472b6309274545286c3cc7b5efc12ed8396aec4c2e007a60102271db06bf18e; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,tdcc_stock_history,PASS,approved_shared_objective,1,writer=scripts/build_tdcc_stock_history.py; write_scope=data/tdcc_stock_history/*.csv; access=read_only_objective_feature_input; contract_sha256=94bde78d52d7b02efc83a03ad3c806221375fe05b6c66528589a6ef45e747103; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,market_index_history,PASS,approved_shared_objective,1,writer=scripts/update_market_index_history.py; write_scope=data/market_index_history.csv; access=read_only_objective_feature_input; contract_sha256=a51cc8e9ef1c349c33db0e149ffee5d323538f51f0c6892d7f9ea426468773c9; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,market_sentiment_context_history,PASS,approved_shared_objective,1,writer=scripts/build_market_sentiment_context.py; write_scope=output/history/market_risk/market_sentiment_context_history.csv; access=read_only_objective_feature_input; contract_sha256=5f47fefb6275472c8874ceed2a70f193e5d83e2a47be838525127b54cdd3ffaa; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,daily_model_signal_snapshots,PASS,approved_shared_replay_read_only,1,writer=scripts/update_daily_published_model_snapshots.py; write_scope=output/history/daily_model_snapshots/daily_candidate_model_signals_for_report_*.csv; access=read_only_exact_revision_replay; contract_sha256=78bceca0e4bb643a5d56f86971c488350b44618a3b4c30b30f4c05b0b011f9c7; migration=daily_snapshot_append_only_revision_contract_20260720; decision=user_selected_option_1_daily_snapshot_revision_lineage_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,daily_all_candidates_snapshots,PASS,approved_shared_replay_read_only,1,writer=scripts/update_daily_published_model_snapshots.py; write_scope=output/history/daily_model_snapshots/all_candidates_*.csv; access=read_only_exact_revision_replay; contract_sha256=43159083c5c2173a45d60a6bb3e7cb892df11073cafb4b55c1b3d8ddb4fde1d8; migration=daily_snapshot_append_only_revision_contract_20260720; decision=user_selected_option_1_daily_snapshot_revision_lineage_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,daily_model_snapshot_revision_manifest,PASS,approved_shared_replay_read_only,1,writer=scripts/update_daily_published_model_snapshots.py; write_scope=output/history/daily_model_snapshots/daily_published_model_snapshot_manifest.csv; access=read_only_revision_selection_and_lineage_audit; contract_sha256=affa7abf285f61ed8ddca94f47068b81404940e010b595cb7f71405a84534cb5; migration=daily_snapshot_append_only_revision_contract_20260720; decision=user_selected_option_1_daily_snapshot_revision_lineage_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,daily_model_signal_background_feature_panel,PASS,approved_shared_objective,1,writer=scripts/build_daily_model_signal_background_features.py; write_scope=output/latest/research_backtest/daily_model_signal_background_feature_panel_latest.csv; access=read_only_objective_feature_input; contract_sha256=ac32d241d118ab1121bffa97f0f3b4b821f0403fe4fbbf53d6624cd4f641cff9; migration=canonical_tdcc_full_history_consumer_20260719; decision=user_requested_canonical_tdcc_research_consumer_20260719,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,daily_model_background_feature_catalog,PASS,approved_shared_objective,1,writer=scripts/build_daily_model_signal_background_features.py; write_scope=output/latest/research_backtest/daily_model_background_feature_catalog_latest.csv; access=read_only_objective_feature_input; contract_sha256=b461ae373ec043e2bf50d97d1096b52cd46db387896f21f62c62d5b8bc7bfc48; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,monthly_revenue_history,PASS,approved_shared_objective,1,writer=scripts/build_monthly_revenue_history.py;scripts/backfill_monthly_revenue_history_from_mops_html.py; write_scope=data/monthly_revenue_history/monthly_revenue_history.csv; access=read_only_objective_feature_input; contract_sha256=7c30055be9bf5d3dab0bf2318d74f0df2ad095db8dd4bcdaf06e1b91d981e77d; migration=anomaly_candidate_primary_metrics_20260712; decision=user_approved_anomaly_root_cause_governance_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,monthly_revenue_coverage_backfill_audit,PASS,approved_shared_objective,1,writer=scripts/build_monthly_revenue_coverage_backfill_audit.py; write_scope=output/latest/research_backtest/monthly_revenue_coverage_backfill_audit_latest.csv; access=read_only_objective_feature_input; contract_sha256=90c2b31e85905c68fa375c2f4583e5057ec3ed3053251f7558e215fb8518ffeb; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,monthly_revenue_point_in_time_panel,PASS,approved_shared_objective,1,writer=scripts/build_monthly_revenue_point_in_time_panel.py; write_scope=output/latest/research_backtest/monthly_revenue_point_in_time_panel_latest.csv; access=read_only_objective_feature_input; contract_sha256=02f9b6c407883b99b03c6c173ff15f46d6e946a457af01fc122cab89d06e1869; migration=anomaly_candidate_primary_metrics_20260712; decision=user_approved_anomaly_root_cause_governance_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,theme_taxonomy_latest,CONTAINED,latest_context_not_historical,1,writer=scripts/build_stock_theme_taxonomy.py; write_scope=output/latest/stock_theme_taxonomy_latest.csv; access=current_date_context_only; contract_sha256=917e3644475103da6a24b712bf4a763646a2bb5d6b1dbff960f2b6455b0c98a9; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,legacy/latest/audit data is barred from formal model evidence
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,price_pullback_23ema_research_outputs,PASS,model_owned_not_shared,1,writer=scripts/build_price_pullback_23ema_research.py; write_scope=output/latest/research_backtest/price_pullback_23ema_*_latest.csv; access=owner_model_research_only; contract_sha256=5a4f318a881e2aade837eb65916bd650fdac9702d2cbe406f3e0c9c9c71de2d5; migration=anomaly_candidate_primary_metrics_20260712; decision=user_approved_anomaly_root_cause_governance_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,price_pullback_23ema_revenue_condition_matrix,PASS,model_owned_not_shared,1,writer=scripts/build_price_pullback_23ema_research.py; write_scope=output/latest/research_backtest/price_pullback_23ema_revenue_condition_matrix_latest.csv; access=owner_model_research_only; contract_sha256=ada29f7e050150273eb3eccc5ad3b42649e1db110334eb327ccd0cbc9d3c172f; migration=anomaly_candidate_primary_metrics_20260712; decision=user_approved_anomaly_root_cause_governance_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,price_pullback_23ema_promotion_matrix,PASS,model_owned_not_shared,1,writer=scripts/build_price_pullback_23ema_research.py; write_scope=output/latest/research_backtest/price_pullback_23ema_promotion_matrix_latest.csv; access=owner_model_research_only; contract_sha256=33690dc031d32190375eb1984497f5b48882c2a395190992c18d9fb3b408e83f; migration=anomaly_candidate_primary_metrics_20260712; decision=user_approved_anomaly_root_cause_governance_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_revenue_condition_matrix,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_revenue_condition_matrix_latest.csv; access=owner_model_research_only; contract_sha256=d00447260585f63c729ecd06d984408284393ac5c2de1a136cabe0d8e35f7346; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_operation_candidate_matrix,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_operation_candidate_matrix_latest.csv; access=owner_model_research_only; contract_sha256=fab505e8a651241996203a6aea2dd54de2ab4cd469fec1f6cdbf270967eea630; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_feature_contrast_audit,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_feature_contrast_audit_latest.csv; access=owner_model_research_only; contract_sha256=d56a182fb8798d8924aa1d99c3399abd37d8c3505469744dadc19a86349075b3; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_close_confirmation_timing_audit,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_close_confirmation_timing_audit_latest.csv; access=owner_model_research_only; contract_sha256=66c8e65e36e46deaf69a5827a11e638680044aaf1f578b8ab63f8dfc31e09acc; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_fixed_confirmation_feature_contrast_audit_latest.csv; access=owner_model_research_only; contract_sha256=300064197a3b83510f7f16e9f675a4da2ed4846f9184d49088e54e48a56e5576; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_extreme_return_path_audit,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_extreme_return_path_audit_latest.csv; access=owner_model_research_only; contract_sha256=9de8bfd31d9cea1395ac4ace08504f2353a8c6c3ec2ac53333244020143899e0; migration=revenue_monthly_cross_market_lineage_resolution_20260720; decision=user_requested_revenue_low_mid_falling_research_candidates_20260720,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,revenue_unreacted_range_lag_strength_matrix,PASS,model_owned_not_shared,1,writer=scripts/build_revenue_unreacted_range_research.py; write_scope=output/latest/research_backtest/revenue_unreacted_range_lag_strength_matrix_latest.csv; access=owner_model_research_only; contract_sha256=bb4229a1233d1f9a6e42bd545da7c235202bb4a43846b9066c37cfcf1b50e697; migration=revenue_lag_launch_observation_cutoff_20260802; decision=user_authorized_research_only_observation_cutoff_20260802,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,volume_range_breakout_v2_high_position_improvement_audit,PASS,model_owned_not_shared,1,writer=scripts/build_volume_range_breakout_v2_research.py; write_scope=output/latest/research_backtest/volume_range_breakout_v2_high_position_improvement_audit_latest.csv; access=owner_model_research_only; contract_sha256=c00d537374c5788546790bd5485699a51b08f9e082d7ea40b0100f45ee88efa0; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,mature_model_row_level_metric_contract_audit,CONTAINED,cross_model_audit_not_model_evidence,6,writer=scripts/build_mature_model_row_level_metric_contract_audit.py; write_scope=output/latest/mature_model_row_level_metric_contract_audit_latest.csv; access=read_only_contract_audit; contract_sha256=1d339c997af669809d4ddc84b97ee35d4e42a12e97390d5a86d98f8f6760a87f; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,legacy/latest/audit data is barred from formal model evidence
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,neckline_context_interpretation,PASS,model_family_owned_not_shared,1,writer=scripts/build_daily_candidate_model_layer.py; write_scope=output/latest/daily_candidate_model_signals_for_report_latest.csv; access=registered_model_family_runtime_only; contract_sha256=7dfc57a6727c407b76900097e7824bddc512d317526f1bdf24d27410de06ba75; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
2026-09-02 20:13:23 Asia/Taipei,data_family_ownership,w_bottom_shape_interpretation,PASS,model_family_owned_not_shared,2,writer=scripts/build_daily_candidate_model_layer.py; write_scope=output/latest/daily_candidate_model_signals_for_report_latest.csv; access=registered_model_family_runtime_only; contract_sha256=b942b5dcdecc636f10c966815f2ef11221582ac329e2311f9c9fdffddcd1d5f5; migration=baseline_data_20260712; decision=baseline_existing_contract_20260712,none
