generated_at,model_id,artifact_id,artifact_version,stock_id,stock_name,entry_date,entry_open,fixed_exit_date,fixed_exit_close,fixed_d20_return_pct,replayed_fixed_d20_return_pct,review_trigger_threshold_pct,review_candidate_rule_count,review_candidate_rule_ids,path_trading_row_count,max_abs_raw_close_return_1d_pct,max_abs_analysis_close_return_1d_pct,max_abs_analysis_open_gap_pct,price_resolution_ids_in_path,bottom_level_price_path_result,authoritative_corporate_action_layer_status,review_disposition,included_in_primary_metrics,excluded_in_review_candidate_sensitivity,approved_for_daily,production_change
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,2243,宏旭-KY,20260602,29.35,20260630,57.0,94.2078,94.2078,80.0,2,prev20_next_close_tdcc_high;prev20_next_close_volume_ge1_5,20,10.0,10.0,9.9822,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,2061,風青,20260506,20.0,20260602,38.65,93.25,93.25,80.0,1,prev20_next_close_kdj_bullish,20,10.0,10.0,9.8655,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,6949,沛爾生醫-創,20250711,160.5,20250807,309.5,92.8349,92.8349,80.0,2,first_close_cross_prev60;prev20_ma60_gt_ma120,20,9.9609,9.9609,9.9609,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,8043,蜜望實,20260514,105.5,20260610,199.0,88.6256,88.6256,80.0,3,first_close_cross_prev60;prev20_kdj_bullish_not_extreme;prev20_solid_red_candle,20,10.0,10.0,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,1714,和桐,20260605,12.1,20260703,22.75,88.0165,88.0165,80.0,1,prev20_next_close_volume_ge1_5,20,10.0,10.0,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,4973,廣穎電通,20260508,94.2,20260604,176.0,86.8365,86.8365,80.0,2,prev20_next_close_kdj_bullish;prev20_next_close_volume_ge1_5,20,9.9398,9.9398,9.9042,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,2337,旺宏,20251223,39.4,20260121,73.3,86.0406,86.0406,80.0,8,first_close_cross_prev20;prev20_close_above_ma20_ema23;prev20_ma60_gt_ma120;prev20_market_bull;prev20_obv_above_ma20;prev20_return20_0_25;prev20_revenue_lag_0_14;source_first_close_above_prev20_reference,20,10.0,10.0,9.9193,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,6515,穎崴,20250828,1225.0,20251001,2270.0,85.3061,85.3061,80.0,12,first_close_cross_prev20;prev20_close_above_ma20_ema23;prev20_kdj_bullish_not_extreme;prev20_ma60_gt_ma120;prev20_market_bull;prev20_obv_above_ma20;prev20_return20_0_25;prev20_revenue_lag_0_14;prev20_solid_red_candle;prev20_volume_ge1_5;prev20_volume_ge2;source_first_close_above_prev20_reference,20,10.0,10.0,4.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,3114,好德,20260525,28.45,20260622,52.5,84.5343,84.5343,80.0,4,prev20_next_close_continuation;prev20_next_close_kdj_bullish;prev20_next_close_ma60_gt_ma120;prev20_next_close_market_bull,20,9.9754,9.9754,9.9476,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,8033,雷虎,20250725,70.0,20250821,128.5,83.5714,83.5714,80.0,7,prev20_next_close_continuation;prev20_next_close_holds_breakout;prev20_next_close_kdj_bullish;prev20_next_close_ma60_gt_ma120;prev20_next_close_market_bull;prev20_next_close_obv_above_ma20;prev20_next_close_volume_ge1_5,20,9.9281,9.9281,5.9569,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,3229,晟鈦,20260415,24.55,20260513,44.8,82.4847,82.4847,80.0,6,prev20_next_close_continuation;prev20_next_close_holds_breakout;prev20_next_close_kdj_bullish;prev20_next_close_ma60_gt_ma120;prev20_next_close_market_bull;prev20_next_close_obv_above_ma20,20,9.9387,9.9387,9.9875,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,3583,辛耘,20260312,369.0,20260410,673.0,82.3848,82.3848,80.0,1,prev20_revenue_lag_91_126,20,9.9783,9.9783,8.0868,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,6949,沛爾生醫-創,20260120,380.0,20260225,690.0,81.5789,81.5789,80.0,2,prev20_revenue_lag_0_14;prev20_volume_ge2,20,10.0,10.0,5.3571,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,6654,天正國際,20260526,110.0,20260623,199.0,80.9091,80.9091,80.0,15,first_close_cross_prev20;first_close_cross_prev40;first_close_cross_prev60;prev20_close_above_ma20_ema23;prev20_kdj_bullish_not_extreme;prev20_ma60_gt_ma120;prev20_market_bull;prev20_obv_above_ma20;prev20_range23_le15;prev20_return20_0_25;prev20_revenue_lag_0_14;prev20_solid_red_candle;prev20_tdcc_consecutive_up_ge1;prev20_volume_ge1_5;source_first_close_above_prev20_reference,20,10.0,10.0,10.0,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,8455,大拓-KY,20260428,22.15,20260526,40.0,80.5869,80.5869,80.0,6,prev20_next_close_continuation;prev20_next_close_holds_breakout;prev20_next_close_kdj_bullish;prev20_next_close_market_bull;prev20_next_close_obv_above_ma20;prev20_next_close_volume_ge1_5,20,9.9723,9.9723,9.9723,,no_single_day_scale_break_observed,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,4763,材料*-KY,20250523,906.0,20250701,90.8,-89.9779,-89.9779,80.0,8,first_close_cross_prev20;prev20_close_above_ma20_ema23;prev20_market_bull;prev20_obv_above_ma20;prev20_return20_0_25;prev20_revenue_lag_0_14;prev20_volume_ge1_5;source_first_close_above_prev20_reference,20,89.774,89.774,89.8079,,scale_break_or_incomplete_path_requires_root_cause_review,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,4763,材料*-KY,20250605,968.0,20250711,84.4,-91.281,-91.281,80.0,4,prev20_kdj_bullish_not_extreme;prev20_range23_le15;prev20_solid_red_candle;prev20_volume_ge2,20,89.774,89.774,89.8079,,scale_break_or_incomplete_path_requires_root_cause_review,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
2026-07-31 19:15:55 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_forward_confirmation_feature_audit,forward_confirmation_v2_20260713,4763,材料*-KY,20250606,972.0,20250714,82.9,-91.4712,-91.4712,80.0,6,prev20_next_close_continuation;prev20_next_close_holds_breakout;prev20_next_close_kdj_bullish;prev20_next_close_market_bull;prev20_next_close_obv_above_ma20;prev20_next_close_volume_ge1_5,20,89.774,89.774,89.8079,,scale_break_or_incomplete_path_requires_root_cause_review,not_available_as_complete_shared_point_in_time_layer,unresolved_review_candidate_retained_in_primary_not_classified_as_anomaly,True,True,False,False
