rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh
297,20260807,6146,耕興,其他電子業,mainstream_leader,0.74,0.74,1.0499999999999972,-0.8000000000000043,0.7100000000000009,-0.21000000000000085,1.759999999999998,0.74,2,5.0,5.0,328.1,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 2/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
298,20260807,8111,立碁,光電業,mainstream_leader,0.58,0.58,0.7199999999999989,-0.120000000000001,-0.14000000000000057,-1.120000000000001,0.7199999999999989,-4.42,1,0.0,5.0,11063.1,0.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；價格資料不足
299,20260807,4120,友華,生技醫療業,single_name_signal,0.51,0.51,0.5600000000000023,-0.009999999999990905,-0.009999999999990905,0.0,0.5600000000000023,0.51,1,0.0,0.0,86800.0,0.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；價格資料不足
300,20260807,8084,巨虹,電子通路業,mainstream_leader,0.25,0.25,0.3500000000000085,0.3500000000000014,1.3599999999999994,0.030000000000001137,2.0900000000000105,5.25,1,0.0,5.0,275.35,10.0,0,0.0,3,True,True,tdcc_leading_price,TDCC 領先股價 / 潛伏吸籌,strong_but_pre_move,籌碼強但尚未發動,-12.202688728024814,-3.0600593742863613,1.3842322022130094,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 領先股價 / 潛伏吸籌
301,20260807,6499,益安,生技醫療業,mainstream_leader,0.22,0.22,-0.25,0.22999999999999687,0.23000000000000398,1.0799999999999983,1.5399999999999991,5.22,1,0.0,5.0,298.25,10.0,0,0.0,1,False,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-18.528995756718526,-8.214484901601471,-6.255912132362151,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
302,20260807,7715,裕山,綠能環保,single_name_signal,0.1,0.1,0.8600000000000065,2.1199999999999974,0.0,0.0,2.980000000000004,5.1,2,5.0,0.0,191.2,10.0,0,0.0,2,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 2/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
303,20260807,6485,點序,半導體業,mainstream_leader,-0.02,-0.02,-0.0799999999999983,-0.08000000000000185,1.7399999999999984,0.0,1.7399999999999984,4.98,1,0.0,5.0,464.2,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
304,20260807,6462,神盾,半導體業,mainstream_leader,-0.18,-0.18,0.03999999999999915,0.05999999999999872,0.060000000000002274,1.120000000000001,1.2800000000000011,4.82,1,0.0,5.0,660.95,10.0,0,0.0,2,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-10.71428571428571,0.9795011612642623,3.1932555599893497,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
305,20260807,6024,群益期,金融保險業,single_name_signal,-0.19,-0.19,-0.1799999999999926,-0.029999999999986926,0.5100000000000051,0.8800000000000097,1.3900000000000148,4.81,2,5.0,0.0,593.92,10.0,1,0.0,1,False,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 2/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
306,20260807,8936,國統,其他,single_name_signal,-0.19,-0.19,0.5199999999999996,0.08999999999999986,0.08999999999999986,-0.2900000000000027,0.6999999999999993,-0.19,1,0.0,0.0,1245.95,0.0,0,0.0,2,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；價格資料不足
307,20260807,2461,光群雷,其他電子業,mainstream_leader,-0.26,-0.26,-0.5,0.05999999999999517,0.4399999999999977,0.9500000000000028,1.4499999999999957,4.74,1,0.0,5.0,930.62,10.0,0,0.0,1,False,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-4.31034482758621,2.131574911823342,3.893954474051553,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
308,20260807,6510,精測,半導體設備 / CoWoS,mainstream_leader,-0.4,-0.4,0.03999999999999915,0.04999999999999716,2.259999999999998,-0.5799999999999983,2.3499999999999943,4.6,1,0.0,5.0,414.1,10.0,0,0.0,5,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
