model_id,model_name_zh,model_registry_order,model_registry_active,report_line_applicability,model_group_zh,model_description_zh
volume_range_breakout,底部放量攻擊模型,1,True,both,突破,不含今日的前20日最高價為突破基準；收盤價 >= 基準 * 1.02、量比 >= 2.0、20日均量 >= 1000張，且為實體紅K或漲停型態。
price_pullback_23ema,股價回檔模型,2,True,both,回檔,股價回到23EMA或平台附近，且23EMA斜率向上或結構未破壞。
hot_theme_pullback,熱門族群回檔模型,3,True,both,回檔,必須有熱門族群標籤，且股價回到23EMA或合理支撐區附近；不以營收作為必要條件。
revenue_unreacted_range,營收爆發但股價尚未反應模型,4,True,both,基本面,營收YoY或累計YoY強，且股價仍位於23日盤整區間內；區間用近期最高/最低價加緩衝判斷。
w_bottom_right_side,W底右側模型,5,True,both,型態,W底右側初步成立，右側低點墊高，兩側低點高度不能差距過大；左低右高且已創高者不應歸入此模型。
near_high_neckline_challenge,接近前高 / 頸線挑戰模型,6,True,both,型態,距離前高或頸線約0%至5%，量能開始放大，均線轉正，用於提前抓突破前1至5日。
platform_strengthening,平台整理轉強模型,7,True,both,型態,盤整區間形成、波動收斂、接近平台上緣、量能回升，且出現帶量實體紅K。
pullback_short_reclaim,回檔後短線轉強模型,8,True,both,短線,前面有漲勢，回檔未破結構，且重新站回23EMA。
tdcc_stealth_accumulation,TDCC潛伏吸籌模型,9,True,both,籌碼,TDCC連續增加，股價尚未大漲，且位於近期盤整區間或尚未完全反應；以tdcc_leading_price為主要狀態。
tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,10,True,both,籌碼,all_thresholds_overheated或phase_overheated_after_tdcc，搭配MACD/KD/Bollinger與1W/2W漲幅條件。
