generated_at,model_id,artifact_id,artifact_version,analysis_basis,classification_trigger_id,classification_outcome_definition_id,classification_horizon_trading_days,feature_time_basis,feature_order,feature_id,feature_family,feature_kind,feature_rule,launch_group_count,no_launch_group_count,launch_observed_count,no_launch_observed_count,launch_hit_count,no_launch_hit_count,feature_hit_sample_count,launch_rate_when_feature_hit_pct,feature_miss_sample_count,launch_rate_when_feature_miss_pct,feature_hit_launch_rate_uplift_pct_points,launch_hit_rate_pct,no_launch_hit_rate_pct,launch_minus_no_launch_hit_rate_pct,launch_mean,launch_median,no_launch_mean,no_launch_median,launch_minus_no_launch_mean,standardized_mean_difference,launch_source_anomaly_candidate_count,no_launch_source_anomaly_candidate_count,launch_unresolved_price_path_candidate_count,no_launch_unresolved_price_path_candidate_count,discrimination_status,sample_policy,retrospective_label_status,approved_for_daily,production_change,promotion_readiness
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2100,preweek_change__return_5d_pct,price_momentum,numeric_change,anchor-day return_5d_pct minus value five trading days earlier,33,24,33,24,,,,,,,,,,,10.0017,6.9354,8.0022,8.7554,1.9995,0.2146,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2110,preweek_change__return_20d_pct,price_momentum,numeric_change,anchor-day return_20d_pct minus value five trading days earlier,33,24,29,16,,,,,,,,,,,9.2591,9.9636,7.367,8.5855,1.8922,0.2171,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2120,preweek_change__volume_ratio_prev20,volume,numeric_change,anchor-day volume_ratio_prev20 minus value five trading days earlier,33,24,33,24,,,,,,,,,,,1.2336,0.9014,2.1078,1.5033,-0.8742,-0.4291,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2130,preweek_change__range20_width_pct,price_shape,numeric_change,anchor-day range20_width_pct minus value five trading days earlier,33,24,29,16,,,,,,,,,,,-0.2825,0.0,-1.9249,-0.9831,1.6424,0.2483,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2140,preweek_change__range60_width_pct,price_shape,numeric_change,anchor-day range60_width_pct minus value five trading days earlier,33,24,29,16,,,,,,,,,,,-0.7918,0.0,-1.4289,0.0,0.6371,0.0701,0,0,0,0,weak_or_mixed_discrimination,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2150,preweek_change__close_position_120d_pct,price_position,numeric_change,anchor-day close_position_120d_pct minus value five trading days earlier,33,24,29,16,,,,,,,,,,,23.8057,18.3908,28.6325,20.8678,-4.8268,-0.2447,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2200,preweek_change__rsi14,technical,numeric_change,anchor-day rsi14 minus value five trading days earlier,33,24,33,24,,,,,,,,,,,11.6168,10.8931,15.2859,12.7835,-3.6691,-0.2998,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2210,preweek_change__macd_hist,technical,numeric_change,anchor-day macd_hist minus value five trading days earlier,33,24,29,15,,,,,,,,,,,4.7154,1.0226,0.666,0.5059,4.0493,0.4955,0,0,0,0,small_numeric_separation,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2220,preweek_change__kd_k_value,technical,numeric_change,anchor-day kd_k_value minus value five trading days earlier,33,24,33,24,,,,,,,,,,,18.1827,19.8861,29.2906,30.9016,-11.1079,-0.6071,0,0,0,0,no_launch_higher_risk_feature,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
2026-07-13 19:09:15 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v2_20260713,legacy_candidate_exclusion_sensitivity_only,close_breakout_prev20,hit20_by15_hold20_to_d20,126,pre_breakout_week_change,2230,preweek_change__kd_d_value,technical,numeric_change,anchor-day kd_d_value minus value five trading days earlier,33,24,33,24,,,,,,,,,,,10.3867,11.7418,17.9886,20.4398,-7.6019,-0.5381,0,0,0,0,no_launch_higher_risk_feature,sample_count_disclosed_not_used_as_automatic_rejection,research_only_future_outcome_label_not_tradable_trigger,False,False,blocked_pending_forward_trigger_test_and_root_cause_review
