research_id,artifact_version,source_research_id,source_artifact_version,raw_source_research_id,raw_source_artifact_version,advisory_status,parent_model_id,candidate_model_id,candidate_model_zh,row_type,analysis_scope_id,position_axis,base_condition_id,base_condition_zh,feature_family,feature_id,feature_label,condition_expression,condition_role,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,baseline_sample_size,baseline_win_rate_pct,baseline_loss_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,success_with_feature_count,failure_with_feature_count,success_share_pct,failure_share_pct,success_minus_failure_share_pct,success_median_value,failure_median_value,sample_count_context,candidate_status,decision_hint,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,market,market=TWSE,market: TWSE,market == TWSE,stratification_research_only_not_hidden_gate,135,58.4416,86,0,49,63.7037,0.0,36.2963,10.8618,6.7174,-17.2775,43.393,231,62.3377,37.6623,9.4824,6.6055,1.366,-1.366,1.3793,0.1119,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,market,market=listed,market: listed,market == listed,stratification_research_only_not_hidden_gate,57,24.6753,35,0,22,61.4035,0.0,38.5965,8.4712,9.5455,-14.5719,34.243,231,62.3377,37.6623,9.4824,6.6055,-0.9342,0.9342,-1.0112,2.94,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,risk_or_negative_stratification_subject,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,classification_id=high_position_breakout,classification_id: high_position_breakout,classification_id == high_position_breakout,stratification_research_only_not_hidden_gate,55,23.8095,39,0,16,70.9091,0.0,29.0909,10.3499,7.1829,-12.1725,35.0365,231,62.3377,37.6623,9.4824,6.6055,8.5714,-8.5714,0.8675,0.5774,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,classification_id=locked_limit_up_breakout,classification_id: locked_limit_up_breakout,classification_id == locked_limit_up_breakout,stratification_research_only_not_hidden_gate,176,76.1905,105,0,71,59.6591,0.0,40.3409,9.2114,5.7591,-17.5537,39.6843,231,62.3377,37.6623,9.4824,6.6055,-2.6786,2.6786,-0.2711,-0.8464,,,,,,,,reported_not_a_disqualifier,research_only_positive_return_but_win_below_threshold,risk_or_negative_stratification_subject,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,attack_method=general_breakout,attack_method: general_breakout,attack_method == general_breakout,stratification_research_only_not_hidden_gate,28,12.1212,19,0,9,67.8571,0.0,32.1429,5.1895,5.5594,-11.6618,22.2135,231,62.3377,37.6623,9.4824,6.6055,5.5195,-5.5195,-4.293,-1.0461,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,attack_method=locked_limit_up,attack_method: locked_limit_up,attack_method == locked_limit_up,stratification_research_only_not_hidden_gate,176,76.1905,105,0,71,59.6591,0.0,40.3409,9.2114,5.7591,-17.5537,39.6843,231,62.3377,37.6623,9.4824,6.6055,-2.6786,2.6786,-0.2711,-0.8464,,,,,,,,reported_not_a_disqualifier,research_only_positive_return_but_win_below_threshold,risk_or_negative_stratification_subject,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,attack_method=volume_attack,attack_method: volume_attack,attack_method == volume_attack,stratification_research_only_not_hidden_gate,27,11.6883,20,0,7,74.0741,0.0,25.9259,15.7014,13.7405,-12.3556,42.1468,231,62.3377,37.6623,9.4824,6.6055,11.7364,-11.7364,6.219,7.135,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,risk_type=high_position_chase,risk_type: high_position_chase,risk_type == high_position_chase,stratification_research_only_not_hidden_gate,220,95.2381,135,0,85,61.3636,0.0,38.6364,8.9726,6.2533,-16.9653,39.0361,231,62.3377,37.6623,9.4824,6.6055,-0.974,0.974,-0.5098,-0.3522,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,risk_or_negative_stratification_subject,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,risk_type=normal_risk,risk_type: normal_risk,risk_type == normal_risk,stratification_research_only_not_hidden_gate,7,3.0303,5,0,2,71.4286,0.0,28.5714,11.6874,6.25,-3.5343,33.4067,231,62.3377,37.6623,9.4824,6.6055,9.0909,-9.0909,2.2049,-0.3555,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
volume_range_breakout_v2_high_position_improvement_audit,volume_range_breakout_v2_high_position_improvement_audit_20260710,volume_range_breakout_v2_position_shape_matrix,volume_range_breakout_v2_position_shape_matrix_20260709,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,volume_range_breakout_v2_high_position_volume_attack,High-position volume attack,feature_slice,d15_close_only_next_day_continuation_ma20_ema23_stop,position_120d,high_pos_gt75_nonconsolidation_or_wide_ma60_gt_ma120,High-position non-consolidation/wide with MA60 > MA120,classification,risk_type=stop_loss_easy_trigger,risk_type: stop_loss_easy_trigger,risk_type == stop_loss_easy_trigger,stratification_research_only_not_hidden_gate,2,0.8658,2,0,0,100.0,0.0,0.0,21.1684,21.1684,13.567,28.7698,231,62.3377,37.6623,9.4824,6.6055,37.6623,-37.6623,11.686,14.5629,,,,,,,,reported_not_a_disqualifier,research_only_candidate_metric_met,positive_stratification_research_only,False,not_production_ready_research_only,2026-07-10 17:16:28 Asia/Taipei
