generated_at,model_id,snapshot_report_date,research_frame_has_date,published_row_count,published_unique_stock_count,published_duplicate_stock_count,research_proxy_unique_stock_count,overlap_stock_count,published_not_in_proxy_rows,proxy_not_published_rows,published_proxy_coverage_pct,proxy_publish_precision_pct,published_not_in_proxy_sample,proxy_not_published_sample,parity_scope,published_surface,research_proxy_scope,comparison_basis,candidate_universe_snapshot_path,candidate_universe_source_row_count,candidate_universe_condition_stock_count,candidate_universe_missing_required_columns,published_selection_semantics_values,published_source_category_counts,published_report_bucket_counts,candidate_universe_replay_status,parity_gap_driver,published_not_in_proxy_interpretation,proxy_not_published_interpretation,next_required_replay_artifact,parity_status,parity_blocker
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260615,True,183,181,2,181,181,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260615.csv,474,181,,model_condition_met_rank_by_score_no_theme_veto:183,pattern:125;revenue_pullback:24;range_rebound:22;revenue_breakout_low_response:12,mainstream:111;non_mainstream:72,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260616,True,155,154,1,154,154,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260616.csv,448,154,,model_condition_met_rank_by_score_no_theme_veto:155,pattern:105;revenue_pullback:29;revenue_breakout_low_response:12;range_rebound:9,mainstream:87;non_mainstream:68,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260617,True,162,159,3,159,159,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260617.csv,478,159,,model_condition_met_rank_by_score_no_theme_veto:162,pattern:113;revenue_pullback:22;range_rebound:18;revenue_breakout_low_response:9,mainstream:88;non_mainstream:74,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260618,True,198,198,0,198,198,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260618.csv,470,198,,model_condition_met_rank_by_score_no_theme_veto:198,pattern:148;range_rebound:50,mainstream:122;non_mainstream:76,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260622,True,255,253,2,253,253,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260622.csv,778,253,,model_condition_met_rank_by_score_no_theme_veto:255,pattern:121;revenue_pullback:55;range_rebound:48;revenue_breakout_low_response:29;true_breakout:2,mainstream:154;non_mainstream:101,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260623,True,234,233,1,233,233,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260623.csv,642,233,,model_condition_met_rank_by_score_no_theme_veto:234,pattern:124;revenue_pullback:69;revenue_breakout_low_response:23;range_rebound:18,mainstream:143;non_mainstream:91,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260624,True,234,230,4,230,230,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260624.csv,611,230,,model_condition_met_rank_by_score_no_theme_veto:234,pattern:131;revenue_pullback:60;range_rebound:22;revenue_breakout_low_response:21,mainstream:140;non_mainstream:94,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260626,True,220,217,3,217,217,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260626.csv,493,217,,model_condition_met_rank_by_score_no_theme_veto:220,pattern:105;revenue_pullback:80;revenue_breakout_low_response:22;range_rebound:13,mainstream:133;non_mainstream:87,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260629,True,221,219,2,219,219,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260629.csv,509,219,,model_condition_met_rank_by_score_no_theme_veto:221,pattern:125;revenue_pullback:56;range_rebound:23;revenue_breakout_low_response:17,mainstream:133;non_mainstream:88,candidate_universe_replay_exact_match,none_exact,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",exact_daily_row_parity_pass,
2026-06-30 22:43:02 Asia/Taipei,price_pullback_23ema,20260630,False,235,233,2,233,233,0,0,100.0,100.0,,,signal_date_stock_id,daily_candidate_model_signals_for_report,production_all_candidates_source_row_cond_pullback_replay,production_all_candidates_source_row_replay,output/history/daily_model_snapshots/all_candidates_20260630.csv,580,233,,model_condition_met_rank_by_score_no_theme_veto:235,pattern:120;revenue_pullback:61;range_rebound:37;revenue_breakout_low_response:17,mainstream:150;non_mainstream:85,candidate_universe_replay_exact_match,missing_research_frame_date,,,"historical all_candidates/source-row snapshot with candidate_source_type, candidate_line, report eligibility, source_row_index, and the exact model input columns",blocked_missing_research_frame_date,research frame does not include this published snapshot date
