rule_name,rule_family,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,sample_status
vol5_avg_ge_1_5 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,45,33,73.33,0.06,24,18,20.0,24.89,0.64,100.0,strong_bull=45,insufficient_sample
vol5_avg_ge_1_5 + market_strong_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,45,33,73.33,0.06,24,18,20.0,24.89,0.64,100.0,strong_bull=45,insufficient_sample
day_vol_ge_2 + market_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,40,29,72.5,0.06,27,20,17.46,22.44,0.54,100.0,strong_bull=40,insufficient_sample
day_vol_ge_2 + market_strong_bull + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,40,29,72.5,0.06,27,20,17.46,22.44,0.54,100.0,strong_bull=40,insufficient_sample
day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,43,30,69.77,0.06,29,21,16.03,21.42,0.54,100.0,strong_bull=40; range_or_unclear=3,insufficient_sample
vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,49,33,67.35,0.06,26,18,17.49,23.35,0.83,100.0,strong_bull=45; range_or_unclear=4,insufficient_sample
vol5_avg_ge_2 + tdcc_all_up + rsi_50_75 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,66,43,65.15,0.08,40,29,17.5,21.82,0.99,100.0,strong_bull=55; range_or_unclear=9; mild_bull=2,insufficient_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,65,42,64.62,0.08,39,26,17.44,22.23,0.62,100.0,strong_bull=65,insufficient_sample
vol5_avg_ge_2 + tdcc_high_up + rsi_50_75 + return_10d_20_50,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,79,51,64.56,0.1,48,33,17.49,21.48,0.82,100.0,strong_bull=65; range_or_unclear=9; mild_bull=5,insufficient_sample
vol5_avg_ge_2 + market_bull + tdcc_all_up + rsi_50_75 + return_10d_20_50,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,57,36,63.16,0.07,34,23,16.88,21.82,0.7,100.0,strong_bull=55; mild_bull=2,insufficient_sample
