generated_at,model_id,model_name_zh,research_artifact_id,lifecycle_replay_scope,test_order,test_stage,condition_test_id,condition_role_candidate,condition_rule,data_status,anomaly_exclusion_basis,unresolved_data_quality_candidate_count_in_sample,unresolved_data_quality_candidate_count_in_baseline,unresolved_data_quality_candidate_ids,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,buy_point_rule,source_signal_stock_days,source_unique_stocks,source_mature_signal_stock_days,accepted_trade_count,accepted_unique_stocks,suppressed_signal_count,suppressed_rate_pct,accepted_share_of_source_mature_pct,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct,source_signal_day_count,source_avg_signals_per_signal_day,accepted_signal_day_count,accepted_avg_trades_per_signal_day,research_trading_day_count,source_avg_signals_per_research_day,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_realized_return_pct,decision_hint,score_use,metric_surface_use,pdf_metric_readiness,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,same_day_unresolved_count,hard_stop_count,ma5_exit_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,same_day_unresolved_rate_pct,hard_stop_rate_pct,ma5_exit_rate_pct,avg_d20_close_return_pct,median_d20_close_return_pct,avg_realized_return_pct,avg_win_realized_return_pct,avg_failure_realized_return_pct,avg_neutral_realized_return_pct,avg_realized_or_d20_days,avg_days_to_win,avg_days_to_failure
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,0,00_baseline,baseline_replay,baseline_anchor,production proxy replay only; no additional condition,available_point_in_time_research_frame,including_unresolved_anomaly_candidates_primary,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,271027,1966,271027,22217,1966,248810,91.8,8.2,22217,100.0,237,1143.57,237,93.74,279,971.42,79.63,20250610,20260608,0.0,0.0,0.0,baseline_trade_level_anchor,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",22217,3811,6093,12313,0,6013,2940,17.15,27.42,55.42,0.0,27.06,13.23,2.12,-0.42,1.35,18.49,-5.15,3.75,13.7,9.6,13.64
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,220,05_v1_candidate_stack,v1_gate_return20_tdcc_high,v1_required_gate_plus_chip_candidate,v1 draft: require return20_0_25 and large-holder TDCC high thresholds increased,research_only_v1_candidate_not_production,including_unresolved_anomaly_candidates_primary,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,7086,1047,7086,1631,1047,5455,76.98,23.02,22217,7.34,124,57.15,113,14.43,279,25.4,5.85,20251128,20260608,7.87,-13.18,1.93,gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1631,408,534,689,0,233,462,25.02,32.74,42.24,0.0,14.29,28.33,3.93,1.02,3.28,18.86,-6.09,3.48,12.7,8.89,14.02
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,225,05_v1_candidate_stack,v1_gate_return20_tdcc_high_obv,v1_required_gate_plus_chip_and_technical_candidate,"v1 draft: require return20_0_25, large-holder TDCC high thresholds increased, and OBV above MA20",research_only_v1_candidate_not_production,including_unresolved_anomaly_candidates_primary,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,5047,842,5047,1276,842,3771,74.72,25.28,22217,5.74,124,40.7,111,11.5,279,18.09,4.57,20251128,20260608,8.56,-14.04,2.16,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1276,328,420,528,0,145,411,25.71,32.92,41.38,0.0,11.36,32.21,4.12,1.03,3.51,18.56,-5.68,3.3,12.37,8.67,14.12
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1000,06_candle_quality_reference,volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,bullish red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,including_unresolved_anomaly_candidates_primary,0,1,,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,27348,1941,27348,11029,1941,16319,59.67,40.33,22217,49.64,237,115.39,237,46.54,279,98.02,39.53,20250610,20260608,-0.68,-2.45,-0.45,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",11029,1817,3370,5842,0,1906,2728,16.47,30.56,52.97,0.0,17.28,24.73,1.4,-0.67,0.9,16.66,-5.26,3.08,13.5,9.03,14.47
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1010,06_candle_quality_reference,solid_volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,solid red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,including_unresolved_anomaly_candidates_primary,0,1,,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,14453,1891,14453,8024,1891,6429,44.48,55.52,22217,36.12,237,60.98,237,33.86,279,51.8,28.76,20250610,20260608,-1.17,-2.99,-0.52,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",8024,1282,2535,4207,0,1210,2282,15.98,31.59,52.43,0.0,15.08,28.44,1.18,-0.65,0.83,16.35,-5.17,2.93,13.26,8.75,14.36
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1020,06_candle_quality_reference,solid_volume_red_k_vol1.5,buy_point_quality_reference_not_required_gate,solid red K with volume_ratio_prev20 >= 1.5,computed_from_point_in_time_price_volume,including_unresolved_anomaly_candidates_primary,0,1,,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,9267,1820,9267,6062,1820,3205,34.59,65.41,22217,27.29,237,39.1,237,25.58,279,33.22,21.73,20250610,20260608,-1.28,-2.83,-0.58,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",6062,962,1912,3188,0,840,1978,15.87,31.54,52.59,0.0,13.86,32.63,1.12,-0.78,0.77,16.23,-5.08,2.74,12.72,8.5,13.81
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,0,00_baseline,baseline_replay,baseline_anchor,production proxy replay only; no additional condition,available_point_in_time_research_frame,excluding_unresolved_anomaly_candidates_sensitivity_only,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,271026,1966,271026,22216,1966,248810,91.8,8.2,22216,100.0,237,1143.57,237,93.74,279,971.42,79.63,20250610,20260608,0.0,0.0,0.0,baseline_trade_level_anchor,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",22216,3810,6093,12313,0,6013,2940,17.15,27.43,55.42,0.0,27.07,13.23,2.12,-0.42,1.33,18.41,-5.15,3.75,13.7,9.6,13.64
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,220,05_v1_candidate_stack,v1_gate_return20_tdcc_high,v1_required_gate_plus_chip_candidate,v1 draft: require return20_0_25 and large-holder TDCC high thresholds increased,research_only_v1_candidate_not_production,excluding_unresolved_anomaly_candidates_sensitivity_only,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,7085,1047,7085,1631,1047,5454,76.98,23.02,22216,7.34,124,57.14,113,14.43,279,25.39,5.85,20251128,20260608,7.87,-13.18,1.95,gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1631,408,534,689,0,233,462,25.02,32.74,42.24,0.0,14.29,28.33,3.93,1.02,3.28,18.86,-6.09,3.48,12.7,8.89,14.02
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,225,05_v1_candidate_stack,v1_gate_return20_tdcc_high_obv,v1_required_gate_plus_chip_and_technical_candidate,"v1 draft: require return20_0_25, large-holder TDCC high thresholds increased, and OBV above MA20",research_only_v1_candidate_not_production,excluding_unresolved_anomaly_candidates_sensitivity_only,1,1,2380_20260519_unadjusted_capital_reduction_resumption_gap,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,5046,842,5046,1275,841,3771,74.73,25.27,22216,5.74,124,40.69,111,11.49,279,18.09,4.57,20251128,20260608,8.5,-14.01,1.93,strong_gate_candidate_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",1275,327,420,528,0,145,411,25.65,32.94,41.41,0.0,11.37,32.24,4.11,1.03,3.26,17.65,-5.68,3.3,12.36,8.64,14.12
2026-07-13 01:01:37 Asia/Taipei,price_pullback_23ema,股價回檔模型,price_pullback_23ema_lifecycle_replay,trade_level_same_stock_active_position_suppressed,1000,06_candle_quality_reference,volume_red_k_vol1.2,buy_point_quality_reference_not_required_gate,bullish red K with volume_ratio_prev20 >= 1.2,computed_from_point_in_time_price_volume,excluding_unresolved_anomaly_candidates_sensitivity_only,0,1,,close_prev20_break_then_tp10_or_5ma_next_open,close_confirmed_candidate,10.0,next_open_after_profit_target_or_5ma_close_exit,signal_date_next_open,Buy next open only after the price_pullback_23ema production proxy signal; lifecycle replay suppresses later same-stock signals until the prior accepted trade exits.,27348,1941,27348,11029,1941,16319,59.67,40.33,22216,49.64,237,115.39,237,46.54,279,98.02,39.53,20250610,20260608,-0.68,-2.45,-0.43,mixed_or_neutral_review,research_only_not_production_score,model_lane_research_metric_source_candidate_not_pdf_ready,blocked_until_formal_promotion_and_operation_adapter_contract,not_production_ready_research_only,False,none,blocked_exact_daily_row_parity_operation_adapter_and_metric_contract_required,"requires explicit model-rule decision, lifecycle/operation adapter contract, exact parity, validators, PR merge, post-merge main validation, and PDF metric consumer contract before display",11029,1817,3370,5842,0,1906,2728,16.47,30.56,52.97,0.0,17.28,24.73,1.4,-0.67,0.9,16.66,-5.26,3.08,13.5,9.03,14.47
