generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,row_type,anomaly_exclusion_basis,decision_basis,confirmation_variant_id,confirmation_variant_name_zh,pending_window_days,exit_clock_id,source_signal_count,source_anomaly_candidate_count,accepted_trade_count_before_candidate_sensitivity_exclusion,price_path_anomaly_candidate_count,metric_sample_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_anomaly_candidate_count,top1_abs_return_share_pct,top5_abs_return_share_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,control_baseline,including_unresolved_anomaly_candidates_primary,True,signal_close_control,訊號日直接進場對照組,0,signal_d20_close,81585,11533,4762,7,4762,220.1893,4414,20250609,-91.0164,4763,20250609,32,0.4314,1.5326,2.4249,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,next_day_close_continuation,隔日續強確認型,1,signal_d20_close,81585,11533,4272,7,4272,210.3976,4414,20250609,-90.8508,4763,20250613,22,0.4734,1.7932,2.2684,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,next_day_close_continuation,隔日續強確認型,1,confirmation_d20_close,81585,11533,4087,7,4087,224.159,4414,20250609,-90.9613,4763,20250613,26,0.5074,1.8138,2.4806,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,3,signal_d20_close,81585,11533,1761,1,1761,139.1048,6658,20260417,-40.6061,6727,20260519,12,0.6586,2.7442,2.9271,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,3,confirmation_d20_close,81585,11533,1710,1,1710,117.3077,6949,20250710,-40.676,2540,20250902,14,0.5394,2.4613,3.5153,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,5,signal_d20_close,81585,11533,1882,1,1882,139.1048,6658,20260417,-40.6061,6727,20260519,12,0.6137,2.5732,3.0295,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,5,confirmation_d20_close,81585,11533,1819,1,1819,220.603,5386,20260123,-40.676,2540,20250901,12,0.9406,2.7978,3.4055,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,10,signal_d20_close,81585,11533,2004,2,2004,139.1048,6658,20260417,-49.3438,8932,20260121,8,0.6157,2.3633,2.4151,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,range23_highest_close_breakout,區間突破確認型,10,confirmation_d20_close,81585,11533,1876,2,1876,220.603,5386,20260122,-51.706,8932,20260121,16,0.8995,2.6105,3.3586,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
2026-07-14 13:57:09 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v2_anomaly_candidate_primary,variant_performance,including_unresolved_anomaly_candidates_primary,True,ma20_ema23_close_reclaim,均線站回確認型,3,signal_d20_close,81585,11533,3561,6,3561,239.3939,4414,20250613,-90.967,4763,20250609,19,0.608,2.1077,2.5487,False,blocked_pending_root_cause_anomaly_candidate_review,False,none
