dimension,bucket,sample_size,avg_return_d5,avg_return_d10,avg_return_d20,avg_relative_return_vs_benchmark_d5,avg_relative_return_vs_benchmark_d20,effective_count,pending_count,last_updated
event_type,capacity_expansion,11,1.62,-9.09,,-0.26,,0,5,2026-07-07 08:17:26 Asia/Taipei
event_type,investor_conference,61,-0.54,-1.60,,-0.10,,5,17,2026-07-07 08:17:26 Asia/Taipei
event_type,mass_production,1,10.57,25.13,,19.52,,1,0,2026-07-07 08:17:26 Asia/Taipei
event_type,material_information,581,-0.12,1.67,-0.03,0.01,-8.14,81,170,2026-07-07 08:17:26 Asia/Taipei
event_type,new_order,103,-1.45,-0.08,,-1.64,,11,22,2026-07-07 08:17:26 Asia/Taipei
event_type,product_certification,18,3.34,1.26,,3.06,,4,4,2026-07-07 08:17:26 Asia/Taipei
event_type,quarterly_financial,969,2.36,3.25,,1.23,,332,0,2026-07-07 08:17:26 Asia/Taipei
event_type,shareholder_meeting,411,0.94,2.02,0.00,0.69,-11.99,63,74,2026-07-07 08:17:26 Asia/Taipei
catalyst_confidence,high,2155,1.33,2.70,-0.02,0.73,-8.78,497,292,2026-07-07 08:17:26 Asia/Taipei
price_reaction_level,blank,3,,,,,,0,0,2026-07-07 08:17:26 Asia/Taipei
price_reaction_level,mild,355,6.67,8.47,,5.49,,215,0,2026-07-07 08:17:26 Asia/Taipei
price_reaction_level,blank,1605,-3.24,-1.70,-6.35,-3.55,-13.94,138,292,2026-07-07 08:17:26 Asia/Taipei
price_reaction_level,overheated,85,31.97,31.40,31.63,30.12,17.00,64,0,2026-07-07 08:17:26 Asia/Taipei
price_reaction_level,priced_in,107,15.45,16.18,,14.15,,80,0,2026-07-07 08:17:26 Asia/Taipei
success_label,effective,497,9.42,13.51,31.63,9.33,17.00,497,0,2026-07-07 08:17:26 Asia/Taipei
success_label,failed,329,-6.33,-7.61,-11.19,-6.46,-20.40,0,0,2026-07-07 08:17:26 Asia/Taipei
success_label,missing_price_history,3,,,,,,0,0,2026-07-07 08:17:26 Asia/Taipei
success_label,mixed_or_pending,517,-2.66,3.71,-8.91,-3.42,-9.28,0,0,2026-07-07 08:17:26 Asia/Taipei
success_label,pending,292,,,,,,0,292,2026-07-07 08:17:26 Asia/Taipei
success_label,tradable_then_faded,517,2.43,-6.01,-0.23,1.20,-9.80,0,0,2026-07-07 08:17:26 Asia/Taipei
