generated_at,model_id,model_name_zh,research_artifact_id,matrix_scope,base_condition_id,base_condition_rule,test_order,condition_test_id,condition_family,condition_role_candidate,condition_rule,data_status,revenue_join_source,point_in_time_rule,anomaly_exclusion_basis,decision_basis,sensitivity_basis,revenue_anomaly_candidate_count_in_sample,revenue_anomaly_candidate_count_in_baseline,exit_rule_id,formal_price_rule_status,profit_target_pct,exit_price_rule,entry_rule_id,operation_basis,lifecycle_replay_scope,source_mature_signal_stock_days,source_unique_stocks,accepted_trade_count,accepted_unique_stocks,suppressed_signal_count,suppressed_rate_pct,accepted_share_of_source_mature_pct,baseline_source_mature_signal_stock_days,baseline_accepted_trade_count,accepted_trade_share_of_baseline_pct,source_signal_day_count,source_avg_signals_per_signal_day,accepted_signal_day_count,accepted_avg_trades_per_signal_day,research_trading_day_count,accepted_avg_trades_per_research_day,first_signal_date,last_signal_date,metric_surface_use,advisory_status,approved_for_daily,production_change,promotion_readiness,promotion_blocker,mature_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_d20_close_return_pct,median_d20_close_return_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_count,high_return_8_rate_pct,high_return_10_count,high_return_10_rate_pct,loss_5_count,loss_5_rate_pct,avg_revenue_latest_yoy_pct,median_revenue_latest_yoy_pct,avg_revenue_cumulative_yoy_pct,median_revenue_cumulative_yoy_pct
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,price_range_no_attack_without_revenue_gate,baseline,baseline_price_proxy_anchor,price remains inside the recent 23-day range and active attack has not started; no revenue gate,price_proxy_available_revenue_gate_not_applied,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,369586,2130,336501,2130,0,0.0,91.05,369586,336501,100.0,296,1248.6,296,1248.6,316,1064.88,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",336501,75984,77787,182730,22.58,23.12,54.3,1.04,-0.72,1.04,-0.72,54423,16.17,44737,13.29,86061,25.58,6.13,1.4,7.29,2.5
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_context_ready,revenue_coverage,coverage_gate_review,canonical monthly revenue history has an as-of row where source_table_date <= signal_date,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8714,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,363433,1968,333090,1968,0,0.0,91.65,369586,336501,98.99,296,1227.81,296,1227.81,316,1054.08,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",333090,75084,76492,181514,22.54,22.96,54.49,1.03,-0.75,1.03,-0.75,53840,16.16,44305,13.3,85626,25.71,6.13,1.4,7.29,2.5
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,20,revenue_production_strong,revenue_strength,production_semantic_gate_candidate,latest revenue YoY >= 30% or cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,8371,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,93804,1414,83220,1414,0,0.0,88.72,369586,336501,24.73,296,316.91,296,316.91,316,263.35,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",83220,22612,15964,44644,27.17,19.18,53.65,1.61,-0.81,1.61,-0.81,17295,20.78,14708,17.67,24877,29.89,49.48,37.87,45.46,30.67
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,30,latest_revenue_yoy_ge50,revenue_strength,stronger_revenue_gate_candidate,latest monthly revenue YoY >= 50%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,7550,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,33472,836,29119,836,0,0.0,87.0,369586,336501,8.65,296,113.08,296,113.08,316,92.15,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",29119,8175,5039,15905,28.07,17.3,54.62,1.42,-1.08,1.42,-1.08,6408,22.01,5485,18.84,9588,32.93,101.26,81.65,64.29,51.58
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,40,latest_revenue_yoy_ge100,revenue_strength,stronger_revenue_gate_candidate,latest monthly revenue YoY >= 100%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,7418,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,11838,384,10285,384,0,0.0,86.88,369586,336501,3.06,296,39.99,296,39.99,316,32.55,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",10285,2735,1830,5720,26.59,17.79,55.61,1.01,-1.3,1.01,-1.3,2173,21.13,1866,18.14,3436,33.41,159.29,147.0,101.29,87.31
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,50,cumulative_revenue_yoy_ge30,revenue_strength,stronger_revenue_gate_candidate,cumulative monthly revenue YoY >= 30%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,7362,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,47728,825,42698,825,0,0.0,89.46,369586,336501,12.69,296,161.24,296,161.24,316,135.12,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",42698,12085,7419,23194,28.3,17.38,54.32,1.67,-1.01,1.67,-1.01,9466,22.17,8197,19.2,13634,31.93,60.59,47.3,73.73,51.49
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,60,latest30_and_cumulative20,revenue_strength_combo,condition_package_candidate,latest monthly revenue YoY >= 30% and cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,excluding_unresolved_anomaly_candidates_sensitivity_only,False,True,6631,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,42989,900,37855,900,0,0.0,88.06,369586,336501,11.25,296,145.23,296,145.23,316,119.79,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_operation_rule_and_model_specific_promotion_pr_required,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",37855,11010,6530,20315,29.08,17.25,53.67,1.71,-0.9,1.71,-0.9,8681,22.93,7500,19.81,12177,32.17,77.52,58.57,66.18,47.46
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,0,price_range_no_attack_without_revenue_gate,baseline,baseline_price_proxy_anchor,price remains inside the recent 23-day range and active attack has not started; no revenue gate,price_proxy_available_revenue_gate_not_applied,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,8714,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,378300,2133,344345,2133,0,0.0,91.02,378300,344345,100.0,296,1278.04,296,1278.04,316,1089.7,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",344345,77725,79211,187409,22.57,23.0,54.42,1.0,-0.74,1.0,-0.74,55707,16.18,45807,13.3,88812,25.79,617.26,1.84,343.02,2.81
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,10,revenue_context_ready,revenue_coverage,coverage_gate_review,canonical monthly revenue history has an as-of row where source_table_date <= signal_date,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,8714,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,372147,1971,340934,1971,0,0.0,91.61,378300,344345,99.01,296,1257.25,296,1257.25,316,1078.91,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",340934,76825,77916,186193,22.53,22.85,54.61,1.0,-0.77,1.0,-0.77,55124,16.17,45375,13.31,88377,25.92,617.26,1.84,343.02,2.81
2026-08-23 06:49:38 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_revenue_condition_matrix,model_specific_revenue_condition_research,price_range_no_attack_proxy,price remains inside the recent 23-day range and active attack has not started,20,revenue_production_strong,revenue_strength,production_semantic_gate_candidate,latest revenue YoY >= 30% or cumulative revenue YoY >= 20%,joined_from_full_market_monthly_revenue_history_research_only,data/monthly_revenue_history/monthly_revenue_history.csv,monthly revenue source_table_date must be <= signal_date,including_unresolved_anomaly_candidates_primary,True,False,8371,8714,d20_close_advisory,research_only_no_formal_operation_contract,5.0,D+20 close-only advisory outcome,signal_date_next_open,research_only_d20_close_not_operation_contract,none_no_formal_operation_adapter,102175,1429,90721,1429,0,0.0,88.79,378300,344345,26.35,296,345.19,296,345.19,316,287.09,20250605,20260820,model_lane_research_metric_source_candidate_not_pdf_ready,not_production_ready_research_only,False,none,blocked_pending_root_cause_anomaly_candidate_review,"revenue_unreacted_range still needs explicit buy/sell/stop/outcome contract, contract/parity/validator updates, PR merge, and post-merge main validation before a revenue gate or PDF metric can be formal",90721,24288,17264,49169,26.77,19.03,54.2,1.42,-0.92,1.42,-0.92,18550,20.45,15753,17.36,27564,30.38,2342.83,40.4,1301.97,32.3
