stock_id,stock_name,entry_date,strategy_key,strategy_name,entry_price,exit_date,exit_price,return_pct,mfe_pct,mae_pct,holding_days,reference_level,mature,status,generated_at
2484,希華,20260525,break_ema23,跌破 EMA23 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:29 Asia/Taipei
2484,希華,20260525,break_ma20,跌破 MA20 輔助觀察賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:29 Asia/Taipei
2484,希華,20260525,break_neckline,跌破頸線賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:29 Asia/Taipei
2484,希華,20260525,break_breakout_low,跌破突破K低點賣,54.2,,,,0.0,-4.059040590405905,1,52.0,False,pending,2026-05-26 06:58:29 Asia/Taipei
2484,希華,20260525,high_volume_black,放量長黑賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:29 Asia/Taipei
2484,希華,20260525,fixed_d5,固定 D+5 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260525,fixed_d10,固定 D+10 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260525,fixed_d20,固定 D+20 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260525,atr_trailing_stop,ATR trailing stop 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260525,percent_trailing_stop,固定百分比 trailing stop 賣,54.2,,,,0.0,-4.059040590405905,1,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,prior_high,碰前高賣,54.2,,,,,,0,54.2,False,level_unavailable,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,high_20d,碰 20日高賣,54.2,,,,,,0,54.2,False,level_unavailable,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,high_60d,碰 60日高賣,54.2,,,,,,0,54.2,False,level_unavailable,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,high_120d,碰 120日高賣,54.2,,,,,,0,54.2,False,level_unavailable,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,resistance_scale_out,壓力區分批賣,54.2,,,,,,0,54.2,False,level_unavailable,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,broker_target_median,券商目標價中位數賣,,,,,,,,,False,source_unavailable_or_not_implemented,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,broker_target_average,券商目標價平均數賣,,,,,,,,,False,source_unavailable_or_not_implemented,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,tdcc_weakening,TDCC 大戶轉弱賣,,,,,,,,,False,source_unavailable_or_not_implemented,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,shareholders_surge,股東人數暴增賣,,,,,,,,,False,source_unavailable_or_not_implemented,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,margin_surge,融資快速增加賣,,,,,,,,,False,source_unavailable_or_not_implemented,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,break_ema23,跌破 EMA23 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,break_ma20,跌破 MA20 輔助觀察賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,break_neckline,跌破頸線賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,break_breakout_low,跌破突破K低點賣,54.2,,,,,,0,52.0,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,high_volume_black,放量長黑賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,fixed_d5,固定 D+5 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,fixed_d10,固定 D+10 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,fixed_d20,固定 D+20 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,atr_trailing_stop,ATR trailing stop 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
2484,希華,20260526,percent_trailing_stop,固定百分比 trailing stop 賣,54.2,,,,,,0,,False,pending,2026-05-26 06:58:30 Asia/Taipei
