date,market,reason,source_url
20260101,TWSE_TPEx,Republic Day,https://www.twse.com.tw/en/trading/holiday.html
20260212,TWSE_TPEx,Lunar New Year adjusted market holiday,https://www.twse.com.tw/en/trading/holiday.html
20260213,TWSE_TPEx,Lunar New Year adjusted market holiday,https://www.twse.com.tw/en/trading/holiday.html
20260216,TWSE_TPEx,Lunar New Year holiday,https://www.twse.com.tw/en/trading/holiday.html
20260217,TWSE_TPEx,Lunar New Year holiday,https://www.twse.com.tw/en/trading/holiday.html
20260218,TWSE_TPEx,Lunar New Year holiday,https://www.twse.com.tw/en/trading/holiday.html
20260219,TWSE_TPEx,Lunar New Year holiday,https://www.twse.com.tw/en/trading/holiday.html
20260220,TWSE_TPEx,Lunar New Year adjusted market holiday,https://www.twse.com.tw/en/trading/holiday.html
20260227,TWSE_TPEx,Peace Memorial Day observed,https://www.twse.com.tw/en/trading/holiday.html
20260403,TWSE_TPEx,Children's Day observed,https://www.twse.com.tw/en/trading/holiday.html
20260406,TWSE_TPEx,Qingming Festival observed,https://www.twse.com.tw/en/trading/holiday.html
20260501,TWSE_TPEx,Labor Day,https://www.twse.com.tw/en/trading/holiday.html
20260619,TWSE_TPEx,Dragon Boat Festival,https://www.twse.com.tw/en/trading/holiday.html
20260925,TWSE_TPEx,Make-up day after Teachers' Day adjusted holiday,https://www.twse.com.tw/en/trading/holiday.html
20260928,TWSE_TPEx,Teachers' Day,https://www.twse.com.tw/en/trading/holiday.html
20261009,TWSE_TPEx,National Day adjusted holiday,https://www.twse.com.tw/en/trading/holiday.html
20261026,TWSE_TPEx,Taiwan's Retrocession Day observed,https://www.twse.com.tw/en/trading/holiday.html
20261225,TWSE_TPEx,Constitution Day,https://www.twse.com.tw/en/trading/holiday.html
