date,path,source_sha,before_sha256,after_sha256,listed_sha256,listed_rows,otc_before_rows,otc_after_rows,raw_path,raw_sha256,receipt_path,url,retrieved_at,original_publication_version_verified
20250901,data/daily_price/20250901.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,52f51814068791177b20d1fa1df889b5deb2a54c27307808f066c1d157237e67,e3e9ec75d00fb34b121f2ea9d90aa599af2457c7db24bc464d294663bd7abfd6,b7fad95ab2e91523c730157cdfff38577082b5f2c75c04d0dbc9c75cdeb8a3ee,1045,1121,844,retained-evidence/tpex-history-repair-202509/raw/20250901_TPEx_raw.json,9ad0b9524603ee8ddd434c93a2c34388225389caba0d553a33d7afe99ba70d29,retained-evidence/tpex-history-repair-202509/raw/20250901_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/01&type=EW&response=json,2026-09-11T04:33:51.752216+00:00,false
20250902,data/daily_price/20250902.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,04bd009d92728b7d3bae55870c4da9b81f70040be2c86a9d1e1aad9858733d58,7e169d29efdeecf9a7f4bcd7e4814bcf3e1f851f8e4afb0a72a16bbf90607e51,34ef50e5990e5ac70ec38555c5c70fd5818b1c08018652527fa1c85ce8bfece7,1047,1121,832,retained-evidence/tpex-history-repair-202509/raw/20250902_TPEx_raw.json,39ced4fedfbb4a6028457ef873d1679298c929ea30468e17993c3bb2ea2cd00e,retained-evidence/tpex-history-repair-202509/raw/20250902_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/02&type=EW&response=json,2026-09-11T04:33:53.284115+00:00,false
20250903,data/daily_price/20250903.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,b02e267435ddf2be7acc316ce0dbf6c9c64d42f2d9760ce034f3352f5e3e3fa2,cec5870fc9d4cd053933e1eae75128257a15863c3be7a32641bf6054301d2e7d,aa128bcdae9388830bda6dca28ad9bfb89d7d259e5714290cbfd140bc3c29b2a,1049,1121,841,retained-evidence/tpex-history-repair-202509/raw/20250903_TPEx_raw.json,051c1f6e6650a580a91c57b2737df0a09c3fd5db74409c223b43d292e592834a,retained-evidence/tpex-history-repair-202509/raw/20250903_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/03&type=EW&response=json,2026-09-11T04:33:54.812511+00:00,false
20250904,data/daily_price/20250904.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,034eb9feaa8169d1d67255a44da9ac75d89512a581ac76c1d00c3fc880a3846a,67135508dc3e54d2750254baa5b62b46696f463f48898d5063218737690d75b9,d7ee8a800a19f30582c8b8919231ccb5b8a28511839cb07c7177aaa3eb0fea98,1046,1121,840,retained-evidence/tpex-history-repair-202509/raw/20250904_TPEx_raw.json,419434d1e2ab6e1523d486f39eaeae074461c8eab6ec4dd457c0c37d0a5abf2f,retained-evidence/tpex-history-repair-202509/raw/20250904_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/04&type=EW&response=json,2026-09-11T04:33:56.289346+00:00,false
20250905,data/daily_price/20250905.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,d9f91a745821ebe1d27d45a0968423dcd4fe81df79e01c78d16b015cf5fcf5c6,23b0a3a88b223accee89e24550ca589329a9d825af1ef8e3b01cb8c427745f85,a6c3f116d110b611f4bf7e0021414aa2682ba7c96930a3e1b26705d94a85531e,1046,1121,838,retained-evidence/tpex-history-repair-202509/raw/20250905_TPEx_raw.json,d689869169fa03a877b0d85bf78511aec9153ecfad75effa1f4e44bcb796e893,retained-evidence/tpex-history-repair-202509/raw/20250905_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/05&type=EW&response=json,2026-09-11T04:33:57.767602+00:00,false
20250909,data/daily_price/20250909.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,7596160d881528bf0a4c5cddf3734b4a993f7beb5b2f9fe33478fd0ed91369e3,0137d4e26d2f734b37d1d6d3273ed855c2b8b3d29099de29a8dd0f793d5c6162,db30bfa472040618182db528ef0a7a4d0429b013b63f1a3d45ffb00466b87e4d,1052,1121,839,retained-evidence/tpex-history-repair-202509/raw/20250909_TPEx_raw.json,7ec5496fba8112eccbb69b8321f49bf94764150d7b6f4ef34eee9ccbbb5b04af,retained-evidence/tpex-history-repair-202509/raw/20250909_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/09&type=EW&response=json,2026-09-11T04:33:59.267824+00:00,false
20250910,data/daily_price/20250910.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,f55f6b8118a767af23c1862879e486389bb032a27964bc19d0d1e26d9e0512ec,8364483ba15fd99b4e8ccbbe4b6a19f456d8b75b9c3354678a644835afac9675,3580737df1f47fceee81e819ec407f19f948c4c04cf9146481df51982479c4cf,1051,1121,840,retained-evidence/tpex-history-repair-202509/raw/20250910_TPEx_raw.json,398402e1c4340fb17ca8768f3063ba8115cfa9a85f06c0fbcece9de1dac9c234,retained-evidence/tpex-history-repair-202509/raw/20250910_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/10&type=EW&response=json,2026-09-11T04:34:00.788086+00:00,false
20250911,data/daily_price/20250911.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,f88efabd42f7e5f2d38421882f98c79e364b3b5083abf773ccae879616e541fa,c03dd5f24204cdac770b44abf8f36010787c6f95b308adea7fd645aef650ad77,e4a351b92bb8f30a1badc492ef6066d23a9d7a1e18aba4217a784cf2f1dfd77a,1051,1121,842,retained-evidence/tpex-history-repair-202509/raw/20250911_TPEx_raw.json,220361e741e9fd5c3c38e780dd229de2acc1a4cc236f5254264b327f7cbc8c28,retained-evidence/tpex-history-repair-202509/raw/20250911_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/11&type=EW&response=json,2026-09-11T04:34:02.338859+00:00,false
20250917,data/daily_price/20250917.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,2784d43da82981a902e54331f6c92da101a7f180103e14f00e059e4d64cae882,4bbf4362657c9ac6d7e273f69f09c4e71975ec2ba4c1f01163905b8e3f490842,b65e2d97b5186cd21a100e8d581e291680b73e91ef7bcfa5719ed8ee787e2601,1055,1121,836,retained-evidence/tpex-history-repair-202509/raw/20250917_TPEx_raw.json,33b4324bae85585f5f8fa9f22fa494f27ee9539d5972238f69e228a3a860ca2c,retained-evidence/tpex-history-repair-202509/raw/20250917_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/17&type=EW&response=json,2026-09-11T04:34:03.897380+00:00,false
20250918,data/daily_price/20250918.csv,b08f54c769c69655f9b621c4da01379fb4b9b8bf,bda0bf6b63f58109dd48f18668cd412e63c99fefb6358c917f07f3f234b67a91,911656035c66c7e511315fc81be5618df599eff0e448cd1a5b453882a3811c46,6b531d435217c37cb7e1446700ddcff8c489ba57b4321cb88a48f692bc8182ee,1053,1121,837,retained-evidence/tpex-history-repair-202509/raw/20250918_TPEx_raw.json,7104118445788a7a32e34b604a280571ee42c1c0a444818619e140b1e927c2f8,retained-evidence/tpex-history-repair-202509/raw/20250918_TPEx_receipt.json,https://www.tpex.org.tw/www/zh-tw/afterTrading/otc?date=2025/09/18&type=EW&response=json,2026-09-11T04:34:05.407753+00:00,false
