model_id,model_name,contract_version,owner_lane,production_source_file,condition_function,score_function,score_profile_id,input_columns,output_columns,pdf_visibility,approved_for_daily_pdf,approved_for_tdcc_weekly_pdf,approved_for_individual_pdf,research_baseline_required,promotion_required,effective_from,deprecated_after,change_reason
volume_range_breakout,Volume range breakout,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_volume_breakout,score_volume_breakout,volume_range_breakout,avg_volume_20d;avg_volume_20d_lots;close;close_1d_ago;close_prev;cumulative_revenue_yoy;cumulative_yoy_pct;daily_return_calc;days_in_range;downgrade_flags;false_breakout_risk;high;high_20_ex_today;latest_revenue_yoy;low;off_60d_low_pct;open;platform_days;platform_high;platform_width_pct;prev_close;previous_20d_high;previous_20d_high_ex_today;previous_close;prior_20d_high;range_high;range_width_pct;range_window;return_1d;return_1d_pct;return_20d;return_20d_pct;revenue_yoy_pct;risk_flags;risk_penalty_tags;selection_status;short_platform_high;short_platform_width_pct;stock_id;stock_name;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_notes;volume_breakout_priority;volume_breakout_type;volume_ma20;volume_ma20_lots;volume_ratio;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,deprecated_replaced_by_volume_range_breakout_v2,false,false,false,false,false,2026-06-21,2026-07-09,legacy_v1_isolated_replaced_by_volume_range_breakout_v2_low_and_mid_formal_models_2026-07-09
volume_range_breakout_v2_low_position_volume_attack,Volume breakout v2 low position volume attack,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_volume_breakout_v2_low_position_watch_only,score_volume_breakout_v2_low_position,volume_range_breakout_v2_low_position_volume_attack,avg_volume_20d;avg_volume_20d_lots;close;close_1d_ago;close_prev;cumulative_revenue_yoy;cumulative_yoy_pct;daily_return_calc;days_in_range;downgrade_flags;false_breakout_risk;high;high_20_ex_today;latest_revenue_yoy;low;off_60d_low_pct;open;platform_days;platform_high;platform_width_pct;prev_close;previous_20d_high;previous_20d_high_ex_today;previous_close;prior_20d_high;range_high;range_width_pct;range_window;return_1d;return_1d_pct;return_20d;return_20d_pct;revenue_yoy_pct;risk_flags;risk_penalty_tags;selection_status;short_platform_high;short_platform_width_pct;stock_id;stock_name;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_notes;volume_breakout_priority;volume_breakout_type;volume_ma20;volume_ma20_lots;volume_ratio;warrant_flow_signal;warrant_status;range_breakout_60d_pct;volume_position_bucket_120d;volume_shape_bucket;volume_position_in_120d_range_pct;volume_range_width_120_pct,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics;volume_position_bucket_120d;volume_shape_bucket;volume_position_in_120d_range_pct;volume_range_width_120_pct,pdf_core_model,true,false,false,true,true,2026-07-09,none,promote_low_position_volume_attack_v2_formal_operation_model_2026-07-09
volume_range_breakout_v2_mid_position_momentum_attack,Volume breakout v2 mid position momentum attack,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_volume_breakout_v2_mid_position_watch_only,score_volume_breakout_v2_mid_position,volume_range_breakout_v2_mid_position_momentum_attack,avg_volume_20d;avg_volume_20d_lots;close;close_1d_ago;close_prev;cumulative_revenue_yoy;cumulative_yoy_pct;daily_return_calc;days_in_range;downgrade_flags;false_breakout_risk;high;high_20_ex_today;latest_revenue_yoy;low;off_60d_low_pct;open;platform_days;platform_high;platform_width_pct;prev_close;previous_20d_high;previous_20d_high_ex_today;previous_close;prior_20d_high;range_high;range_width_pct;range_window;return_1d;return_1d_pct;return_20d;return_20d_pct;revenue_yoy_pct;risk_flags;risk_penalty_tags;selection_status;short_platform_high;short_platform_width_pct;stock_id;stock_name;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_notes;volume_breakout_priority;volume_breakout_type;volume_ma20;volume_ma20_lots;volume_ratio;warrant_flow_signal;warrant_status;range_breakout_60d_pct;volume_position_bucket_120d;volume_shape_bucket;volume_position_in_120d_range_pct;volume_range_width_120_pct,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics;volume_position_bucket_120d;volume_shape_bucket;volume_position_in_120d_range_pct;volume_range_width_120_pct,pdf_core_model,true,false,false,true,true,2026-07-09,none,promote_mid_position_momentum_attack_v2_formal_operation_model_2026-07-09
price_pullback_23ema,Price pullback 23EMA,v3,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_pullback,score_pullback,price_pullback_23ema,close;distance_23ema_pct;distance_to_ema23_pct;ema23;ema23_slope;ema23_slope_pct;gap_ema23_pct;high;low;low_20;ma10_turning_up_flag;ma20;ma5_turning_up_flag;open;platform_low;previous_20d_low;price_pullback_all_thresholds_up;price_pullback_high_thresholds_up;price_pullback_macd_hist;price_pullback_macd_hist_gt0;price_pullback_obv_above_ma20;price_pullback_rsi14;price_pullback_signal_date;price_pullback_tdcc_history_available;pullback_entry_zone_flag;return_20d;return_20d_pct;short_platform_low;stock_id;stock_name;volume_ratio,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics;price_pullback_operation_quality;price_pullback_reason_tags;price_pullback_risk_tags;price_pullback_tdcc_history_available;price_pullback_high_thresholds_up;price_pullback_all_thresholds_up;price_pullback_obv_above_ma20;price_pullback_rsi14;price_pullback_macd_hist,pdf_core_model,true,false,false,true,true,2026-07-03,none,price_pullback_23ema_v3_approved_operation_v1_close_confirmed_tdcc_high_obv_2026-07-03
hot_theme_pullback,Hot theme pullback,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_hot_theme_pullback,score_hot_theme_pullback,hot_theme_pullback,close;cumulative_revenue_yoy;cumulative_yoy_pct;distance_23ema_pct;distance_to_ema23_pct;downgrade_flags;ema23;ema23_slope;ema23_slope_pct;false_breakout_risk;gap_ema23_pct;has_hot_theme;hot_primary_theme;hot_secondary_themes;latest_revenue_yoy;low_20;ma10_turning_up_flag;ma20;ma5_turning_up_flag;off_60d_low_pct;platform_low;previous_20d_low;pullback_entry_zone_flag;return_20d;return_20d_pct;revenue_yoy_pct;short_platform_low;taxonomy_has_hot_theme;taxonomy_hot_primary_theme;taxonomy_hot_secondary_themes;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_ratio;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,pdf_core_model,true,false,false,true,true,2026-06-21,none,input_columns_source_audited_from_model_layer_2026-06-22
revenue_unreacted_range,Revenue unreacted range,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_revenue_unreacted,score_revenue_unreacted,revenue_unreacted_range,avg_volume_20d;avg_volume_20d_lots;close;close_1d_ago;close_prev;cumulative_revenue_yoy;cumulative_yoy_pct;daily_return_calc;downgrade_flags;event_catalyst_tags;false_breakout_risk;fundamental_catalyst_tags;high;high_20;high_20_ex_today;latest_revenue_yoy;low;low_20;off_60d_low_pct;open;platform_high;platform_low;prev_close;previous_20d_high;previous_20d_high_ex_today;previous_20d_low;previous_close;previous_high;prior_20d_high;range_high;return_1d;return_1d_pct;return_20d;return_20d_pct;return_5d;return_5d_pct;revenue_yoy_pct;short_platform_high;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_confirmed_breakout;volume_ma20;volume_ma20_lots;volume_ratio;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,pdf_core_model,true,false,false,true,true,2026-06-21,none,input_columns_source_audited_from_model_layer_2026-06-22
w_bottom_right_side,W-bottom right side,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_w_bottom_right,score_w_bottom,w_bottom_right_side,as_of_date;attack1_gain_pct;attack2_gain_pct;breakout_type;category;close_above_previous_20d_high;close_above_range_high;cumulative_revenue_yoy;cumulative_yoy_pct;date;distance_to_high_60_pct;distance_to_neckline_pct;distance_to_previous_60d_high_pct;double_bottom_base_width_pct;double_bottom_low_position_pct;downgrade_flags;false_breakout_risk;first_arc_end_date;first_arc_month_avg_volume;first_arc_red_candle_count;first_arc_red_candle_ratio;first_arc_start_date;first_arc_volume_days;first_low_close_undercut_count;first_rebound_days;latest_revenue_yoy;left_decline_pct;left_descent_days;left_peak_date;neckline_breakout_flag;neckline_price;off_60d_low_pct;original_category;pattern;pattern_stage;platform_breakout_flag;platform_width_pct;pre_base_return_pct;pre_base_width_pct;red_body_ratio_2_vs_1;return_20d;return_20d_pct;return_60d;return_60d_pct;revenue_yoy_pct;right_rebound_days;right_rebound_retention_pct;second_arc_avg_daily_volume;second_arc_end_date;second_arc_red_candle_count;second_arc_red_candle_ratio;second_arc_red_candle_ratio_delta;second_arc_start_date;second_arc_volume_days;second_arc_volume_ratio;second_decline_days;second_low_close_undercut_count;second_low_gap_pct;short_platform_width_pct;signal_date;stock_id;stock_price_history.close;stock_price_history.date;stock_price_history.high;stock_price_history.low;stock_price_history.open;stock_price_history.volume;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_type;volume_confirmed_breakout;volume_ratio;volume_ratio_2_vs_1;w_bottom_base_width_pct;w_bottom_current_vs_long_mean_pct;w_bottom_current_vs_long_median_pct;w_bottom_first_arc_red_candle_ratio;w_bottom_long_close_mean;w_bottom_long_close_median;w_bottom_long_position_days;w_bottom_long_position_fail_reason;w_bottom_long_position_ok;w_bottom_low_position_pct;w_bottom_second_arc_red_candle_ratio;w_bottom_second_arc_red_candle_ratio_delta;w_bottom_second_arc_volume_ratio;w_shape_quality_failures;w_shape_quality_passed;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,pdf_core_model,true,false,false,true,true,2026-06-21,none,w_bottom_early_entry_operation_v2_structure_stop_exit_sync_2026-06-29
neckline_volume_breakout_confirmation,W-bottom neckline volume breakout confirmation,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_neckline_volume_breakout_confirmation,score_neckline_volume_breakout_confirmation,neckline_volume_breakout_confirmation,as_of_date;breakout_type;category;close;close_above_previous_20d_high;close_above_range_high;context_45;context_90;cumulative_revenue_yoy;cumulative_yoy_pct;daily_return_calc;date;distance_to_neckline_pct;downgrade_flags;drawdown_45;drawdown_90;false_breakout_risk;filter_45;filter_90;first_arc_end_date;first_arc_month_avg_volume;first_arc_red_candle_count;first_arc_red_candle_ratio;first_arc_start_date;first_arc_volume_days;first_low_close_undercut_count;first_rebound_days;high;latest_revenue_yoy;left_decline_pct;left_descent_days;left_peak_date;low;neckline_breakout_flag;neckline_context_45;neckline_context_90;neckline_context_drawdown_45;neckline_context_drawdown_90;neckline_context_filter_45;neckline_context_filter_90;neckline_context_range_45;neckline_context_range_90;neckline_context_return_45;neckline_context_return_90;neckline_context_sessions_45;neckline_context_sessions_90;neckline_context_slope20_45;neckline_context_slope20_90;neckline_distance_pct;neckline_pattern_subtype;neckline_price;off_60d_low_pct;open;pattern;pattern_stage;platform_breakout_flag;platform_width_pct;pre_base_return_pct;pre_base_width_pct;prev_close;previous_close;range_45;range_90;red_body_ratio_2_vs_1;return_1d;return_1d_pct;return_45;return_90;revenue_yoy_pct;right_rebound_days;right_rebound_retention_pct;second_arc_avg_daily_volume;second_arc_end_date;second_arc_red_candle_count;second_arc_red_candle_ratio;second_arc_red_candle_ratio_delta;second_arc_start_date;second_arc_volume_days;second_arc_volume_ratio;second_decline_days;second_low_close_undercut_count;second_low_gap_pct;signal_date;slope20_45;slope20_90;stock_id;stock_price_history.close;stock_price_history.date;stock_price_history.high;stock_price_history.low;stock_price_history.open;stock_price_history.volume;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_type;volume_confirmed_breakout;volume_ma20;volume_ma20_lots;volume_ratio;volume_ratio_2_vs_1;w_bottom_base_width_pct;w_bottom_current_vs_long_mean_pct;w_bottom_current_vs_long_median_pct;w_bottom_first_arc_red_candle_ratio;w_bottom_long_close_mean;w_bottom_long_close_median;w_bottom_long_position_days;w_bottom_long_position_fail_reason;w_bottom_long_position_ok;w_bottom_low_position_pct;w_bottom_second_arc_red_candle_ratio;w_bottom_second_arc_red_candle_ratio_delta;w_bottom_second_arc_volume_ratio;w_shape_quality_failures;w_shape_quality_passed;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,pdf_core_model,true,false,false,true,true,2026-06-24,none,w_bottom_neckline_subtype_semantics_clarified_2026-06-29
near_high_neckline_challenge,Near high neckline challenge,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_neckline_challenge,score_neckline_challenge,near_high_neckline_challenge,breakout_type;category;close;close_above_previous_20d_high;close_above_range_high;cumulative_revenue_yoy;cumulative_yoy_pct;distance_to_neckline_pct;distance_to_previous_60d_high_pct;distance_to_previous_high_pct;distance_to_prior_high_pct;downgrade_flags;ema23;ema23_slope;ema23_slope_pct;false_breakout_risk;latest_revenue_yoy;ma10_turning_up_flag;ma20;ma5_turning_up_flag;neckline_breakout_flag;neckline_distance_pct;off_60d_low_pct;original_category;pattern_stage;platform_breakout_flag;return_20d;return_20d_pct;revenue_yoy_pct;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_type;volume_confirmed_breakout;volume_ratio;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,deprecated_not_pdf_core,false,false,false,false,false,2026-06-21,2026-06-29,deprecated_replaced_by_neckline_volume_breakout_confirmation_2026-06-29
platform_strengthening,Platform strengthening,v1,daily_model_maintenance,scripts/build_daily_candidate_model_layer.py,cond_platform_strength,score_platform_strength,platform_strengthening,breakout_type;category;close;close_above_previous_20d_high;close_above_range_high;cumulative_revenue_yoy;cumulative_yoy_pct;days_in_range;downgrade_flags;false_breakout_risk;high;latest_revenue_yoy;low;neckline_breakout_flag;off_60d_low_pct;open;original_category;pattern_stage;platform_base_flag;platform_breakout_flag;platform_days;platform_high;platform_width_pct;previous_20d_high;previous_high;range_window;red_candle_flag;return_20d;return_20d_pct;revenue_yoy_pct;short_platform_high;short_platform_width_pct;solid_red_candle_flag;tdcc_accumulation_signal;tdcc_judge;tdcc_judgement;tdcc_status;volume_breakout_type;volume_confirmed_breakout;volume_ratio;warrant_flow_signal;warrant_status,signal_date;stock_id;stock_name;report_bucket;model_id;model_name_zh;model_score;model_rank;display_rank;score_components;risk_penalty_tags;risk_tags;next_confirmation;report_line;selection_semantics,deprecated_not_pdf_core,false,false,false,false,false,2026-06-21,2026-06-29,deprecated_replaced_by_neckline_volume_breakout_confirmation_2026-06-29
