migration_id,status,approval_reference,base_helper_sha256,current_helper_sha256,current_test_sha256,changed_paths
additive-research-validation-registration-pr-safe-v1,preauthorized,user_authorized_pr_safe_stage0_control_plane_trust_root_20260803,72f79f37dd8a4ece163f9f6e3c7f299f3243c8c44b66442c992bc54f38126315,b09d8063512dad3c771789e8e546ab4c1541b5f1b1ca8cb59a1bfcfb3c35982a,72e308d5e8757878958ba21529298001c1888a72e9e837ed9d6057c3d8e2f50b,scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
additive-research-validation-registration-pr-safe-v2,preauthorized,user_authorized_stage1_v2_preauthorization_20260803,72f79f37dd8a4ece163f9f6e3c7f299f3243c8c44b66442c992bc54f38126315,5a05baa9d505152c5bacf456116be4c896db08e55a14a37c1d46074a810a8e8c,557d085bfa04221a9dc0bf826b783f8de1fa9b6e026bdcba181d2d1f836fd234,scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
additive-research-validation-registration-pr-safe-v3,preauthorized,user_authorized_stage1_v3_collision_free_fixture_preauthorization_20260803,5a05baa9d505152c5bacf456116be4c896db08e55a14a37c1d46074a810a8e8c,bfc01dc51857f2944b88475d4ae8f460fc930a7c0ea75b1f1345b9e7e44d463c,d99d14062787e06360e9956b645851c2b84a01ec7c4c55a48fd6c2fcb519defe,scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
daily-full-checkpoint-replay-snapshot-pr-safe-v1,preauthorized,user_authorized_daily_full_checkpoint_replay_snapshot_stage_a_20260808,745dd9582fc1d272615c57990ac6173157c33120e7da51e787dd3122e8c16532,9021ef2f921514d1bc781aaf4adec87a9a573630153a9a4d28536dc35daf0bf3,05d47d133b2afe0654c1c9755c632ecafdd6b12e5f9311d05a12c105b835d641,config/repo_file_lifecycle_inventory.csv;scripts/validate_daily_published_model_snapshots_pr_safe.py;tests/test_daily_published_model_snapshots_pr_safe.py
additive-research-validation-registration-pr-safe-v4,preauthorized,user_authorized_daily_full_checkpoint_replay_advanced_integrity_stage_e_20260808,bfc01dc51857f2944b88475d4ae8f460fc930a7c0ea75b1f1345b9e7e44d463c,4838bf1976c54cd5170d7dc5017127e7c88eee432629ad8703f1e612b2bb48ea,fee247eaa813afb3fc2c2223be683848c5e7d83be714321858a9a51255d3ce3a,config/repo_file_lifecycle_inventory.csv;scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
daily-full-checkpoint-replay-target-hash-reconciliation-v2,preauthorized,user_authorized_daily_full_replay_hash_reconciliation_20260808,5f944d349cac77f6726ac6fcc13d6d8eee2196b6ad9a8bc5756a67ff04abf460,6ef1cfa402322114c8b9770f02584af1b208048fff2d550e24c1133e41235eeb,0c97991722990b3378d5c87ac996ab2270072dc6f56ce0d4f543922da387e64d,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
daily-full-checkpoint-replay-lifecycle-target-reconciliation-v3,preauthorized,user_authorized_daily_full_replay_lifecycle_reconciliation_20260808,6ef1cfa402322114c8b9770f02584af1b208048fff2d550e24c1133e41235eeb,64052ce22886dd649554a9567d760da44bf8ab97e2f8ffc413132a4ebc96a92f,e463927104a978cebdb70986108ed55d76049ea27a119b4f35ffb3daa637649c,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
local-validation-replay-f-routing-20260810-v1,preauthorized,user_authorized_local_validation_replay_f_routing_20260810,64052ce22886dd649554a9567d760da44bf8ab97e2f8ffc413132a4ebc96a92f,395680f68487f0836db8aac9662bf6bd6cd8d79b15e2271ef37ab28d210f544c,e6af79cf0446fc09c6fdbd0ad035651a53a010186eed8d1aa5c5f66a9321c544,config/daily_model_pr_safe_self_migration_authorizations.csv;scripts/validate_repo_production_inventory.py;tests/test_repo_production_inventory.py
local-validation-replay-advanced-integrity-pr-safe-v1,preauthorized,user_authorized_local_validation_replay_advanced_pr_safe_20260810,4838bf1976c54cd5170d7dc5017127e7c88eee432629ad8703f1e612b2bb48ea,985ec761f31a7a4f9e19fd0419f1c9091deaac6afc9ed2863c76b6d700a271cd,9d510aebede19de7347ca09ea84f9ea28e687ebbe3a381bea7fdb8ad248a89fd,scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
local-validation-replay-advanced-integrity-pr-safe-v2,preauthorized,user_authorized_local_validation_replay_advanced_pr_safe_v2_20260810,4838bf1976c54cd5170d7dc5017127e7c88eee432629ad8703f1e612b2bb48ea,02f28d28e7214e1949b2e8fa4aa6ad9df3b39c90bbe11534e0c5c24f350a7b3a,d26afe8ef1cfb0cc943f4ed82652d0e3784075a86c8329626386677308d03d73,scripts/validate_repo_advanced_integrity_pr_safe.py;tests/test_repo_advanced_integrity_pr_safe.py
