# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260313,60.61,-0.4200000000000017,59.24,-0.4199999999999946,58.15,-0.5500000000000043,57.26,-0.14000000000000057,0,False,False,False,,

TDCC_WINDOW_ROW_002=20260320,61.4,0.7899999999999991,59.92,0.6799999999999997,58.85,0.7000000000000028,57.9,0.6400000000000006,1,True,True,True,,

TDCC_WINDOW_ROW_003=20260327,60.32,-1.0799999999999983,59.18,-0.740000000000002,57.97,-0.8800000000000026,57.46,-0.4399999999999977,0,False,False,False,,

TDCC_WINDOW_ROW_004=20260402,59.58,-0.740000000000002,58.08,-1.1000000000000014,57.33,-0.6400000000000006,56.71,-0.75,0,False,False,False,,

TDCC_WINDOW_ROW_005=20260410,59.18,-0.3999999999999986,57.89,-0.18999999999999773,56.77,-0.5599999999999952,56.03,-0.6799999999999997,0,False,False,False,,

TDCC_WINDOW_ROW_006=20260417,59.48,0.29999999999999716,57.94,0.04999999999999716,57.03,0.259999999999998,56.34,0.3100000000000023,1,True,True,True,,

TDCC_WINDOW_ROW_007=20260424,59.18,-0.29999999999999716,57.76,-0.17999999999999972,56.86,-0.1700000000000017,56.16,-0.18000000000000682,0,False,False,False,,

TDCC_WINDOW_ROW_008=20260430,59.36,0.17999999999999972,57.88,0.12000000000000455,57.08,0.21999999999999886,56.56,0.4000000000000057,1,True,True,True,,

TDCC_WINDOW_ROW_009=20260508,59.82,0.46000000000000085,58.46,0.5799999999999983,57.43,0.3500000000000014,56.82,0.259999999999998,2,True,True,True,,

TDCC_WINDOW_ROW_010=20260515,59.99,0.1700000000000017,58.77,0.3100000000000023,57.73,0.29999999999999716,57.05,0.22999999999999687,3,True,True,True,,

TDCC_WINDOW_ROW_011=20260522,60.1,0.10999999999999943,58.79,0.01999999999999602,57.82,0.09000000000000341,57.23,0.17999999999999972,4,True,True,True,,

TDCC_WINDOW_ROW_012=20260529,60.12,0.01999999999999602,58.61,-0.17999999999999972,57.62,-0.20000000000000284,57.02,-0.20999999999999375,5,False,False,False,,
