# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260327,69.51,-0.03999999999999204,66.04,-0.03999999999999204,66.04,-0.03999999999999204,65.36,-0.04000000000000625,0,False,False,False,,

TDCC_WINDOW_ROW_002=20260402,69.49,-0.020000000000010232,66.01,-0.030000000000001137,66.01,-0.030000000000001137,65.33,-0.030000000000001137,0,False,False,False,,

TDCC_WINDOW_ROW_003=20260410,69.38,-0.10999999999999943,65.9,-0.10999999999999943,65.9,-0.10999999999999943,65.22,-0.10999999999999943,0,False,False,False,,

TDCC_WINDOW_ROW_004=20260417,69.21,-0.1700000000000017,65.73,-0.1700000000000017,65.73,-0.1700000000000017,64.29,-0.9299999999999926,0,False,False,False,,

TDCC_WINDOW_ROW_005=20260424,69.09,-0.11999999999999034,65.6,-0.13000000000000966,65.01,-0.7199999999999989,64.33,0.03999999999999204,1,False,True,False,,

TDCC_WINDOW_ROW_006=20260430,68.88,-0.21000000000000796,65.5,-0.09999999999999432,65.02,0.009999999999990905,64.34,0.010000000000005116,2,False,True,False,,

TDCC_WINDOW_ROW_007=20260508,69.11,0.23000000000000398,65.02,-0.480000000000004,65.02,0.0,64.34,0.0,3,False,False,False,,

TDCC_WINDOW_ROW_008=20260515,68.78,-0.3299999999999983,65.03,0.010000000000005116,65.03,0.010000000000005116,64.35,0.009999999999990905,4,False,True,False,,

TDCC_WINDOW_ROW_009=20260522,68.83,0.04999999999999716,65.05,0.01999999999999602,65.05,0.01999999999999602,64.36,0.010000000000005116,5,True,True,True,,

TDCC_WINDOW_ROW_010=20260529,68.88,0.04999999999999716,65.09,0.04000000000000625,65.09,0.04000000000000625,64.4,0.04000000000000625,6,True,True,True,,

TDCC_WINDOW_ROW_011=20260605,68.89,0.010000000000005116,65.09,0.0,65.09,0.0,64.4,0.0,7,False,False,False,,

TDCC_WINDOW_ROW_012=20260612,68.9,0.010000000000005116,65.1,0.009999999999990905,65.1,0.009999999999990905,64.41,0.009999999999990905,8,True,True,True,,
