as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260313,87.79,-0.01999999999999602,86.54,-0.29999999999999716,84.8,0.4299999999999926,83.39,0.010000000000005116,1,False,True,False,,
20260320,87.78,-0.010000000000005116,86.54,0.0,84.8,0.0,83.37,-0.01999999999999602,0,False,False,False,,
20260327,87.76,-0.01999999999999602,86.52,-0.020000000000010232,84.76,-0.03999999999999204,82.85,-0.5200000000000102,0,False,False,False,,
20260402,87.49,-0.27000000000001023,86.27,-0.25,84.83,0.06999999999999318,82.89,0.04000000000000625,1,False,True,False,,
20260410,87.5,0.010000000000005116,86.28,0.010000000000005116,84.84,0.010000000000005116,82.91,0.01999999999999602,2,True,True,True,,
20260417,87.74,0.23999999999999488,86.51,0.23000000000000398,84.34,-0.5,82.89,-0.01999999999999602,3,False,False,False,,
20260424,87.85,0.10999999999999943,86.33,-0.18000000000000682,84.89,0.5499999999999972,83.01,0.12000000000000455,4,False,True,False,,
20260430,87.9,0.05000000000001137,86.12,-0.20999999999999375,84.68,-0.20999999999999375,82.76,-0.25,5,False,False,False,,
20260508,87.92,0.01999999999999602,86.36,0.23999999999999488,84.52,-0.1600000000000108,82.6,-0.1600000000000108,6,False,False,False,,
20260515,88.0,0.0799999999999983,86.73,0.37000000000000455,84.54,0.020000000000010232,82.66,0.060000000000002274,7,True,True,True,,
20260522,88.06,0.060000000000002274,87.1,0.36999999999999034,84.99,0.44999999999998863,82.69,0.030000000000001137,8,True,True,True,,
20260529,88.23,0.1700000000000017,86.8,-0.29999999999999716,84.63,-0.35999999999999943,82.7,0.010000000000005116,9,False,True,False,,
