as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260313,39.98,-0.14000000000000057,37.75,0.46999999999999886,34.24,-0.00999999999999801,30.96,0.0,15,False,False,False,,
20260320,39.63,-0.3499999999999943,37.41,-0.3400000000000034,34.38,0.14000000000000057,31.1,0.14000000000000057,16,False,True,False,,
20260327,39.46,-0.1700000000000017,37.21,-0.19999999999999574,35.07,0.6899999999999977,31.79,0.6899999999999977,17,False,True,False,,
20260402,39.42,-0.03999999999999915,37.21,0.0,35.07,0.0,31.79,0.0,0,False,False,False,,
20260410,39.41,-0.010000000000005116,37.24,0.030000000000001137,35.1,0.030000000000001137,31.82,0.030000000000001137,1,False,True,False,,
20260417,40.3,0.8900000000000006,37.48,0.23999999999999488,35.34,0.240000000000002,32.06,0.240000000000002,2,True,True,True,,
20260424,40.83,0.5300000000000011,37.88,0.4000000000000057,35.74,0.3999999999999986,32.46,0.3999999999999986,3,True,True,True,,
20260430,41.47,0.6400000000000006,38.22,0.3399999999999963,36.08,0.3399999999999963,32.8,0.3399999999999963,4,True,True,True,,
20260508,41.76,0.28999999999999915,38.46,0.240000000000002,36.32,0.240000000000002,32.46,-0.3399999999999963,5,False,True,False,,
20260515,42.19,0.4299999999999997,39.28,0.8200000000000003,36.66,0.3399999999999963,32.8,0.3399999999999963,6,True,True,True,,
20260522,42.37,0.17999999999999972,39.49,0.21000000000000085,36.9,0.240000000000002,33.04,0.240000000000002,7,True,True,True,,
20260529,42.89,0.5200000000000031,40.02,0.5300000000000011,37.02,0.12000000000000455,33.16,0.11999999999999744,8,True,True,True,,
