as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260313,79.24,0.01999999999999602,78.46,0.029999999999986926,77.87,0.020000000000010232,77.4,0.04000000000000625,3,True,True,True,,
20260320,79.22,-0.01999999999999602,78.42,-0.03999999999999204,77.84,-0.030000000000001137,77.37,-0.030000000000001137,0,False,False,False,,
20260327,79.11,-0.10999999999999943,78.3,-0.12000000000000455,77.76,-0.0799999999999983,77.23,-0.14000000000000057,0,False,False,False,,
20260402,79.03,-0.0799999999999983,78.2,-0.09999999999999432,77.66,-0.10000000000000853,77.15,-0.0799999999999983,0,False,False,False,,
20260410,79.02,-0.010000000000005116,78.2,0.0,77.61,-0.04999999999999716,77.15,0.0,0,False,False,False,,
20260417,79.1,0.0799999999999983,78.27,0.06999999999999318,77.7,0.09000000000000341,77.21,0.05999999999998806,1,True,True,True,,
20260424,79.17,0.07000000000000739,78.36,0.09000000000000341,77.77,0.06999999999999318,77.31,0.10000000000000853,2,True,True,True,,
20260430,79.25,0.0799999999999983,78.44,0.0799999999999983,77.87,0.10000000000000853,77.38,0.06999999999999318,3,True,True,True,,
20260508,79.2,-0.04999999999999716,78.42,-0.01999999999999602,77.87,0.0,77.38,0.0,0,False,False,False,,
20260515,79.36,0.1599999999999966,78.57,0.14999999999999147,78.02,0.14999999999999147,77.57,0.18999999999999773,1,True,True,True,,
20260522,79.6,0.23999999999999488,78.84,0.27000000000001023,78.3,0.28000000000000114,77.84,0.27000000000001023,2,True,True,True,,
20260529,79.48,-0.11999999999999034,78.7,-0.14000000000000057,78.16,-0.14000000000000057,77.69,-0.15000000000000568,0,False,False,False,,
