stock_id,stock_name,quarter,announcement_date,eps,eps_yoy,eps_qoq,gross_margin,gross_margin_yoy_change,gross_margin_qoq_change,operating_margin,operating_margin_yoy_change,operating_margin_qoq_change,net_income_yoy,net_income_qoq,profit_turnaround,eps_surprise_flag,margin_improvement_flag,earnings_acceleration_flag,revenue_good_eps_unconfirmed,source_url,last_updated
1101,台泥,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 14:53:27 Asia/Taipei
1102,亞泥,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1210,大成,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1216,統一,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1227,佳格,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1229,聯華,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1303,南亞,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,True,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1307,三芳,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1313,聯成,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 14:53:27 Asia/Taipei
1316,上曜,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,True,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1319,東陽,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,False,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1326,台化,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,True,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
1342,八貫,monthly_revenue_202605,20260614,,,,,,,,,,,,False,False,False,False,True,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,2026-06-15 23:10:31 Asia/Taipei
