date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20260522,00713,元大台灣高息低波,TWSE,55.6,55.75,55.45,55.7,10411963.0,579221950.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260522.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260525,00713,元大台灣高息低波,TWSE,55.95,56.25,55.85,56.05,15420998.0,864566287.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260525.csv,,,,,,0.6284,,,,,,,,,,,,,,,,,,,,,
20260526,00713,元大台灣高息低波,TWSE,56.05,56.15,55.9,55.95,13397306.0,750591290.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260526.csv,,,,,,-0.1784,,,,,,,,,,,,,,,,,,,,,
20260527,00713,元大台灣高息低波,TWSE,56.0,56.4,55.9,56.05,19972335.0,1121105440.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260527.csv,,,,,,0.1787,,,,,,,,,,,,,,,,,,,,,
20260528,00713,元大台灣高息低波,TWSE,56.0,56.45,55.6,55.75,19020411.0,1067296895.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260528.csv,55.9,55.9,55.9,55.9,55.7709,-0.5352,,,,,15644602.6,1.2158,56.45,56.45,56.45,55.45,55.45,55.45,-0.2683,-0.2683,-0.2683,-0.0374,-1.24,-1.24,-1.24,0.541,0.541
20260529,00713,元大台灣高息低波,TWSE,56.2,56.7,56.05,56.55,14747633.0,831829376.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260529.csv,56.07,56.0083,56.0083,56.0083,55.8358,1.435,1.526,,,,15495107.6667,0.9518,56.7,56.7,56.7,55.45,55.45,55.45,0.9671,0.9671,0.9671,1.2791,-0.2646,-0.2646,-0.2646,1.9838,1.9838
20260601,00713,元大台灣高息低波,TWSE,56.75,58.05,56.75,57.95,19596292.0,1126873529.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260601.csv,56.45,56.2857,56.2857,56.2857,56.012,2.4757,3.3898,,,,16080991.1429,1.2186,58.05,58.05,58.05,55.45,55.45,55.45,2.9569,2.9569,2.9569,3.46,-0.1723,-0.1723,-0.1723,4.5086,4.5086
20260602,00713,元大台灣高息低波,TWSE,58.2,58.9,57.65,58.9,19976005.0,1165440278.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260602.csv,57.04,56.6125,56.6125,56.6125,56.2527,1.6393,5.2726,,,,16567867.875,1.2057,58.9,58.9,58.9,55.45,55.45,55.45,4.0406,4.0406,4.0406,4.7062,0.0,0.0,0.0,6.2218,6.2218
20260603,00713,元大台灣高息低波,TWSE,59.0,59.95,58.9,59.85,15287713.0,909740882.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260603.csv,57.8,56.9722,56.9722,56.9722,56.5524,1.6129,6.7797,,,,16425628.4444,0.9307,59.95,59.95,59.95,55.45,55.45,55.45,5.0512,5.0512,5.0512,5.831,-0.1668,-0.1668,-0.1668,7.9351,7.9351
20260604,00713,元大台灣高息低波,TWSE,59.6,60.35,59.45,60.2,12948905.0,776313074.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260604.csv,58.69,57.295,57.295,57.295,56.8564,0.5848,7.9821,,,,16077956.1,0.8054,60.35,60.35,60.35,55.45,55.45,55.45,5.0703,5.0703,5.0703,5.8808,-0.2486,-0.2486,-0.2486,8.5663,8.5663
20260605,00713,元大台灣高息低波,TWSE,59.3,59.9,59.15,59.65,10299516.0,612857261.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260605.csv,59.31,57.5091,57.5091,57.5091,57.0892,-0.9136,5.4819,,,,15552643.3636,0.6622,60.35,60.35,60.35,55.45,55.45,55.45,3.7227,3.7227,3.7227,4.4856,-1.1599,-1.1599,-1.1599,7.5744,7.5744
20260608,00713,元大台灣高息低波,TWSE,56.55,57.85,56.55,57.65,13224359.0,759868241.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260608.csv,59.25,57.5208,57.5208,57.5208,57.1359,-3.3529,-0.5177,,,,15358619.6667,0.861,60.35,60.35,60.35,55.45,55.45,55.45,0.2246,0.2246,0.2246,0.8997,-4.4739,-4.4739,-4.4739,3.9675,3.9675
20260609,00713,元大台灣高息低波,TWSE,57.95,59.65,57.95,59.5,7319966.0,431574151.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260609.csv,59.37,57.6731,57.6731,57.6731,57.3329,3.209,1.0187,,,,14740261.6923,0.4966,60.35,60.35,60.35,55.45,55.45,55.45,3.1677,3.1677,3.1677,3.7798,-1.4085,-1.4085,-1.4085,7.3039,7.3039
20260610,00713,元大台灣高息低波,TWSE,58.85,59.4,58.85,58.95,7991119.0,472506994.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260610.csv,59.19,57.7643,57.7643,57.7643,57.4677,-0.9244,-1.5038,,,,14258180.0714,0.5605,60.35,60.35,60.35,55.45,55.45,55.45,2.0527,2.0527,2.0527,2.5794,-2.3198,-2.3198,-2.3198,6.312,6.312
20260611,00713,元大台灣高息低波,TWSE,59.05,59.4,58.5,59.2,8974199.0,528833384.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260611.csv,58.99,57.86,57.86,57.86,57.612,0.4241,-1.6611,,,,13905914.6667,0.6454,60.35,60.35,60.35,55.45,55.45,55.45,2.3159,2.3159,2.3159,2.7563,-1.9056,-1.9056,-1.9056,6.7628,6.7628
20260612,00713,元大台灣高息低波,TWSE,59.9,60.5,59.8,59.8,8481943.0,509931006.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260612.csv,59.02,57.9812,57.9812,57.9812,57.7944,1.0135,0.2515,,,,13566916.4375,0.6252,60.5,60.5,60.5,55.45,55.45,55.45,3.1368,3.1368,3.1368,3.4703,-1.157,-1.157,-1.157,7.8449,7.8449
20260615,00713,元大台灣高息低波,TWSE,60.6,60.75,60.2,60.55,7421325.0,449164964.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260615.csv,59.6,58.1324,58.1324,58.1324,58.024,1.2542,5.0304,,,,13205411.0588,0.562,60.75,60.75,60.75,55.45,55.45,55.45,4.1589,4.1589,4.1589,4.3533,-0.3292,-0.3292,-0.3292,9.1975,9.1975
20260616,00713,元大台灣高息低波,TWSE,60.65,60.8,60.55,60.75,5491979.0,333361412.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260616.csv,59.85,58.2778,58.2778,58.2778,58.2512,0.3303,2.1008,,,,12776887.0556,0.4298,60.8,60.8,60.8,55.45,55.45,55.45,4.2421,4.2421,4.2421,4.2897,-0.0822,-0.0822,-0.0822,9.5582,9.5582
20260617,00713,元大台灣高息低波,TWSE,60.55,61.1,60.5,61.05,7059742.0,429449799.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260617.csv,60.27,58.4237,58.4237,58.4237,58.4844,0.4938,3.5623,,,,12475984.6842,0.5659,61.1,61.1,61.1,55.45,55.45,55.45,4.4953,4.4953,4.4953,4.3868,-0.0818,-0.0818,-0.0818,10.0992,10.0992
20260618,00713,元大台灣高息低波,TWSE,61.1,61.75,61.1,61.7,10621939.0,653618557.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20260618.csv,60.77,58.5875,58.5875,58.5875,58.7524,1.0647,4.223,,,,12383282.4,0.8578,61.75,61.75,61.75,55.45,55.45,55.45,5.3126,5.3126,5.3126,5.017,-0.081,-0.081,-0.081,11.2714,11.2714
