date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20240102,2115,六暉-KY,TWSE,29.55,29.7,29.5,29.6,22535.0,666637.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240102.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240103,2115,六暉-KY,TWSE,29.55,29.55,29.4,29.45,17027.0,501805.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240103.csv,,,,,,-0.5068,,,,,,,,,,,,,,,,,,,,,
20240104,2115,六暉-KY,TWSE,29.5,29.5,29.4,29.4,8203.0,241577.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240104.csv,,,,,,-0.1698,,,,,,,,,,,,,,,,,,,,,
20240105,2115,六暉-KY,TWSE,29.4,29.95,29.4,29.85,172970.0,5154058.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240105.csv,,,,,,1.5306,,,,,,,,,,,,,,,,,,,,,
20240108,2115,六暉-KY,TWSE,30.0,30.85,29.9,30.1,195516.0,5911904.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240108.csv,29.68,29.68,29.68,29.68,29.6371,0.8375,,,,,83250.2,2.3485,30.85,30.85,30.85,29.4,29.4,29.4,1.4151,1.4151,1.4151,1.5618,-2.4311,-2.4311,-2.4311,2.381,2.381
20240109,2115,六暉-KY,TWSE,30.1,30.1,29.75,29.85,46170.0,1378909.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240109.csv,29.73,29.7083,29.7083,29.7083,29.6549,-0.8306,0.8446,,,,77070.1667,0.5991,30.85,30.85,30.85,29.4,29.4,29.4,0.4769,0.4769,0.4769,0.658,-3.2415,-3.2415,-3.2415,1.5306,1.5306
20240110,2115,六暉-KY,TWSE,29.85,29.95,29.6,29.6,44708.0,1331618.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240110.csv,29.76,29.6929,29.6929,29.6929,29.6503,-0.8375,0.5093,,,,72447.0,0.6171,30.85,30.85,30.85,29.4,29.4,29.4,-0.3127,-0.3127,-0.3127,-0.1696,-4.0519,-4.0519,-4.0519,0.6803,0.6803
20240111,2115,六暉-KY,TWSE,29.7,29.85,29.6,29.6,23201.0,687424.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240111.csv,29.8,29.6812,29.6812,29.6812,29.6461,0.0,0.6803,,,,66291.25,0.35,30.85,30.85,30.85,29.4,29.4,29.4,-0.2737,-0.2737,-0.2737,-0.1555,-4.0519,-4.0519,-4.0519,0.6803,0.6803
20240112,2115,六暉-KY,TWSE,29.85,29.9,29.55,29.55,66373.0,1974419.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240112.csv,29.74,29.6667,29.6667,29.6667,29.6381,-0.1689,-1.005,,,,66300.3333,1.0011,30.85,30.85,30.85,29.4,29.4,29.4,-0.3933,-0.3933,-0.3933,-0.2972,-4.2139,-4.2139,-4.2139,0.5102,0.5102
20240115,2115,六暉-KY,TWSE,29.55,29.85,29.5,29.5,39726.0,1175574.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240115.csv,29.62,29.65,29.65,29.65,29.6266,-0.1692,-1.9934,,,,63642.9,0.6242,30.85,30.85,30.85,29.4,29.4,29.4,-0.5059,-0.5059,-0.5059,-0.4273,-4.376,-4.376,-4.376,0.3401,0.3401
20240116,2115,六暉-KY,TWSE,29.45,29.45,29.0,29.25,235290.0,6862843.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240116.csv,29.5,29.6136,29.6136,29.6136,29.5952,-0.8475,-2.0101,,,,79247.1818,2.9691,30.85,30.85,30.85,29.0,29.0,29.0,-1.2279,-1.2279,-1.2279,-1.1664,-5.1864,-5.1864,-5.1864,0.8621,0.8621
20240117,2115,六暉-KY,TWSE,29.1,29.15,28.9,28.95,107473.0,3118590.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240117.csv,29.37,29.5583,29.5583,29.5583,29.5414,-1.0256,-2.1959,,,,81599.3333,1.3171,30.85,30.85,30.85,28.9,28.9,28.9,-2.0581,-2.0581,-2.0581,-2.0021,-6.1588,-6.1588,-6.1588,0.173,0.173
20240118,2115,六暉-KY,TWSE,28.95,29.05,28.8,28.9,35290.0,1020068.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240118.csv,29.23,29.5077,29.5077,29.5077,29.488,-0.1727,-2.3649,,,,78037.0769,0.4522,30.85,30.85,30.85,28.8,28.8,28.8,-2.0594,-2.0594,-2.0594,-1.994,-6.3209,-6.3209,-6.3209,0.3472,0.3472
20240119,2115,六暉-KY,TWSE,29.0,29.2,28.75,28.85,63416.0,1833363.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240119.csv,29.09,29.4607,29.4607,29.4607,29.4348,-0.173,-2.3689,,,,76992.7143,0.8237,30.85,30.85,30.85,28.75,28.75,28.75,-2.073,-2.073,-2.073,-1.9868,-6.483,-6.483,-6.483,0.3478,0.3478
20240122,2115,六暉-KY,TWSE,28.9,29.0,28.7,28.75,73563.0,2121303.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240122.csv,28.94,29.4133,29.4133,29.4133,29.3778,-0.3466,-2.5424,,,,76764.0667,0.9583,30.85,30.85,30.85,28.7,28.7,28.7,-2.2552,-2.2552,-2.2552,-2.1368,-6.8071,-6.8071,-6.8071,0.1742,0.1742
20240123,2115,六暉-KY,TWSE,28.85,29.15,28.75,28.95,63457.0,1836190.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240123.csv,28.88,29.3844,29.3844,29.3844,29.3421,0.6957,-1.0256,,,,75932.375,0.8357,30.85,30.85,30.85,28.7,28.7,28.7,-1.4783,-1.4783,-1.4783,-1.3363,-6.1588,-6.1588,-6.1588,0.8711,0.8711
20240124,2115,六暉-KY,TWSE,28.95,29.2,28.85,29.0,44000.0,1277500.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240124.csv,28.89,29.3618,29.3618,29.3618,29.3136,0.1727,0.1727,,,,74054.0,0.5942,30.85,30.85,30.85,28.7,28.7,28.7,-1.2321,-1.2321,-1.2321,-1.0698,-5.9968,-5.9968,-5.9968,1.0453,1.0453
20240125,2115,六暉-KY,TWSE,29.25,29.5,28.85,28.9,47432.0,1376833.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240125.csv,28.89,29.3361,29.3361,29.3361,29.2791,-0.3448,0.0,,,,72575.0,0.6536,30.85,30.85,30.85,28.7,28.7,28.7,-1.4866,-1.4866,-1.4866,-1.2949,-6.3209,-6.3209,-6.3209,0.6969,0.6969
20240126,2115,六暉-KY,TWSE,28.95,29.05,28.85,29.05,31457.0,908332.0,TWSE_RWD_JSON_MI_INDEX,data/daily_price/daily_price_20240126.csv,28.93,29.3211,29.3211,29.3211,29.26,0.519,0.6932,,,,70410.8947,0.4468,30.85,30.85,30.85,28.7,28.7,28.7,-0.9244,-0.9244,-0.9244,-0.7178,-5.8347,-5.8347,-5.8347,1.2195,1.2195
