date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20250407,5283,禾聯碩,listed,87.4,87.4,87.4,87.4,166022.0,14511362.0,,data/daily_price/20250407.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250408,5283,禾聯碩,listed,80.4,84.7,80.4,82.7,303421.0,25094259.0,,data/daily_price/20250408.csv,,,,,,-5.3776,,,,,,,,,,,,,,,,,,,,,
20250409,5283,禾聯碩,listed,83.0,84.3,82.0,82.7,282274.0,23464816.0,,data/daily_price/20250409.csv,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20250410,5283,禾聯碩,listed,90.1,90.6,87.5,90.3,299216.0,26897361.0,,data/daily_price/20250410.csv,,,,,,9.1898,,,,,,,,,,,,,,,,,,,,,
20250414,5283,禾聯碩,listed,87.1,89.9,87.1,87.7,121260.0,10690459.0,,data/daily_price/20250414.csv,86.16,86.16,86.16,86.16,87.0157,-2.8793,,,,,234438.6,0.5172,90.6,90.6,90.6,80.4,80.4,80.4,1.7874,1.7874,1.7874,0.7864,-3.2009,-3.2009,-3.2009,9.0796,9.0796
20250415,5283,禾聯碩,listed,87.8,88.6,87.7,88.4,90935.0,8021075.0,,data/daily_price/20250415.csv,86.36,86.5333,86.5333,86.5333,87.1311,0.7982,1.1442,,,,210521.3333,0.432,90.6,90.6,90.6,80.4,80.4,80.4,2.1572,2.1572,2.1572,1.4563,-2.4283,-2.4283,-2.4283,9.9502,9.9502
20250416,5283,禾聯碩,listed,88.4,88.4,87.0,87.0,87550.0,7656600.0,,data/daily_price/20250416.csv,87.22,86.6,86.6,86.6,87.1202,-1.5837,5.1995,,,,192954.0,0.4537,90.6,90.6,90.6,80.4,80.4,80.4,0.4619,0.4619,0.4619,-0.1379,-3.9735,-3.9735,-3.9735,8.209,8.209
20250417,5283,禾聯碩,listed,85.5,85.9,84.1,85.0,98121.0,8326510.0,,data/daily_price/20250417.csv,87.68,86.4,86.4,86.4,86.9435,-2.2989,2.7811,,,,181099.875,0.5418,90.6,90.6,90.6,80.4,80.4,80.4,-1.6204,-1.6204,-1.6204,-2.2353,-6.181,-6.181,-6.181,5.7214,5.7214
20250418,5283,禾聯碩,listed,85.1,85.1,84.3,84.3,69615.0,5891297.0,,data/daily_price/20250418.csv,86.48,86.1667,86.1667,86.1667,86.7232,-0.8235,-6.6445,,,,168712.6667,0.4126,90.6,90.6,90.6,80.4,80.4,80.4,-2.1663,-2.1663,-2.1663,-2.7942,-6.9536,-6.9536,-6.9536,4.8507,4.8507
20250421,5283,禾聯碩,listed,86.2,86.2,84.3,84.6,79143.0,6727105.0,,data/daily_price/20250421.csv,85.86,86.01,86.01,86.01,86.5463,0.3559,-3.5348,,,,159755.7,0.4954,90.6,90.6,90.6,80.4,80.4,80.4,-1.6393,-1.6393,-1.6393,-2.2488,-6.6225,-6.6225,-6.6225,5.2239,5.2239
20250422,5283,禾聯碩,listed,82.3,84.2,82.3,83.0,126260.0,10457604.0,,data/daily_price/20250422.csv,84.78,85.7364,85.7364,85.7364,86.2507,-1.8913,-6.1086,,,,156710.6364,0.8057,90.6,90.6,90.6,80.4,80.4,80.4,-3.1916,-3.1916,-3.1916,-3.7689,-8.3885,-8.3885,-8.3885,3.2338,3.2338
20250423,5283,禾聯碩,listed,83.2,83.7,81.9,82.5,175869.0,14495710.0,,data/daily_price/20250423.csv,83.88,85.4667,85.4667,85.4667,85.9382,-0.6024,-5.1724,,,,158307.1667,1.1109,90.6,90.6,90.6,80.4,80.4,80.4,-3.4711,-3.4711,-3.4711,-4.0008,-8.9404,-8.9404,-8.9404,2.6119,2.6119
20250424,5283,禾聯碩,listed,82.3,82.3,80.4,81.0,265935.0,21545788.0,,data/daily_price/20250424.csv,83.08,85.1231,85.1231,85.1231,85.5267,-1.8182,-4.7059,,,,166586.2308,1.5964,90.6,90.6,90.6,80.4,80.4,80.4,-4.8437,-4.8437,-4.8437,-5.2927,-10.596,-10.596,-10.596,0.7463,0.7463
20250425,5283,禾聯碩,listed,81.8,82.9,81.0,81.1,166169.0,13544677.0,,data/daily_price/20250425.csv,82.44,84.8357,84.8357,84.8357,85.1578,0.1235,-3.796,,,,166556.4286,0.9977,90.6,90.6,90.6,80.4,80.4,80.4,-4.4035,-4.4035,-4.4035,-4.765,-10.4857,-10.4857,-10.4857,0.8706,0.8706
20250428,5283,禾聯碩,listed,81.2,82.8,81.2,82.8,68151.0,5597643.0,,data/daily_price/20250428.csv,82.08,84.7,84.7,84.7,84.9613,2.0962,-2.1277,,,,159996.0667,0.426,90.6,90.6,90.6,80.4,80.4,80.4,-2.2432,-2.2432,-2.2432,-2.5439,-8.6093,-8.6093,-8.6093,2.9851,2.9851
20250429,5283,禾聯碩,listed,82.8,84.7,82.8,84.5,55775.0,4662316.0,,data/daily_price/20250429.csv,82.38,84.6875,84.6875,84.6875,84.9229,2.0531,1.8072,,,,153482.25,0.3634,90.6,90.6,90.6,80.4,80.4,80.4,-0.2214,-0.2214,-0.2214,-0.4979,-6.7329,-6.7329,-6.7329,5.0995,5.0995
20250430,5283,禾聯碩,listed,84.7,85.7,83.9,84.9,47377.0,4005359.0,,data/daily_price/20250430.csv,82.86,84.7,84.7,84.7,84.9209,0.4734,2.9091,,,,147240.7647,0.3218,90.6,90.6,90.6,80.4,80.4,80.4,0.2361,0.2361,0.2361,-0.0247,-6.2914,-6.2914,-6.2914,5.597,5.597
20250502,5283,禾聯碩,listed,84.9,85.2,84.2,84.9,77472.0,6570574.0,,data/daily_price/20250502.csv,83.64,84.7111,84.7111,84.7111,84.9192,0.0,4.8148,,,,143364.7222,0.5404,90.6,90.6,90.6,80.4,80.4,80.4,0.223,0.223,0.223,-0.0226,-6.2914,-6.2914,-6.2914,5.597,5.597
20250505,5283,禾聯碩,listed,85.3,86.0,83.0,84.0,78784.0,6643051.0,,data/daily_price/20250505.csv,84.22,84.6737,84.6737,84.6737,84.8426,-1.0601,3.5758,,,,139965.7368,0.5629,90.6,90.6,90.6,80.4,80.4,80.4,-0.7956,-0.7956,-0.7956,-0.9931,-7.2848,-7.2848,-7.2848,4.4776,4.4776
20250506,5283,禾聯碩,listed,83.8,84.8,83.5,84.1,44952.0,3771985.0,,data/daily_price/20250506.csv,84.48,84.645,84.645,84.645,84.7807,0.119,1.57,,,,135215.05,0.3324,90.6,90.6,90.6,80.4,80.4,80.4,-0.6439,-0.6439,-0.6439,-0.8029,-7.1744,-7.1744,-7.1744,4.602,4.602
20250507,5283,禾聯碩,listed,84.1,84.7,84.0,84.4,60653.0,5117070.0,,data/daily_price/20250507.csv,84.46,84.495,84.6333,84.6333,84.749,0.3567,-0.1183,-3.4325,,,129946.6,0.4668,90.6,90.6,90.6,80.4,80.4,80.4,-0.1124,-0.2757,-0.2757,-0.4118,-6.8433,-6.8433,-6.8433,4.9751,4.9751
