date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20250407,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250407.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250408,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250408.csv,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20250409,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250409.csv,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20250410,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250410.csv,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20250414,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250414.csv,29.95,29.95,29.95,29.95,29.95,0.0,,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250415,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250415.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250416,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250416.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250417,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250417.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250418,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250418.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250421,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250421.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250422,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250422.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250423,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250423.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250424,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250424.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250425,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250425.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250428,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250428.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250429,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250429.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250430,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250430.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250502,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250502.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250505,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250505.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250506,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250506.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250507,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250507.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250508,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250508.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250509,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250509.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250512,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250512.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250513,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250513.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250514,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250514.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250515,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250515.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
20250516,5543,桓鼎-KY,otc,30.15,30.2,28.5,29.95,40511.0,1184239.0,,data/daily_price/20250516.csv,29.95,29.95,29.95,29.95,29.95,0.0,0.0,0.0,,,40511.0,1.0,30.2,30.2,30.2,28.5,28.5,28.5,0.0,0.0,0.0,0.0,-0.8278,-0.8278,-0.8278,5.0877,5.0877
