# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,15.15,15.2,15.1,15.15,30586,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,15.1,15.1,15.05,15.05,51733,,,,,,-0.6601,,,,,

PRICE_WINDOW_180_ROW_003=20251105,15.05,15.35,15.05,15.1,16000,,,,,,0.3322,,,,,

PRICE_WINDOW_180_ROW_004=20251106,15.1,15.1,15.05,15.1,44990,,,,,,0.0,,,,,

PRICE_WINDOW_180_ROW_005=20251107,15.1,15.2,15.1,15.1,18000,15.1,15.1,15.1,15.1,15.1321,0.0,,,0.5579,0.0,-1.6287

PRICE_WINDOW_180_ROW_006=20251110,15.05,15.35,15.05,15.25,24146,15.12,15.125,15.125,15.125,15.1419,0.9934,0.6601,,0.7812,0.8264,-0.6515

PRICE_WINDOW_180_ROW_007=20251111,15.2,15.2,15.1,15.15,6413,15.14,15.1286,15.1286,15.1286,15.1426,-0.6557,0.6645,,0.234,0.1416,-1.3029

PRICE_WINDOW_180_ROW_008=20251112,15.1,15.2,15.1,15.15,11281,15.15,15.1312,15.1312,15.1312,15.1432,0.0,0.3311,,0.4442,0.1239,-1.3029

PRICE_WINDOW_180_ROW_009=20251113,15.15,15.2,15.05,15.15,31048,15.16,15.1333,15.1333,15.1333,15.1438,0.0,0.3311,,1.1931,0.1101,-1.3029

PRICE_WINDOW_180_ROW_010=20251114,15.3,15.3,15.15,15.15,5638,15.17,15.135,15.135,15.135,15.1443,0.0,0.3311,,0.2351,0.0991,-1.3029

PRICE_WINDOW_180_ROW_011=20251117,15.05,15.35,15.05,15.15,7100,15.15,15.1364,15.1364,15.1364,15.1448,0.0,-0.6557,,0.3163,0.0901,-1.3029

PRICE_WINDOW_180_ROW_012=20251118,15.05,15.05,15.0,15.0,38150,15.12,15.125,15.125,15.125,15.1327,-0.9901,-0.9901,,1.6058,-0.8264,-2.2801

PRICE_WINDOW_180_ROW_013=20251119,15.0,15.05,15.0,15.05,3002,15.1,15.1192,15.1192,15.1192,15.1258,0.3333,-0.6601,,0.1355,-0.4579,-1.9544

PRICE_WINDOW_180_ROW_014=20251120,15.05,15.05,15.05,15.05,8201,15.08,15.1143,15.1143,15.1143,15.1195,0.0,-0.6601,,0.3875,-0.4253,-1.9544

PRICE_WINDOW_180_ROW_015=20251121,15.0,15.0,14.9,14.9,26387,15.03,15.1,15.1,15.1,15.1012,-0.9967,-1.6502,,1.2266,-1.3245,-2.9316

PRICE_WINDOW_180_ROW_016=20251124,14.95,14.95,14.9,14.9,14687,14.98,15.0875,15.0875,15.0875,15.0844,0.0,-1.6502,,0.6966,-1.2428,-2.9316

PRICE_WINDOW_180_ROW_017=20251125,14.8,14.9,14.8,14.9,5000,14.96,15.0765,15.0765,15.0765,15.0691,0.0,-0.6667,,0.2483,-1.1705,-2.9316

PRICE_WINDOW_180_ROW_018=20251126,15.0,15.2,14.9,15.05,22153,14.96,15.075,15.075,15.075,15.0675,1.0067,0.0,,1.0939,-0.1658,-1.9544

PRICE_WINDOW_180_ROW_019=20251127,15.1,15.1,15.05,15.1,10861,14.97,15.0763,15.0763,15.0763,15.0702,0.3322,0.3322,,0.5497,0.1571,-1.6287

PRICE_WINDOW_180_ROW_020=20251128,15.15,15.25,15.0,15.1,18043,15.01,15.0775,15.0775,15.0775,15.0727,0.0,1.3423,,0.9172,0.1492,-1.6287

PRICE_WINDOW_180_ROW_021=20251201,15.0,15.15,15.0,15.1,10549,15.05,15.075,15.0786,15.0786,15.075,0.0,1.3423,-0.33,0.5651,0.1658,-1.6287

PRICE_WINDOW_180_ROW_022=20251202,15.1,15.15,15.1,15.1,7111,15.09,15.0775,15.0795,15.0795,15.077,0.0,1.3423,0.3322,0.4326,0.1492,-1.6287

PRICE_WINDOW_180_ROW_023=20251203,15.1,15.15,15.1,15.15,10073,15.11,15.08,15.0826,15.0826,15.0831,0.3311,0.6645,0.3311,0.624,0.4642,-1.3029

PRICE_WINDOW_180_ROW_024=20251204,15.15,15.15,15.1,15.1,6101,15.11,15.08,15.0833,15.0833,15.0845,-0.33,0.0,0.0,0.4297,0.1326,-1.6287

PRICE_WINDOW_180_ROW_025=20251205,15.05,15.1,15.0,15.1,9411,15.11,15.08,15.084,15.084,15.0858,0.0,0.0,0.0,0.6836,0.1326,-1.6287

PRICE_WINDOW_180_ROW_026=20251208,15.1,15.1,14.9,15.0,41412,15.09,15.0675,15.0808,15.0808,15.0787,-0.6623,-0.6623,-1.6393,2.8304,-0.448,-2.2801

PRICE_WINDOW_180_ROW_027=20251209,14.95,15.0,14.95,15.0,19000,15.07,15.06,15.0778,15.0778,15.0721,0.0,-0.6623,-0.9901,1.2451,-0.3984,-2.2801

PRICE_WINDOW_180_ROW_028=20251210,15.0,15.0,14.9,14.9,13360,15.02,15.0475,15.0714,15.0714,15.0578,-0.6667,-1.6502,-1.6502,0.8695,-0.9802,-2.9316

PRICE_WINDOW_180_ROW_029=20251211,14.95,14.95,14.85,14.95,13073,14.99,15.0375,15.0672,15.0672,15.0488,0.3356,-0.9934,-1.3201,0.9037,-0.5819,-2.6059

PRICE_WINDOW_180_ROW_030=20251212,14.95,14.95,14.9,14.9,10360,14.95,15.025,15.0617,15.0617,15.0364,-0.3344,-1.3245,-1.6502,0.7047,-0.8319,-2.9316

PRICE_WINDOW_180_ROW_031=20251215,14.9,14.95,14.9,14.9,18002,14.93,15.0125,15.0565,15.0565,15.025,0.0,-0.6667,-1.6502,1.1807,-0.7494,-2.9316

PRICE_WINDOW_180_ROW_032=20251216,14.8,14.95,14.7,14.95,21496,14.92,15.01,15.0531,15.0531,15.0188,0.3356,-0.3333,-0.3333,1.4913,-0.3997,-2.6059

PRICE_WINDOW_180_ROW_033=20251217,14.9,14.9,14.85,14.85,21660,14.91,15.0,15.047,15.047,15.0047,-0.6689,-0.3356,-1.3289,1.4114,-1.0,-3.2573

PRICE_WINDOW_180_ROW_034=20251218,14.75,14.75,14.6,14.65,16043,14.85,14.98,15.0353,15.0353,14.9751,-1.3468,-2.0067,-2.6578,1.0193,-2.2029,-4.5603

PRICE_WINDOW_180_ROW_035=20251219,14.5,14.8,14.5,14.6,50496,14.79,14.965,15.0229,15.0229,14.9439,-0.3413,-2.0134,-2.0134,2.9801,-2.439,-4.886

PRICE_WINDOW_180_ROW_036=20251222,14.8,15.25,14.8,15.2,126734,14.85,14.98,15.0278,15.0278,14.9652,4.1096,2.0134,2.0134,5.6209,1.4686,-0.9772

PRICE_WINDOW_180_ROW_037=20251223,15.2,16.3,15.2,15.9,338724,15.04,15.03,15.0514,15.0514,15.0431,4.6053,6.3545,6.7114,8.6336,5.7884,-2.454

PRICE_WINDOW_180_ROW_038=20251224,16.35,16.35,15.65,15.65,88442,15.2,15.06,15.0671,15.0671,15.0937,-1.5723,5.3872,3.9867,2.0787,3.9177,-4.2813

PRICE_WINDOW_180_ROW_039=20251226,15.45,15.9,15.45,15.7,34139,15.41,15.09,15.0833,15.0833,15.1442,0.3195,7.1672,3.9735,0.781,4.0424,-3.9755

PRICE_WINDOW_180_ROW_040=20251229,15.7,15.75,15.5,15.55,29836,15.6,15.1125,15.095,15.095,15.178,-0.9554,6.5068,2.9801,0.6735,2.895,-4.893

PRICE_WINDOW_180_ROW_041=20251230,15.8,15.8,15.5,15.55,12231,15.67,15.135,15.1061,15.1061,15.209,0.0,2.3026,2.9801,0.2756,2.742,-4.893

PRICE_WINDOW_180_ROW_042=20251231,15.4,15.45,15.25,15.3,23582,15.55,15.145,15.1107,15.1107,15.2166,-1.6077,-3.7736,1.3245,0.5216,1.0234,-6.422

PRICE_WINDOW_180_ROW_043=20260102,15.3,15.6,15.3,15.35,56370,15.49,15.155,15.1163,15.1163,15.2277,0.3268,-1.9169,1.3201,1.1861,1.2867,-6.1162

PRICE_WINDOW_180_ROW_044=20260105,15.4,15.7,15.3,15.65,90500,15.48,15.1825,15.1284,15.1284,15.2629,1.9544,-0.3185,3.6424,1.749,3.0792,-4.2813

PRICE_WINDOW_180_ROW_045=20260106,15.7,15.7,15.15,15.5,123123,15.47,15.2025,15.1367,15.1367,15.2827,-0.9585,-0.3215,2.649,2.1439,1.9569,-5.1988

PRICE_WINDOW_180_ROW_046=20260107,15.55,15.55,15.35,15.4,50950,15.44,15.2225,15.1424,15.1424,15.2925,-0.6452,-0.9646,2.6667,0.8799,1.166,-5.8104

PRICE_WINDOW_180_ROW_047=20260108,15.45,15.5,15.35,15.5,36527,15.48,15.2475,15.15,15.15,15.3097,0.6494,1.3072,3.3333,0.6214,1.656,-5.1988

PRICE_WINDOW_180_ROW_048=20260109,15.6,15.6,15.4,15.45,21001,15.5,15.275,15.1562,15.1562,15.3214,-0.3226,0.6515,3.6913,0.355,1.1457,-5.5046

