# PRICE_WINDOW_134

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,128.5,131.0,128.0,131.0,32000,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,133.0,133.0,128.5,130.0,18000,,,,,,-0.7634,,,,,

PRICE_WINDOW_180_ROW_003=20251105,129.5,131.0,128.5,130.0,17000,,,,,,0.0,,,,,

PRICE_WINDOW_180_ROW_004=20251106,129.5,130.0,129.5,130.0,7000,,,,,,0.0,,,,,

PRICE_WINDOW_180_ROW_005=20251107,130.0,132.0,128.5,128.5,26000,129.9,129.9,129.9,129.9,130.5811,-1.1538,,,1.3,-1.0778,-3.3835

PRICE_WINDOW_180_ROW_006=20251110,129.0,129.0,128.0,128.5,23000,129.4,129.6667,129.6667,129.6667,130.4076,0.0,-1.9084,,1.122,-0.8997,-3.3835

PRICE_WINDOW_180_ROW_007=20251111,130.5,130.5,127.5,129.0,12000,129.2,129.5714,129.5714,129.5714,130.2903,0.3891,-0.7692,,0.6222,-0.441,-3.0075

PRICE_WINDOW_180_ROW_008=20251112,128.0,130.5,127.0,130.5,20000,129.3,129.6875,129.6875,129.6875,130.3078,1.1628,0.3846,,1.0323,0.6265,-1.8797

PRICE_WINDOW_180_ROW_009=20251113,128.0,129.5,128.0,129.5,14000,129.2,129.6667,129.6667,129.6667,130.2405,-0.7663,-0.3846,,0.7456,-0.1285,-2.6316

PRICE_WINDOW_180_ROW_010=20251114,129.0,129.0,127.5,128.0,9000,129.1,129.5,129.5,129.5,130.0538,-1.1583,-0.3891,,0.5056,-1.1583,-3.7594

PRICE_WINDOW_180_ROW_011=20251117,130.0,130.0,130.0,130.0,1000,129.4,129.5455,129.5455,129.5455,130.0493,1.5625,1.1673,,0.0615,0.3509,-2.2556

PRICE_WINDOW_180_ROW_012=20251118,126.5,129.5,126.5,129.5,27000,129.5,129.5417,129.5417,129.5417,130.0035,-0.3846,0.3876,,1.5728,-0.0322,-2.6316

PRICE_WINDOW_180_ROW_013=20251119,128.5,129.5,127.0,129.5,9000,129.3,129.5385,129.5385,129.5385,129.9616,0.0,-0.7663,,0.5442,-0.0297,-2.6316

PRICE_WINDOW_180_ROW_014=20251120,129.5,129.5,127.5,129.0,9000,129.2,129.5,129.5,129.5,129.8814,-0.3861,-0.3861,,0.5625,-0.3861,-3.0075

PRICE_WINDOW_180_ROW_015=20251121,127.5,128.0,126.5,128.0,7000,129.2,129.4,129.4,129.4,129.7247,-0.7752,0.0,,0.4545,-1.0819,-3.7594

PRICE_WINDOW_180_ROW_016=20251124,128.0,128.0,126.5,127.0,5000,128.6,129.25,129.25,129.25,129.4976,-0.7812,-2.3077,,0.339,-1.7408,-4.5113

PRICE_WINDOW_180_ROW_017=20251125,128.5,128.5,127.0,127.0,10000,128.1,129.1176,129.1176,129.1176,129.2895,0.0,-1.9305,,0.6911,-1.6401,-4.5113

PRICE_WINDOW_180_ROW_018=20251126,127.0,127.0,127.0,127.0,1000,127.6,129.0,129.0,129.0,129.0987,0.0,-1.9305,,0.0729,-1.5504,-4.5113

PRICE_WINDOW_180_ROW_019=20251127,127.0,128.5,126.0,128.5,17000,127.5,128.9737,128.9737,128.9737,129.0488,1.1811,-0.3876,,1.2235,-0.3673,-3.3835

PRICE_WINDOW_180_ROW_020=20251128,127.5,130.0,127.0,128.5,18000,127.6,128.95,128.95,128.95,129.0031,0.0,0.3906,,1.2766,-0.349,-3.3835

PRICE_WINDOW_180_ROW_021=20251201,128.0,129.0,128.0,129.0,5000,128.0,128.85,128.9524,128.9524,129.0028,0.3891,1.5748,-1.5267,0.3922,0.1164,-3.0075

PRICE_WINDOW_180_ROW_022=20251202,129.0,129.0,129.0,129.0,2000,128.4,128.8,128.9545,128.9545,129.0026,0.0,1.5748,-0.7692,0.1674,0.1553,-3.0075

PRICE_WINDOW_180_ROW_023=20251203,129.5,129.5,128.0,128.0,4000,128.6,128.7,128.913,128.913,128.919,-0.7752,0.7874,-1.5385,0.354,-0.5439,-3.7594

PRICE_WINDOW_180_ROW_024=20251204,127.5,129.0,127.5,129.0,6000,128.7,128.65,128.9167,128.9167,128.9258,0.7812,0.3891,-0.7692,0.5333,0.2721,-3.0075

PRICE_WINDOW_180_ROW_025=20251205,128.0,129.5,126.5,128.0,27000,128.6,128.625,128.88,128.88,128.8486,-0.7752,-0.3891,-0.3891,2.3894,-0.4859,-3.7594

PRICE_WINDOW_180_ROW_026=20251208,126.5,128.0,126.0,127.0,16000,128.2,128.55,128.8077,128.8077,128.6946,-0.7812,-1.5504,-1.1673,1.4612,-1.2058,-4.5113

PRICE_WINDOW_180_ROW_027=20251209,124.5,127.5,123.0,127.0,23000,127.8,128.45,128.7407,128.7407,128.5534,0.0,-1.5504,-1.5504,2.0,-1.1288,-4.5113

PRICE_WINDOW_180_ROW_028=20251210,127.0,127.0,124.5,126.5,16000,127.5,128.25,128.6607,128.6607,128.3822,-0.3937,-1.1719,-3.0651,1.4159,-1.3645,-4.8872

PRICE_WINDOW_180_ROW_029=20251211,125.5,125.5,123.5,124.0,16000,126.5,127.975,128.5,128.5,128.0171,-1.9763,-3.876,-4.2471,1.4035,-3.1061,-6.7669

PRICE_WINDOW_180_ROW_030=20251212,123.0,123.0,118.0,120.0,68000,124.9,127.575,128.2167,128.2167,127.349,-3.2258,-6.25,-6.25,4.7387,-5.9377,-9.7744

PRICE_WINDOW_180_ROW_031=20251215,119.0,119.5,119.0,119.5,10000,123.4,127.05,127.9355,127.9355,126.6949,-0.4167,-5.9055,-8.0769,0.6757,-5.9425,-10.1504

PRICE_WINDOW_180_ROW_032=20251216,122.0,122.0,122.0,122.0,1000,122.4,126.675,127.75,127.75,126.3036,2.0921,-3.937,-5.7915,0.0741,-3.6905,-8.2707

PRICE_WINDOW_180_ROW_033=20251217,121.5,121.5,121.5,121.5,2000,121.4,126.275,127.5606,127.5606,125.9033,-0.4098,-3.9526,-6.1776,0.1521,-3.7814,-8.6466

PRICE_WINDOW_180_ROW_034=20251218,121.5,121.5,121.5,121.5,1000,120.9,125.9,127.3824,127.3824,125.5364,0.0,-2.0161,-5.814,0.0784,-3.4948,-8.6466

PRICE_WINDOW_180_ROW_035=20251219,121.0,121.0,121.0,121.0,1000,121.1,125.55,127.2,127.2,125.1584,-0.4115,0.8333,-5.4688,0.0803,-3.6241,-9.0226

PRICE_WINDOW_180_ROW_036=20251222,120.0,121.0,120.0,121.0,2000,121.4,125.25,127.0278,127.0278,124.8118,0.0,1.2552,-4.7244,0.1626,-3.3932,-9.0226

