date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20260522,100.25,101.2,99.8,101.2,1844383.0,,,,,,,,,,,,
20260525,102.6,105.0,102.55,105.0,2739048.0,,,,,,3.7549,,,,,,
20260526,106.85,107.9,105.4,106.65,2423334.0,,,,,,1.5714,,,,,,
20260527,111.1,113.7,111.1,111.65,6198600.0,,,,,,4.6882,,,,,,
20260528,112.1,112.1,106.2,108.3,5159771.0,106.56,103.2155,106.56,106.56,106.56,-3.0004,,,1.4048,4.9261,1.6329,-4.7493
20260529,111.65,113.2,111.6,112.85,3520574.0,108.89,104.0183,107.6083,107.6083,107.6083,4.2013,11.5119,,0.9652,8.4905,4.8711,-0.7476
