date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20251103,41.15,41.15,41.0,41.0,2000,,,,,,,,,,,
20251104,41.15,41.15,41.1,41.1,7000,,,,,,0.2439,,,,,
20251105,41.45,41.45,41.45,41.45,1000,,,,,,0.8516,,,,,
20251106,41.5,41.5,41.5,41.5,1000,,,,,,0.1206,,,,,
20251107,41.5,41.5,41.2,41.2,2000,41.25,41.25,41.25,41.25,41.0928,-0.7229,,,0.7692,-0.1212,-0.7229
20251110,41.25,41.25,41.15,41.15,11000,41.28,41.2333,41.2333,41.2333,41.0976,-0.1214,0.3659,,2.75,-0.2021,-0.8434
20251111,41.15,41.2,41.15,41.2,8000,41.3,41.2286,41.2286,41.2286,41.1061,0.1215,0.2433,,1.75,-0.0693,-0.7229
20251112,41.5,41.5,41.5,41.5,1000,41.31,41.2625,41.2625,41.2625,41.1389,0.7282,0.1206,,0.2424,0.5756,0.0
20251113,41.3,41.3,41.3,41.3,5000,41.27,41.2667,41.2667,41.2667,41.1523,-0.4819,-0.4819,,1.1842,0.0808,-0.4819
20251114,41.3,41.3,41.3,41.3,4000,41.29,41.27,41.27,41.27,41.1646,0.0,0.2427,,0.9524,0.0727,-0.4819
20251117,41.4,41.4,41.2,41.2,10000,41.3,41.2636,41.2636,41.2636,41.1676,-0.2421,0.1215,,2.1154,-0.1542,-0.7229
20251118,41.2,41.2,41.2,41.2,5000,41.3,41.2583,41.2583,41.2583,41.1703,0.0,0.0,,1.0526,-0.1414,-0.7229
20251120,41.2,41.2,41.05,41.05,15000,41.21,41.2423,41.2423,41.2423,41.1603,-0.3641,-1.0843,,2.7083,-0.4663,-1.0843
20251121,41.1,41.1,41.05,41.05,16000,41.16,41.2286,41.2286,41.2286,41.1511,0.0,-0.6053,,2.5455,-0.4331,-1.0843
20251124,41.2,41.2,41.05,41.05,5000,41.11,41.2167,41.2167,41.2167,41.1427,0.0,-0.6053,,0.8065,-0.4044,-1.0843
20251125,41.0,41.2,41.0,41.1,4000,41.09,41.2094,41.2094,41.2094,41.1391,0.1218,-0.2427,,0.6598,-0.2654,-0.9639
20251126,41.1,41.1,41.1,41.1,5000,41.07,41.2029,41.2029,41.2029,41.1358,0.0,-0.2427,,0.8333,-0.2498,-0.9639
20251127,41.2,41.2,41.05,41.05,11000,41.07,41.1944,41.1944,41.1944,41.1287,-0.1217,0.0,,1.7522,-0.3506,-1.0843
20251128,41.05,41.05,41.0,41.0,3000,41.06,41.1842,41.1842,41.1842,41.118,-0.1218,-0.1218,,0.4914,-0.4473,-1.2048
20251201,41.0,41.1,41.0,41.05,7000,41.06,41.1775,41.1775,41.1775,41.1123,0.122,0.0,,1.1382,-0.3096,-1.0843
20251202,41.2,41.2,41.1,41.1,4000,41.06,41.1825,41.1738,41.1738,41.1113,0.1218,0.0,0.2439,0.64,-0.2003,-0.9639
20251203,41.1,41.1,41.1,41.1,5000,41.06,41.1825,41.1705,41.1705,41.1103,0.0,0.0,0.0,0.813,-0.2003,-0.9639
20251204,41.2,41.2,41.05,41.1,5000,41.07,41.165,41.1674,41.1674,41.1095,0.0,0.1218,-0.8444,0.7874,-0.1579,-0.9639
20251208,41.2,41.2,41.2,41.2,1000,41.11,41.15,41.1687,41.1687,41.117,0.2433,0.4878,-0.7229,0.1575,0.1215,-0.7229
20251209,41.25,41.25,41.2,41.2,2000,41.14,41.15,41.17,41.17,41.1239,0.0,0.3654,0.0,0.315,0.1215,-0.7229
20251210,41.3,41.3,41.3,41.3,2000,41.18,41.1575,41.175,41.175,41.1386,0.2427,0.4866,0.3645,0.339,0.3462,-0.4819
20251215,41.15,41.25,41.15,41.25,3000,41.21,41.16,41.1778,41.1778,41.1479,-0.1211,0.365,0.1214,0.531,0.2187,-0.6024
20251216,41.25,41.25,41.25,41.25,1000,41.24,41.1475,41.1804,41.1804,41.1564,0.0,0.365,-0.6024,0.177,0.2491,-0.6024
20251217,41.25,41.3,41.25,41.3,2000,41.26,41.1475,41.1845,41.1845,41.1684,0.1212,0.2427,0.0,0.3636,0.3706,-0.4819
20251219,41.5,41.5,41.5,41.5,1000,41.32,41.1575,41.195,41.195,41.196,0.4843,0.7282,0.4843,0.1869,0.8322,0.0
20251222,41.5,41.5,41.0,41.25,5000,41.31,41.16,41.1968,41.1968,41.2005,-0.6024,-0.1211,0.1214,0.9804,0.2187,-0.6024
20251223,41.3,41.3,41.3,41.3,1000,41.32,41.165,41.2,41.2,41.2088,0.1212,0.1212,0.2427,0.2041,0.3279,-0.4819
20251224,41.3,41.3,41.3,41.3,9000,41.33,41.1775,41.203,41.203,41.2164,0.0,0.1212,0.609,1.9565,0.2975,-0.4819
20251226,41.15,41.15,41.15,41.15,1000,41.3,41.1825,41.2015,41.2015,41.2109,-0.3632,-0.3632,0.2436,0.2597,-0.0789,-0.8434
20251229,41.05,41.2,41.05,41.15,4000,41.23,41.1875,41.2,41.2,41.2058,0.0,-0.8434,0.2436,1.0526,-0.091,-0.8434
20251230,41.15,41.15,41.15,41.15,1000,41.21,41.19,41.1986,41.1986,41.2011,0.0,-0.2424,0.1217,0.274,-0.0971,-0.8434
20251231,41.1,41.1,41.0,41.0,10000,41.15,41.185,41.1932,41.1932,41.1844,-0.3645,-0.7264,-0.2433,2.5641,-0.4492,-1.2048
20260102,41.05,41.15,41.05,41.15,11000,41.12,41.19,41.1921,41.1921,41.1815,0.3659,-0.3632,0.2436,2.8205,-0.0971,-0.8434
20260105,41.15,41.15,41.05,41.15,8000,41.12,41.1975,41.191,41.191,41.1789,0.0,0.0,0.3659,1.9277,-0.1153,-0.8434
20260107,41.3,41.35,41.15,41.15,11000,41.12,41.2025,41.19,41.19,41.1765,0.0,0.0,0.2436,2.5287,-0.1274,-0.8434
20260108,41.15,41.15,41.15,41.15,6000,41.12,41.205,41.189,41.189,41.1743,0.0,0.0,0.1217,1.3483,-0.1335,-0.8434
20260109,41.1,41.1,41.1,41.1,1000,41.14,41.205,41.1869,41.1869,41.1681,-0.1215,0.2439,0.0,0.2353,-0.2548,-0.9639
20260112,41.2,41.2,40.9,40.9,16000,41.09,41.195,41.1802,41.1802,41.1457,-0.4866,-0.6075,-0.4866,3.3333,-0.7161,-1.4458
20260114,41.15,41.2,41.15,41.2,3000,41.1,41.195,41.1807,41.1807,41.1503,0.7335,0.1215,0.0,0.6122,0.0121,-0.7229
20260115,41.2,41.3,41.2,41.3,3000,41.13,41.2,41.1833,41.1833,41.1627,0.2427,0.3645,0.2427,0.6061,0.2427,-0.4819
20260116,42.1,42.1,41.8,41.8,18000,41.26,41.225,41.1967,41.1967,41.2158,1.2107,1.5796,1.2107,3.1304,1.3948,-0.7126
20260119,41.8,41.8,41.8,41.8,5000,41.4,41.2525,41.2096,41.2096,41.2645,0.0,1.7032,1.3333,0.8547,1.3272,-0.7126
20260120,41.7,41.7,41.7,41.7,9000,41.56,41.275,41.2198,41.2198,41.3008,-0.2392,1.956,1.0909,1.44,1.0297,-0.9501
20260121,41.6,41.6,41.6,41.6,9000,41.64,41.29,41.2276,41.2276,41.3257,-0.2398,0.9709,0.7264,1.3636,0.7508,-1.1876
20260122,41.8,41.8,41.7,41.7,3000,41.72,41.3,41.237,41.237,41.3569,0.2404,0.9685,0.4819,0.4478,0.9685,-0.9501
20260123,41.5,41.6,41.3,41.6,9000,41.68,41.3175,41.2441,41.2441,41.3772,-0.2398,-0.4785,0.8485,1.3043,0.6837,-1.1876
20260126,41.8,41.8,41.4,41.4,11000,41.6,41.3225,41.2471,41.2471,41.3791,-0.4808,-0.9569,0.2421,1.4865,0.1875,-1.6627
20260127,41.5,41.6,41.4,41.6,13000,41.58,41.3375,41.2538,41.2538,41.3975,0.4831,-0.2398,0.7264,1.7105,0.635,-1.1876
20260128,41.5,41.6,41.35,41.6,13000,41.58,41.36,41.2602,41.2602,41.4144,0.0,0.0,1.0936,1.5854,0.5803,-1.1876
20260129,41.4,41.45,41.35,41.45,15000,41.53,41.375,41.2636,41.2636,41.4173,-0.3606,-0.5995,0.729,1.7143,0.1813,-1.5439
20260130,41.75,41.75,41.7,41.75,10000,41.56,41.405,41.2723,41.2723,41.4451,0.7238,0.3606,1.4581,1.087,0.8332,-0.8314
20260202,41.5,41.6,41.4,41.6,9000,41.6,41.435,41.2781,41.2781,41.458,-0.3593,0.4831,1.4634,0.9836,0.3982,-1.1876
20260204,41.55,41.6,41.55,41.6,9000,41.6,41.4575,41.2836,41.2836,41.4698,0.0,0.0,1.0936,0.9945,0.3437,-1.1876
20260205,41.6,41.6,41.6,41.6,2000,41.6,41.48,41.289,41.289,41.4807,0.0,0.0,1.0936,0.2286,0.2893,-1.1876
20260206,41.8,41.8,41.7,41.7,2000,41.65,41.5075,41.2958,41.2958,41.4989,0.2404,0.6031,1.3366,0.241,0.4638,-0.9501
20260211,41.5,41.5,41.5,41.5,1000,41.6,41.525,41.3042,41.2992,41.499,-0.4796,-0.5988,0.8505,0.1242,-0.0602,-1.4252
20260223,41.1,41.5,41.05,41.45,14000,41.57,41.5425,41.31,41.3016,41.4949,-0.1205,-0.3606,0.8516,1.6092,-0.2227,-1.5439
20260224,41.8,41.8,41.1,41.15,3000,41.48,41.555,41.305,41.2992,41.4662,-0.7238,-1.0817,0.6112,0.3727,-0.9746,-2.2565
20260225,41.2,41.6,41.2,41.55,4000,41.47,41.5725,41.3058,41.3031,41.4732,0.9721,-0.1202,0.8495,0.4938,-0.0541,-1.3064
20260226,41.55,41.55,41.55,41.55,1000,41.44,41.585,41.3117,41.3069,41.4796,0.0,-0.3597,0.6053,0.125,-0.0842,-1.3064
20260302,41.6,41.6,41.5,41.5,3000,41.44,41.57,41.3175,41.3098,41.4813,-0.1203,0.0,-0.7177,0.4138,-0.1684,-1.4252
20260303,41.2,41.7,41.2,41.7,4000,41.49,41.565,41.3258,41.3157,41.4995,0.4819,0.6031,-0.2392,0.5556,0.3248,-0.9501
20260304,41.15,41.15,41.0,41.1,12000,41.48,41.535,41.3192,41.3125,41.4662,-1.4388,-0.1215,-1.4388,1.6327,-1.0473,-2.3753
20260305,41.15,41.15,41.15,41.15,1000,41.4,41.5125,41.3167,41.3101,41.4399,0.1217,-0.9627,-1.0817,0.1439,-0.8732,-2.2565
20260306,41.85,41.95,41.5,41.95,11000,41.48,41.525,41.3275,41.3193,41.4824,1.9441,0.9627,0.5995,1.4966,1.0235,-0.3563
20260309,41.85,41.85,41.5,41.5,10000,41.48,41.52,41.3325,41.3218,41.4838,-1.0727,0.0,-0.2404,1.3514,-0.0482,-1.4252
20260310,41.5,41.55,41.3,41.55,7000,41.45,41.5275,41.3383,41.325,41.4894,0.1205,-0.3597,0.3623,0.9722,0.0542,-1.3064
20260311,41.15,42.0,41.1,41.8,15000,41.59,41.5375,41.3508,41.3315,41.5152,0.6017,1.7032,0.4808,2.0548,0.632,-0.7126
20260312,41.85,42.0,41.85,42.0,2000,41.76,41.5575,41.3667,41.3405,41.5556,0.4785,2.0656,0.9615,0.2963,1.0648,-0.2375
20260313,42.0,42.0,41.5,41.5,3000,41.67,41.56,41.3742,41.3427,41.551,-1.1905,-1.0727,0.1206,0.4878,-0.1444,-1.4252
20260316,41.5,41.7,41.5,41.7,18000,41.71,41.5575,41.3842,41.3474,41.5634,0.4819,0.4819,-0.1198,2.7481,0.3429,-0.9501
20260317,41.75,42.45,41.7,41.8,17000,41.76,41.5675,41.3958,41.3532,41.5831,0.2398,0.6017,0.4808,2.446,0.5593,-1.5312
20260318,41.8,41.8,41.7,41.7,6000,41.74,41.5725,41.4067,41.3577,41.5929,-0.2392,-0.2392,0.2404,0.8824,0.3067,-1.7668
20260319,41.5,41.8,41.5,41.8,5000,41.7,41.5825,41.42,41.3633,41.6101,0.2398,-0.4762,0.4808,0.7194,0.5231,-1.5312
20260323,41.5,41.5,41.5,41.5,5000,41.7,41.5725,41.4275,41.365,41.601,-0.7177,0.0,-0.4796,0.7042,-0.1744,-2.2379
20260324,41.5,41.5,41.5,41.5,13000,41.66,41.5725,41.4342,41.3667,41.5925,0.0,-0.4796,0.0,1.6883,-0.1744,-2.2379
20260325,41.3,41.5,41.3,41.5,4000,41.6,41.575,41.4408,41.3683,41.5848,0.0,-0.7177,0.1206,0.5556,-0.1804,-2.2379
20260326,41.75,41.75,41.4,41.4,6000,41.54,41.5875,41.4458,41.3687,41.5694,-0.241,-0.7194,0.6075,0.8163,-0.4509,-2.4735
20260327,41.35,41.35,41.35,41.35,4000,41.45,41.5775,41.4483,41.3685,41.5511,-0.1208,-1.0766,-0.4813,0.5442,-0.5472,-2.5913
20260331,41.2,41.5,41.2,41.5,12000,41.45,41.575,41.4533,41.37,41.5469,0.3628,0.0,-0.1203,1.519,-0.1804,-2.2379
20260401,41.1,41.5,41.1,41.4,7000,41.43,41.57,41.455,41.3703,41.5346,-0.241,-0.241,-0.241,0.8642,-0.4089,-2.4735
20260402,41.3,41.3,41.2,41.2,3000,41.37,41.545,41.4542,41.3684,41.5068,-0.4831,-0.7229,-1.199,0.3727,-0.8304,-2.9446
20260407,41.15,41.15,40.95,41.0,9000,41.29,41.54,41.45,41.3642,41.4645,-0.4854,-0.9662,-0.2433,1.1392,-1.3,-3.4158
20260408,41.0,41.9,41.0,41.0,8000,41.22,41.5325,41.445,41.3601,41.4258,0.0,-0.8464,-0.3645,0.9697,-1.2821,-3.4158
20260409,41.05,41.05,40.95,41.0,8000,41.12,41.485,41.4367,41.3561,41.3903,0.0,-1.2048,-2.2646,0.9877,-1.1691,-3.4158
