date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20251103,60.4,63.2,58.0,61.1,1259854,,,,,,,,,,,
20251104,61.1,62.0,58.4,59.1,719399,,,,,,-3.2733,,,,,
20251105,58.2,61.4,56.5,61.4,1128295,,,,,,3.8917,,,,,
20251106,61.6,63.8,61.3,62.3,541706,,,,,,1.4658,,,,,
20251107,61.5,64.7,60.8,61.6,341761,61.1,61.1,61.1,61.1,61.126,-1.1236,,,0.4282,0.8183,-4.7913
20251110,61.4,64.1,58.0,62.8,709627,61.44,61.3833,61.3833,61.3833,61.2655,1.9481,2.7823,,0.9058,2.3079,-2.9366
20251111,63.1,63.1,61.3,62.0,241334,62.02,61.4714,61.4714,61.4714,61.3267,-1.2739,4.9069,,0.3418,0.8599,-4.1731
20251112,62.0,64.0,60.9,62.2,1401662,62.18,61.5625,61.5625,61.5625,61.3995,0.3226,1.3029,,1.7676,1.0355,-3.864
20251113,62.5,62.5,60.8,60.8,167385,61.88,61.4778,61.4778,61.4778,61.3495,-2.2508,-2.4077,,0.2314,-1.1025,-6.0278
20251114,60.8,60.8,58.9,58.9,169661,61.34,61.22,61.22,61.22,61.1454,-3.125,-4.3831,,0.254,-3.7896,-8.9645
20251117,59.2,59.8,59.0,59.0,80598,60.58,61.0182,61.0182,61.0182,60.9666,0.1698,-6.051,,0.1311,-3.3075,-8.8099
20251118,59.4,62.3,58.7,60.7,616793,60.32,60.9917,60.9917,60.9917,60.9444,2.8814,-2.0968,,1.0032,-0.4782,-6.1824
20251119,60.5,60.5,58.4,58.5,136137,59.58,60.8,60.8,60.8,60.7407,-3.6244,-5.9486,,0.2355,-3.7829,-9.5827
20251120,60.4,60.4,59.3,60.0,207218,59.42,60.7429,60.7429,60.7429,60.679,2.5641,-1.3158,,0.3757,-1.223,-7.2643
20251121,57.5,61.7,57.5,60.0,259615,59.64,60.6933,60.6933,60.6933,60.6224,0.0,1.8676,,0.4879,-1.1424,-7.2643
20251124,59.9,60.8,58.5,60.8,183927,60.0,60.7,60.7,60.7,60.6372,1.3333,3.0508,,0.3604,0.1647,-6.0278
20251125,60.8,62.9,60.5,62.5,2090132,60.36,60.8059,60.8059,60.8059,60.7924,2.7961,2.9654,,3.4648,2.7861,-3.4003
20251126,62.8,62.8,60.7,61.8,347794,61.02,60.8611,60.8611,60.8611,60.8764,-1.12,5.641,,0.5904,1.5427,-4.4822
20251127,61.7,67.9,60.8,67.1,2852241,62.44,61.1895,61.1895,61.1895,61.395,8.5761,11.8333,,4.0276,9.6594,-1.1782
20251128,67.5,70.8,63.5,65.1,2945013,63.46,61.385,61.385,61.385,61.7038,-2.9806,8.5,,3.5914,6.052,-8.0508
20251201,64.8,69.2,64.1,66.5,1403532,64.6,61.655,61.6286,61.6286,62.1034,2.1505,9.375,8.838,1.6967,7.8582,-6.0734
