date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20260522,12.78,12.79,12.76,12.78,661303.0,,,,,,,,,,,,
20260525,12.8,12.8,12.74,12.76,1630250.0,,,,,,-0.1565,,,,,,
20260526,12.77,12.8,12.75,12.78,962222.0,,,,,,0.1567,,,,,,
20260527,12.81,12.81,12.74,12.74,801686.0,,,,,,-0.313,,,,,,
20260528,12.74,12.76,12.73,12.73,1147990.0,12.758,12.7715,12.758,12.758,12.758,-0.0785,,,1.1031,-0.3249,-0.2195,-0.6245
20260529,12.79,12.79,12.68,12.71,1059554.0,12.744,12.7664,12.75,12.75,12.75,-0.1571,-0.5477,,1.0151,-0.4415,-0.3137,-0.7806
20260601,12.71,12.71,12.64,12.65,1398683.0,12.722,12.7567,12.7357,12.7357,12.7357,-0.4721,-0.8621,,1.2779,-0.8362,-0.673,-1.249
20260602,12.65,12.68,12.62,12.66,1122915.0,12.698,12.7486,12.7262,12.7262,12.7262,0.0791,-0.939,,1.0226,-0.6951,-0.5206,-1.171
20260603,12.66,12.73,12.66,12.72,1964020.0,12.694,12.7462,12.7256,12.7256,12.7256,0.4739,-0.157,,1.6445,-0.2058,-0.0437,-0.7026
20260604,12.65,12.68,12.62,12.66,1122915.0,12.68,12.739,12.719,12.719,12.719,-0.4717,-0.5499,,0.9459,-0.6205,-0.4639,-1.171
20260605,12.55,12.59,12.54,12.56,2142869.0,12.65,12.7241,12.7045,12.7045,12.7045,-0.7899,-1.1802,,1.682,-1.2899,-1.1377,-1.9516
20260611,12.52,12.65,12.52,12.64,1396720.0,12.648,12.7171,12.6992,12.6992,12.6992,0.6369,-0.0791,,1.0876,-0.6064,-0.4659,-1.3271
20260612,12.71,12.77,12.71,12.74,1431538.0,12.664,12.719,12.7023,12.7023,12.7023,0.7911,0.6319,,1.1049,0.1649,0.2967,-0.5464
20260615,12.8,12.88,12.8,12.88,1162789.0,12.696,12.7324,12.715,12.715,12.715,1.0989,1.2579,,0.9041,1.159,1.2977,0.0
20260616,12.79,12.79,12.66,12.66,1968020.0,12.696,12.7264,12.7113,12.7113,12.7113,-1.7081,0.0,,1.478,-0.5218,-0.4038,-1.7081
