# PRICE_WINDOW_137

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,113.0,114.0,112.5,112.5,219714,,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,113.0,114.0,113.0,113.5,177205,,,,,,0.8889,,,,,,

PRICE_WINDOW_180_ROW_003=20251105,113.0,114.5,112.5,113.5,216215,,,,,,0.0,,,,,,

PRICE_WINDOW_180_ROW_004=20251106,114.5,117.0,114.5,117.0,418965,,,,,,3.0837,,,,,,

PRICE_WINDOW_180_ROW_005=20251107,117.0,117.5,116.0,117.5,344708,114.8,113.3946,114.8,114.8,114.8,0.4274,,,1.2518,3.6204,2.3519,0.0

PRICE_WINDOW_180_ROW_006=20251110,116.0,116.0,112.0,114.5,1036036,115.2,113.4867,114.75,114.75,114.75,-2.5532,1.7778,,2.5763,0.8928,-0.2179,-2.5532

PRICE_WINDOW_180_ROW_007=20251111,114.5,116.0,114.5,115.0,304467,115.5,113.6128,114.7857,114.7857,114.7857,0.4367,1.3216,,0.7843,1.2209,0.1867,-2.1277

PRICE_WINDOW_180_ROW_008=20251112,114.5,116.5,114.5,116.5,175799,116.1,113.8534,115.0,115.0,115.0,1.3043,2.6432,,0.4861,2.3245,1.3043,-0.8511

PRICE_WINDOW_180_ROW_009=20251113,116.0,118.0,116.0,117.5,330398,116.2,114.1573,115.2778,115.2778,115.2778,0.8584,0.4274,,0.9225,2.9281,1.9277,-0.4237

PRICE_WINDOW_180_ROW_010=20251114,117.5,117.5,116.0,116.0,191259,115.9,114.3109,115.35,115.35,115.35,-1.2766,-1.2766,,0.5601,1.4777,0.5635,-1.6949

PRICE_WINDOW_180_ROW_011=20251117,116.0,117.5,116.0,116.5,111084,116.3,114.4933,115.4545,115.4545,115.4545,0.431,1.7467,,0.3466,1.7527,0.9055,-1.2712

PRICE_WINDOW_180_ROW_012=20251118,116.0,116.0,114.5,114.5,212326,116.2,114.4939,115.375,115.375,115.375,-1.7167,-0.4348,,0.6816,0.0054,-0.7584,-2.9661

