review_code,msci_index_segment,effective_date,action,msci_company_name,stock_id,mapping_status,event_type,source_url,error_message
Feb25,global_standard,20250228,addition,ELITE MATERIAL CO,2383,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,
Feb25,global_standard,20250228,addition,LOTES CO,,unmatched_name,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,
Feb25,global_standard,20250228,deletion,NANYA TECHNOLOGY,2408,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,
Feb25,global_standard,20250228,deletion,WALSIN LIHWA CORP,1605,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,
Feb25,small_cap,20250228,addition,ALL RING TECH,6187,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,CALIWAY BIOPHARMA,6919,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,ITH,,unmatched_name,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,NANYA TECHNOLOGY,2408,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,PLAYNITRIDE,6854,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,POSIFLEX,8114,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,SPORTS GEAR,6768,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,STARLUX AIRLINES,2646,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,TIGERAIR TAIWAN,6757,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,addition,WALSIN LIHWA CORP,1605,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,deletion,AIC,,unmatched_name,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
Feb25,small_cap,20250228,deletion,ALEXANDER MARINE,,unmatched_name,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,
