date,ticker,name,market,open,high,low,close,volume
20260205,0050,元大台灣50,TWSE,72.05,72.25,71.75,72.0,107575796
20260205,0051,元大中型100,TWSE,107.35,107.35,105.0,105.3,94660
20260205,0052,富邦科技,TWSE,42.88,43.02,42.76,42.86,41423872
20260205,0053,元大電子,TWSE,159.85,160.05,158.25,158.8,17069
20260205,0055,元大MSCI金融,TWSE,32.28,32.46,32.09,32.4,174130
20260205,0056,元大高股息,TWSE,37.59,37.79,37.5,37.55,37738253
20260205,0057,富邦摩台,TWSE,214.2,214.2,213.25,213.25,13114
20260205,0061,元大寶滬深,TWSE,23.4,23.6,23.38,23.4,210083
20260205,1101,台泥,TWSE,25.8,26.1,25.65,25.7,27607504
20260205,1102,亞泥,TWSE,35.0,35.5,35.0,35.35,5978862
20260205,1103,嘉泥,TWSE,14.0,14.0,13.9,13.9,422729
20260205,1104,環泥,TWSE,29.85,29.9,29.65,29.8,202139
20260205,1108,幸福,TWSE,15.05,15.15,15.05,15.1,112938
20260205,1109,信大,TWSE,15.4,15.5,15.4,15.45,55750
20260205,1110,東泥,TWSE,16.3,16.55,16.15,16.25,128065
20260205,1201,味全,TWSE,14.45,14.6,14.45,14.55,254951
20260205,1203,味王,TWSE,39.7,39.7,39.45,39.5,8853
20260205,1210,大成,TWSE,51.0,51.6,51.0,51.3,1478410
20260205,1213,大飲,TWSE,10.1,10.1,9.8,10.05,9001
20260205,1215,卜蜂,TWSE,150.0,150.5,148.5,149.0,384871
20260205,1216,統一,TWSE,72.2,73.6,72.2,73.3,8268092
20260205,1217,愛之味,TWSE,10.5,10.6,10.5,10.5,270608
20260205,1218,泰山,TWSE,18.15,18.35,18.1,18.3,481845
20260205,1219,福壽,TWSE,13.5,13.6,13.5,13.55,142022
20260205,1220,台榮,TWSE,12.9,13.0,12.8,12.8,69532
20260205,1225,福懋油,TWSE,28.95,28.95,28.05,28.35,177116
20260205,1227,佳格,TWSE,28.7,29.15,28.7,29.0,641618
20260205,1229,聯華,TWSE,45.15,45.75,45.15,45.45,1043440
20260205,1231,聯華食,TWSE,94.1,95.5,94.1,94.4,280624
20260205,1232,大統益,TWSE,147.5,147.5,146.0,146.5,61251
20260205,1233,天仁,TWSE,32.15,32.2,32.05,32.2,54046
20260205,1234,黑松,TWSE,37.1,37.1,36.8,37.0,76469
20260205,1235,興泰,TWSE,41.2,41.55,40.35,40.35,20699
20260205,1236,宏亞,TWSE,26.55,26.65,26.5,26.65,87035
20260205,1256,鮮活果汁-KY,TWSE,161.5,171.0,161.5,164.0,235984
20260205,1301,台塑,TWSE,47.2,47.95,46.8,47.2,26193865
20260205,1303,南亞,TWSE,76.5,78.3,74.1,74.5,56830149
