date,ticker,name,market,open,high,low,close,volume
20260309,1440,南紡,TWSE,12.7,12.8,12.5,12.6,1985454
20260309,1441,大東,TWSE,9.96,9.97,9.92,9.92,38093
20260309,1442,名軒,TWSE,26.85,27.0,25.75,25.8,1053452
20260309,1443,立益物流,TWSE,25.55,25.75,24.75,24.75,34167
20260309,1444,力麗,TWSE,6.06,6.18,6.0,6.04,1259027
20260309,1445,大宇,TWSE,12.3,13.0,12.3,12.85,101438
20260309,1446,宏和,TWSE,15.0,15.05,14.5,14.85,327367
20260309,1447,力鵬,TWSE,5.72,5.72,5.42,5.46,1452750
20260309,1449,佳和,TWSE,10.5,10.5,10.1,10.3,741854
20260309,1451,年興,TWSE,18.2,18.2,17.8,17.95,332352
20260309,1452,宏益,TWSE,11.35,11.35,10.95,11.05,272052
20260309,1453,大將,TWSE,12.1,12.3,12.1,12.1,105040
20260309,1454,台富,TWSE,12.8,12.8,12.6,12.7,67126
20260309,1455,集盛,TWSE,9.1,9.13,8.71,8.92,2729547
20260309,1456,怡華,TWSE,12.35,13.1,12.35,12.95,76528
20260309,1457,宜進,TWSE,14.9,15.5,14.85,15.25,283709
20260309,1459,聯發,TWSE,11.95,11.95,11.55,11.65,849398
20260309,1460,宏遠,TWSE,6.52,6.73,6.46,6.65,828624
20260309,1463,強盛新,TWSE,17.0,17.95,17.0,17.95,211753
20260309,1464,得力,TWSE,10.85,11.0,10.75,10.9,631488
20260309,1465,偉全,TWSE,12.3,12.4,12.25,12.3,52639
20260309,1466,聚隆,TWSE,16.65,16.8,16.25,16.8,411492
20260309,1467,南緯,TWSE,7.28,7.28,6.93,7.05,232155
20260309,1468,昶和,TWSE,12.85,13.0,12.2,12.45,56586
20260309,1470,大統新創,TWSE,22.2,22.8,21.6,22.8,19000
20260309,1471,首利,TWSE,12.0,12.1,11.5,12.05,887160
20260309,1472,三洋實業,TWSE,90.2,91.6,89.8,90.3,93733
20260309,1473,台南,TWSE,23.5,23.95,23.3,23.6,120100
20260309,1474,弘裕,TWSE,10.15,10.15,9.99,10.0,208616
20260309,1475,業旺,TWSE,28.95,29.3,28.3,28.3,61319
20260309,1476,儒鴻,TWSE,381.0,387.5,376.0,381.0,890159
20260309,1477,聚陽,TWSE,298.0,299.5,290.0,292.5,1363254
20260309,1503,士電,TWSE,204.5,207.5,198.5,203.5,4018243
20260309,1504,東元,TWSE,67.2,69.1,66.1,68.8,11638844
20260309,1506,正道,TWSE,11.3,11.55,10.85,11.4,368371
20260309,1512,瑞利,TWSE,7.18,7.18,6.91,7.07,144550
20260309,1513,中興電,TWSE,152.0,153.0,148.0,151.5,6403461
20260309,1514,亞力,TWSE,110.5,113.0,108.0,111.0,4278819
20260309,1515,力山,TWSE,24.65,24.8,24.3,24.6,558071
20260309,1516,川飛,TWSE,24.2,24.75,23.0,23.85,237813
20260309,1517,利奇,TWSE,11.7,11.75,11.2,11.4,295627
20260309,1519,華城,TWSE,850.0,883.0,846.0,871.0,4645119
20260309,1521,大億,TWSE,25.2,25.2,24.8,25.15,23362
20260309,1522,堤維西,TWSE,39.8,40.55,39.15,40.35,785997
20260309,1524,耿鼎,TWSE,28.25,30.2,28.1,29.25,1789193
20260309,1525,江申,TWSE,61.1,62.1,60.9,61.7,62223
20260309,1526,日馳,TWSE,18.2,18.6,17.9,18.2,156942
20260309,1527,鑽全,TWSE,32.35,32.85,32.35,32.75,281549
20260309,1528,恩德,TWSE,20.3,21.1,20.2,21.05,4266677
20260309,1529,樂事綠能,TWSE,27.05,29.6,25.0,26.15,20086556
20260309,1530,亞崴,TWSE,26.0,26.8,26.0,26.35,78473
20260309,1531,高林股,TWSE,11.4,11.85,11.4,11.5,80318
20260309,1532,勤美,TWSE,23.05,23.1,22.7,22.85,876156
20260309,1533,車王電,TWSE,29.45,30.4,29.3,29.5,96630
20260309,1535,中宇,TWSE,49.2,49.5,49.2,49.5,93970
20260309,1536,和大,TWSE,51.8,52.8,50.9,52.0,2218734
20260309,1537,廣隆,TWSE,122.5,123.0,122.0,122.5,105100
20260309,1538,正峰,TWSE,16.7,17.5,16.5,17.5,13244
20260309,1539,巨庭,TWSE,16.8,16.8,16.0,16.35,269510
20260309,1540,喬福,TWSE,21.85,22.0,21.15,21.95,450765
20260309,1541,錩泰,TWSE,23.7,24.0,23.7,23.9,43600
20260309,1558,伸興,TWSE,93.0,94.0,92.9,93.6,66033
20260309,1560,中砂,TWSE,451.0,456.5,443.0,451.0,1489672
20260309,1563,巧新,TWSE,41.8,42.05,40.4,40.6,735680
20260309,1568,倉佑,TWSE,21.0,21.2,20.65,21.0,238715
20260309,1582,信錦,TWSE,82.0,86.5,82.0,86.0,9649047
20260309,1583,程泰,TWSE,42.85,44.8,42.85,43.85,36081
20260309,1587,吉茂,TWSE,38.3,38.6,37.2,37.5,695997
20260309,1589,永冠-KY,TWSE,6.65,6.65,6.65,6.65,552340
20260309,1590,亞德客-KY,TWSE,987.0,998.0,943.0,969.0,1651415
20260309,1597,直得,TWSE,68.0,70.5,67.5,70.3,404877
