date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source
20250327,6279,胡連,TPEx,169.0,169.5,165.5,166.5,653000,109019000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6284,佳邦,TPEx,82.3,82.8,82.0,82.5,476000,39193300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6287,元隆,TPEx,13.0,13.0,13.0,13.0,1000,13000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6290,良維,TPEx,89.4,90.0,88.0,88.0,2717000,241243400,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6291,沛亨,TPEx,101.5,106.0,100.5,106.0,157000,16284000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6292,迅德,TPEx,60.3,60.3,59.6,59.6,61000,3647700,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6294,智基,TPEx,65.7,65.7,65.6,65.6,27000,1773500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6411,晶焱,TPEx,83.0,83.0,82.3,82.5,30000,2476900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6417,韋僑,TPEx,99.3,100.0,99.3,100.0,16000,1595200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6418,詠昇,TPEx,20.2,20.4,20.15,20.3,47000,952100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6419,京晨科,TPEx,100.5,100.5,99.4,99.5,34000,3389300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6425,易發,TPEx,60.0,63.4,59.6,62.4,807000,50066200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6432,今展科,TPEx,29.6,29.7,29.6,29.7,5000,148300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6435,大中,TPEx,117.5,117.5,111.0,111.0,303000,34472000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6441,廣錠,TPEx,34.1,34.1,33.3,33.3,14000,468550,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6461,益得,TPEx,23.0,23.15,22.95,23.15,86000,1979750,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6462,神盾,TPEx,114.5,119.5,113.0,119.5,1428000,167286000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6465,威潤,TPEx,18.0,18.0,17.8,17.8,9000,161000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6469,大樹,TPEx,175.0,175.5,170.5,173.5,329000,56862500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6470,宇智,TPEx,54.9,55.2,54.6,54.7,79000,4340900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6482,弘煜科,TPEx,56.1,56.1,55.2,55.2,15000,834600,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6485,點序,TPEx,70.9,71.6,68.6,68.7,348000,24238900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6486,互動,TPEx,87.1,87.4,86.8,86.8,61000,5303200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6488,環球晶,TPEx,371.5,372.5,360.0,362.0,2310000,841222500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6492,生華科,TPEx,41.45,41.45,40.75,40.75,162000,6626350,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6494,九齊,TPEx,49.1,49.5,48.8,49.5,34000,1667900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6496,科懋,TPEx,28.9,28.9,28.85,28.9,6000,173350,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6499,益安,TPEx,48.25,48.25,47.55,47.65,79000,3772100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6506,雙邦,TPEx,16.9,16.95,16.85,16.85,39000,660000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6508,惠光,TPEx,29.15,29.15,28.8,28.8,20000,578000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6509,聚和,TPEx,35.9,35.9,35.55,35.6,306000,10905300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6510,精測,TPEx,710.0,710.0,683.0,684.0,263000,182345000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6512,啟發電,TPEx,22.7,22.95,22.4,22.95,7000,159000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6516,勤崴國際,TPEx,76.6,79.4,76.6,77.1,8000,618100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6517,保勝光學,TPEx,97.6,103.0,97.6,102.5,20757000,2084840000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6523,達爾膚,TPEx,146.0,148.0,146.0,147.5,46000,6770500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6527,明達醫,TPEx,84.4,84.4,83.9,84.0,3000,252300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6530,創威,TPEx,59.8,59.8,57.4,57.5,201000,11742600,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6532,瑞耘,TPEx,71.5,71.5,70.0,70.5,117000,8246100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6535,順藥,TPEx,202.5,202.5,197.0,198.0,232000,46184000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6538,倉和,TPEx,118.5,120.0,116.5,116.5,213000,25144000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6546,正基,TPEx,127.0,128.0,125.0,125.0,421000,53085500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6547,高端疫苗,TPEx,53.2,53.8,52.3,52.8,1336000,70543500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6548,長科*,TPEx,35.2,35.55,35.05,35.45,700000,24769700,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6556,勝品,TPEx,85.2,85.2,85.1,85.1,2000,170300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6560,欣普羅,TPEx,31.0,31.05,30.95,31.0,28000,868450,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6561,是方,TPEx,433.5,439.0,431.0,439.0,65000,28299500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6568,宏觀,TPEx,127.5,129.5,126.0,126.5,83000,10579500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,6569,醫揚,TPEx,154.0,154.5,152.5,152.5,29000,4450500,TPEX_OTC_QUOTES_NO1430_JSON
