date,stock_id,stock_name,industry,call_warrant_count,put_warrant_count,call_volume,put_volume,total_warrant_volume,call_turnover,put_turnover,total_warrant_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,put_turnover_change_1d,put_turnover_change_5d,call_volume_change_1d,call_volume_change_5d,put_volume_change_1d,put_volume_change_5d,low_float_call_spike_count,low_float_put_spike_count,issuer_count,top_issuer,top_issuer_call_turnover,top_issuer_put_turnover,latest_warrant_count,issued_quantity_total,cancelled_quantity_total,warrant_flow_signal,warrant_flow_signal_zh,warrant_flow_score,warrant_flow_warning,note
20260921,2409,友達,,334,0,58750000.0,0.0,58750000.0,118095510.0,0.0,118095510.0,,147.25,55.61,-100.0,-100.0,89.41,15.22,-100.0,-100.0,0,0,11,台新,22176850.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,認購權證成交量與成交金額同步偏大，短線資金關注度高,認購權證成交金額明顯升溫
20260921,2308,台達電,,316,0,101072000.0,0.0,101072000.0,97862220.0,0.0,97862220.0,,105.51,46.21,-100.0,-100.0,89.81,32.88,-100.0,-100.0,0,0,12,元大,34993770.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,認購權證成交量與成交金額同步偏大，短線資金關注度高,認購權證成交金額明顯升溫
20260921,3665,貿聯-KY,,301,0,77240000.0,0.0,77240000.0,94316570.0,0.0,94316570.0,,46.49,157.87,-100.0,-100.0,12.34,83.9,-100.0,-100.0,0,0,12,元大,31206350.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,認購權證成交量與成交金額同步偏大，短線資金關注度高,認購權證成交金額明顯升溫
20260921,2449,京元電子,,314,0,56635000.0,0.0,56635000.0,66467660.0,0.0,66467660.0,,-3.73,132.35,-100.0,-100.0,-1.93,103.93,-100.0,-100.0,0,0,12,元大,15993350.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,認購權證成交量與成交金額同步偏大，短線資金關注度高,認購權證成交金額明顯升溫
20260921,6239,力成,,284,0,45320000.0,0.0,45320000.0,55127970.0,0.0,55127970.0,,64.33,101.34,-100.0,-100.0,63.36,84.3,-100.0,-100.0,0,0,12,元大,15798850.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260921,0050,元大台灣50,,286,0,27002000.0,0.0,27002000.0,52426540.0,0.0,52426540.0,,67.67,100.86,-100.0,-100.0,33.98,49.36,-100.0,-100.0,0,0,12,台新,20282150.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260921,2353,宏碁,,64,0,31023000.0,0.0,31023000.0,51456480.0,0.0,51456480.0,,1320.39,391.36,,-100.0,883.92,297.37,,-100.0,0,0,8,群益,24228930.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260921,3481,群創,,210,0,33788000.0,0.0,33788000.0,48487580.0,0.0,48487580.0,,241.4,46.23,-100.0,-100.0,287.61,98.61,-100.0,-100.0,0,0,12,元大,9311080.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260921,2404,漢唐,,245,0,53086000.0,0.0,53086000.0,45512210.0,0.0,45512210.0,,22.85,101.99,-100.0,-100.0,-7.66,43.84,-100.0,-100.0,0,0,12,元大,11585500.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260921,2360,致茂,,83,0,24627000.0,0.0,24627000.0,37749780.0,0.0,37749780.0,,70.04,128.43,-100.0,-100.0,46.84,102.15,-100.0,-100.0,0,0,10,凱基,10255140.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
