date,stock_id,stock_name,industry,call_warrant_count,put_warrant_count,call_volume,put_volume,total_warrant_volume,call_turnover,put_turnover,total_warrant_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,put_turnover_change_1d,put_turnover_change_5d,call_volume_change_1d,call_volume_change_5d,put_volume_change_1d,put_volume_change_5d,low_float_call_spike_count,low_float_put_spike_count,issuer_count,top_issuer,top_issuer_call_turnover,top_issuer_put_turnover,latest_warrant_count,issued_quantity_total,cancelled_quantity_total,warrant_flow_signal,warrant_flow_score,warrant_flow_warning,note
20260521,2330,台積電,,955,225,173512000.0,9158000.0,182670000.0,303799730.0,5347600.0,309147330.0,56.81,156.02,156.02,-22.44,-22.44,93.62,93.62,22.66,22.66,0,0,12,元大,148956350.0,2355420.0,0.0,0.0,0.0,call_put_bullish,3,認購權證成交金額很大且認購/認售比偏高，需檢查標的是否高位追價或獲利結清；認購權證成交量與成交金額同步偏大，短線資金關注度高,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6669,緯穎,,431,43,48506000.0,1791000.0,50297000.0,111422420.0,895060.0,112317480.0,124.49,131.91,131.91,-35.97,-35.97,58.7,58.7,-22.06,-22.06,0,0,13,元富,26469480.0,0.0,0.0,0.0,0.0,call_put_bullish,3,認購權證成交金額很大且認購/認售比偏高，需檢查標的是否高位追價或獲利結清,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6139,亞翔,,226,6,54788000.0,145000.0,54933000.0,87052330.0,15000.0,87067330.0,5803.49,120.65,120.65,-47.28,-47.28,90.49,90.49,-29.95,-29.95,0,0,12,元大,25917520.0,3000.0,0.0,0.0,0.0,call_put_bullish,3,認購權證成交量與成交金額同步偏大，短線資金關注度高,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3715,定穎投控,,242,16,39834000.0,182000.0,40016000.0,38585910.0,130220.0,38716130.0,296.31,126.46,126.46,-37.56,-37.56,37.82,37.82,-43.83,-43.83,0,0,12,元大,13016440.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3231,緯創,,202,21,35267000.0,340000.0,35607000.0,34597900.0,159600.0,34757500.0,216.78,282.13,282.13,-15.92,-15.92,190.77,190.77,-44.89,-44.89,0,0,11,元大,10255100.0,46000.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6282,康舒,,135,6,30329000.0,169000.0,30498000.0,30828070.0,52690.0,30880760.0,585.08,109.67,109.67,437.65,437.65,85.74,85.74,668.18,668.18,0,0,11,元大,11143640.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3167,大量,,48,1,1312000.0,1000.0,1313000.0,27916260.0,120.0,27916380.0,232635.5,600.57,600.57,,,238.14,238.14,,,0,0,10,凱基,18181400.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,8028,昇陽半導體,,182,2,15298000.0,1067000.0,16365000.0,26485010.0,1365330.0,27850340.0,19.4,104.81,104.81,45.79,45.79,63.6,63.6,72.93,72.93,0,0,12,元大,11126220.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3443,創意,,109,17,2327000.0,174000.0,2501000.0,25898340.0,12080.0,25910420.0,2143.9,173.24,173.24,-40.02,-40.02,21.51,21.51,91.21,91.21,0,0,12,國票,17837500.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6531,愛普*,,126,4,5630000.0,1122000.0,6752000.0,24862990.0,163120.0,25026110.0,152.42,121.35,121.35,262.49,262.49,110.31,110.31,202.43,202.43,0,0,12,元富,8730060.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,0073,期元大道瓊白銀(原名：元大道瓊白銀),,246,45,15014000.0,13000.0,15027000.0,24497200.0,27860.0,24525060.0,879.3,123.58,123.58,-91.57,-91.57,54.5,54.5,-93.93,-93.93,0,0,10,群益,12381910.0,18960.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3583,辛耘,,105,2,14668000.0,943000.0,15611000.0,20461110.0,919480.0,21380590.0,22.25,257.33,257.33,32.91,32.91,454.14,454.14,43.75,43.75,0,0,11,統一,11164000.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3406,玉晶光,,63,4,16590000.0,205000.0,16795000.0,20170260.0,139410.0,20309670.0,144.68,131.0,131.0,-7.33,-7.33,92.04,92.04,15.82,15.82,0,0,12,元大,5977040.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2312,金寶,,84,1,15966000.0,85000.0,16051000.0,17916580.0,114850.0,18031430.0,156.0,184.33,184.33,137.29,137.29,142.61,142.61,165.62,165.62,0,0,11,元大,5636990.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6196,帆宣,,85,2,8597000.0,40000.0,8637000.0,16459980.0,34400.0,16494380.0,478.49,125.36,125.36,-7.28,-7.28,107.71,107.71,0.0,0.0,0,0,10,元大,6608230.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2356,英業達,,53,5,9522000.0,69000.0,9591000.0,14399660.0,72860.0,14472520.0,197.63,114.94,114.94,-65.11,-65.11,58.2,58.2,-64.8,-64.8,0,0,11,元大,3838500.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,1605,華新,,145,5,14315000.0,256000.0,14571000.0,13032050.0,112520.0,13144570.0,115.82,458.52,458.52,177.14,177.14,210.39,210.39,652.94,652.94,0,0,13,元大,4394020.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,3044,健鼎,,72,4,7983000.0,220000.0,8203000.0,10306870.0,66050.0,10372920.0,156.05,158.78,158.78,-39.79,-39.79,111.47,111.47,-21.71,-21.71,0,0,11,元大,6085200.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6526,達發,,30,1,6312000.0,20000.0,6332000.0,9952550.0,34400.0,9986950.0,289.32,150.94,150.94,,,98.18,98.18,,,0,0,9,永豐,4408580.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,1513,中興電,,91,2,14788000.0,20000.0,14808000.0,7118920.0,26800.0,7145720.0,265.63,146.09,146.09,-30.03,-30.03,55.22,55.22,-33.33,-33.33,0,0,11,元大,2673060.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,0083,國泰費城半導體,,19,11,2326000.0,2160000.0,4486000.0,5856490.0,1172340.0,7028830.0,5.0,333.86,333.86,5.47,5.47,290.92,290.92,97.26,97.26,0,0,6,元大,4758710.0,1061200.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,1514,亞力,,61,1,11064000.0,7000.0,11071000.0,6400660.0,9650.0,6410310.0,663.28,326.82,326.82,,,169.39,169.39,,,0,0,11,富邦,1816210.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2338,光罩,,15,1,5279000.0,50000.0,5329000.0,5184280.0,45000.0,5229280.0,115.21,153.83,153.83,,,110.32,110.32,,,0,0,5,元大,2377230.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2486,一詮,,60,4,1207000.0,123000.0,1330000.0,4346400.0,1410.0,4347810.0,3082.55,191.52,191.52,,,146.83,146.83,,,0,0,11,元大,1713820.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,0071,期街口布蘭特正2,,114,23,1378000.0,75000.0,1453000.0,3890310.0,155840.0,4046150.0,24.96,112.06,112.06,369.4,369.4,66.83,66.83,226.09,226.09,0,0,10,元大,2501210.0,127380.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2324,仁寶,,71,4,5698000.0,132000.0,5830000.0,3852150.0,51570.0,3903720.0,74.7,221.7,221.7,-72.23,-72.23,97.98,97.98,-70.4,-70.4,0,0,12,富邦,1185340.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2354,鴻準,,41,3,4260000.0,16000.0,4276000.0,3393090.0,30560.0,3423650.0,111.03,132.67,132.67,-78.18,-78.18,82.99,82.99,-76.47,-76.47,0,0,9,元大,1125710.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,6116,彩晶,,25,1,6691000.0,14000.0,6705000.0,3112060.0,17730.0,3129790.0,175.53,133.28,133.28,-79.83,-79.83,67.07,67.07,-75.44,-75.44,0,0,6,元大,1239570.0,0.0,0.0,0.0,0.0,call_put_bullish,3,,認購成交金額明顯大於認售，且認購資金明顯升溫
20260521,2472,立隆電,,83,3,18042000.0,0.0,18042000.0,45087260.0,0.0,45087260.0,,122.14,122.14,,,86.73,86.73,,,0,0,11,群益,19957050.0,0.0,0.0,0.0,0.0,call_strong_inflow,2,,認購權證成交金額明顯升溫
20260521,6209,今國光,,41,0,17827000.0,0.0,17827000.0,29552870.0,0.0,29552870.0,,303.86,303.86,,,253.29,253.29,,,0,0,10,元大,14174560.0,0.0,0.0,0.0,0.0,call_strong_inflow,2,,認購權證成交金額明顯升溫
