record_type,stock_id,signal_date,horizon,trade_id,status,reasons,source_row_sha256,source_row_json,primary_row_retained,formal_use,promotion_evidence_allowed,total_return_verified
source_feature_unavailable,4747,20260615,,,,raw_volume_lineage_unresolved,c23d8c727b728a5c1505cd2c6235bc1ac7eb7089df86da0c52a9536b02da5506,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260615"",""stock_id"":""4747"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,5386,20260615,,,,raw_volume_lineage_unresolved,8e17f68ad6b7e0ab0924c511dd0b66e69948d40945c36aa1bf1fcfed09097c33,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260615"",""stock_id"":""5386"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,6461,20260615,,,,raw_volume_lineage_unresolved,69b5ba4447f69ebafe1880348d3b21dfd35e1d0ebaff92c8c8e9210727743913,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260615"",""stock_id"":""6461"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,4747,20260616,,,,raw_volume_lineage_unresolved,65bf2535c41ef76b8b3ddae79c271a53ac25a5b1439ded8374cf33204e1fac69,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260616"",""stock_id"":""4747"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,5386,20260616,,,,raw_volume_lineage_unresolved,41da9e26e2e33b04ce6ffddb658530075fae0b67ae6997b5c4ce29b3fe8c4c22,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260616"",""stock_id"":""5386"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,6461,20260616,,,,raw_volume_lineage_unresolved,3beb65c9994c6f4f6adde901cddbf1d5eccaa9d89f50582521588ed8efeaf1c4,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260616"",""stock_id"":""6461"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,4747,20260617,,,,raw_volume_lineage_unresolved,9ff61817e31fd5f79a39625ce116084b64252bc9332f37ed4bb62ca4a75e8482,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260617"",""stock_id"":""4747"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,5386,20260617,,,,raw_volume_lineage_unresolved,d63865832ecd2df81871a7b8e1768b5a0343b13f72a0321848d0d3dd606d86be,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260617"",""stock_id"":""5386"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,6461,20260617,,,,raw_volume_lineage_unresolved,0c40471ea0d91eeb4280f78d878766ed9304f01f11204d4609f44f7cb3a58eea,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260617"",""stock_id"":""6461"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,4747,20260618,,,,raw_volume_lineage_unresolved,2efa4f648e024ac47ecfd0dc0883a87b9bf5a524107f0facdd5d24d55480d0fd,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260618"",""stock_id"":""4747"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
source_feature_unavailable,5386,20260618,,,,raw_volume_lineage_unresolved,a5e8b52abe999c22c3470b0236d253b97a9b75dc2b3f2fa23f8db2ebfa58bcca,"{""entry_date"":"""",""entry_open"":"""",""exit_date"":"""",""horizon"":"""",""primary_row_retained"":""True"",""proxy_result_must_not_release_strict_lock"":"""",""reasons"":""raw_volume_lineage_unresolved"",""record_type"":""feature_unavailable"",""signal_date"":""20260618"",""stock_id"":""5386"",""strict_entry_established"":"""",""strict_prior_position_locked"":"""",""strict_v3_status"":""""}",True,False,False,False
