population,feature_name,outcome_group,samples,valid_samples,missing_samples,mean,median,q25,q75,minimum,maximum
primary,tdcc_400_change_sum,all_training,7272,7272,0,0.41866611661166116611661166116611661166116611661166,0.140,0.0100,0.5400,-8.94,35.84
primary,tdcc_1000_change_sum,all_training,7272,7272,0,0.37800055005500550055005500550055005500550055005501,0.040,0.000,0.3700,-7.26,41.88
primary,tdcc_400_up_weeks,all_training,7272,7272,0,1.7724147414741474147414741474147414741474147414741,2.0,1.00,2.00,0,3
primary,tdcc_1000_up_weeks,all_training,7272,7272,0,1.3221947194719471947194719471947194719471947194719,1.0,0.00,2.00,0,3
primary,tdcc_both_net_positive,all_training,7272,7272,0,0.42629262926292629262926292629262926292629262926293,0.0,0.00,1.00,0,1
primary,tdcc_both_up_count_ge2,all_training,7272,7272,0,0.32907040704070407040704070407040704070407040704070,0.0,0.00,1.00,0,1
primary,return_5d,all_training,7272,7272,0,-0.59788705995599559955995599559955995599559955995600,-0.36500,-2.492800,1.712050,-79.4203,7.9926
primary,return_20d,all_training,7272,7272,0,-1.0838270214521452145214521452145214521452145214521,-0.44510,-4.863200,4.300700,-90.3043,19.9495
primary,range_20obs_pct,all_training,7272,7272,0,19.444797931310834889492138881419479067967361587889,13.617856564675408774485996438400518050833738060545,8.4558823529411764705882352941176470588235294117600,21.295534008212383624019189332032361670122372647075,0.6079027355623100303951367781155015197568389057800,1142.7184466019417475728155339805825242718446601942
primary,no_new_low_previous20obs,all_training,7272,7272,0,0.89837733773377337733773377337733773377337733773377,1.0,1.00,1.00,0,1
primary,history_gap_count,all_training,7272,7272,0,0.19953245324532453245324532453245324532453245324532,0.0,0.00,0.00,0,105
primary,price_state_falling,all_training,7272,7272,0,0.34062156215621562156215621562156215621562156215622,0.0,0.00,1.00,0,1
primary,price_state_short_rebound_in_decline,all_training,7272,7272,0,0.18275577557755775577557755775577557755775577557756,0.0,0.00,0.00,0,1
primary,price_state_nonnegative_short_and_medium,all_training,7272,7272,0,0.27887788778877887788778877887788778877887788778878,0.0,0.00,1.00,0,1
primary,price_state_short_pullback,all_training,7272,7272,0,0.19774477447744774477447744774477447744774477447745,0.0,0.00,0.00,0,1
primary,tdcc_400_change_sum,high,863,863,0,0.58789107763615295480880648899188876013904982618772,0.240,0.0200,0.7900,-8.94,18.83
primary,tdcc_1000_change_sum,high,863,863,0,0.58819235225955967555040556199304750869061413673233,0.090,0.000,0.7900,-4.71,21.69
primary,tdcc_400_up_weeks,high,863,863,0,1.7775202780996523754345307068366164542294322132097,2.0,1.00,2.00,0,3
primary,tdcc_1000_up_weeks,high,863,863,0,1.3962920046349942062572421784472769409038238702202,1.0,1.00,2.00,0,3
primary,tdcc_both_net_positive,high,863,863,0,0.42873696407879490150637311703360370799536500579374,0.0,0.00,1.00,0,1
primary,tdcc_both_up_count_ge2,high,863,863,0,0.35341830822711471610660486674391657010428736964079,0.0,0.00,1.00,0,1
primary,return_5d,high,863,863,0,-0.73653198146002317497103128621089223638470451911935,0.00000,-3.271000,2.706700,-79.4203,7.9926
primary,return_20d,high,863,863,0,-1.5465674391657010428736964078794901506373117033604,0.73260,-5.477800,6.961050,-90.3043,19.9336
primary,range_20obs_pct,high,863,863,0,31.982182235881576735528317997656227383813648721944,17.910447761194029850746268656716417910447761194030,11.860675589547482472912683237731038878266411727215,28.355855855855855855855855855855855855855855855855,3.7074148296593186372745490981963927855711422845700,1142.7184466019417475728155339805825242718446601942
primary,no_new_low_previous20obs,high,863,863,0,0.90845886442641946697566628041714947856315179606025,1.0,1.00,1.00,0,1
primary,history_gap_count,high,863,863,0,0.19466975666280417149478563151796060254924681344148,0.0,0.00,0.00,0,76
primary,price_state_falling,high,863,863,0,0.28505214368482039397450753186558516801853997682503,0.0,0.00,1.00,0,1
primary,price_state_short_rebound_in_decline,high,863,863,0,0.17497103128621089223638470451911935110081112398610,0.0,0.00,0.00,0,1
primary,price_state_nonnegative_short_and_medium,high,863,863,0,0.32560834298957126303592120509849362688296639629200,0.0,0.00,1.00,0,1
primary,price_state_short_pullback,high,863,863,0,0.21436848203939745075318655851680185399768250289687,0.0,0.00,0.00,0,1
primary,tdcc_400_change_sum,low,950,950,0,0.60470526315789473684210526315789473684210526315789,0.260,0.0200,0.8100,-5.09,35.84
primary,tdcc_1000_change_sum,low,950,950,0,0.53595789473684210526315789473684210526315789473684,0.050,0.000,0.6575,-4.31,41.88
primary,tdcc_400_up_weeks,low,950,950,0,1.7757894736842105263157894736842105263157894736842,2.0,1.00,2.00,0,3
primary,tdcc_1000_up_weeks,low,950,950,0,1.2821052631578947368421052631578947368421052631579,1.0,0.00,2.00,0,3
primary,tdcc_both_net_positive,low,950,950,0,0.41052631578947368421052631578947368421052631578947,0.0,0.00,1.00,0,1
primary,tdcc_both_up_count_ge2,low,950,950,0,0.32,0.0,0.00,1.00,0,1
primary,return_5d,low,950,950,0,-0.41498284210526315789473684210526315789473684210526,-0.20385,-3.114475,2.497400,-17.7832,7.9558
primary,return_20d,low,950,950,0,0.15248747368421052631578947368421052631578947368421,0.54505,-5.651825,8.463400,-84.7536,19.9495
primary,range_20obs_pct,low,950,950,0,24.666475331468704690080765829514714139567341313078,18.970740225952457322071349656081827577604333725365,13.099936701790966973228581003090441970436012957518,26.296248045857217300677436164669098488796248045855,4.2253521126760563380281690140845070422535211267600,877.09923664122137404580152671755725190839694656489
primary,no_new_low_previous20obs,low,950,950,0,0.92631578947368421052631578947368421052631578947368,1.0,1.00,1.00,0,1
primary,history_gap_count,low,950,950,0,0.14,0.0,0.00,0.00,0,76
primary,price_state_falling,low,950,950,0,0.28315789473684210526315789473684210526315789473684,0.0,0.00,1.00,0,1
primary,price_state_short_rebound_in_decline,low,950,950,0,0.18210526315789473684210526315789473684210526315789,0.0,0.00,0.00,0,1
primary,price_state_nonnegative_short_and_medium,low,950,950,0,0.31052631578947368421052631578947368421052631578947,0.0,0.00,1.00,0,1
primary,price_state_short_pullback,low,950,950,0,0.22421052631578947368421052631578947368421052631579,0.0,0.00,0.00,0,1
primary,tdcc_400_change_sum,middle,5459,5459,0,0.35953837699212309946876717347499542040666788789156,0.120,0.0100,0.4500,-6.5,33.27
primary,tdcc_1000_change_sum,middle,5459,5459,0,0.31728338523539109727056237406118336691701776882213,0.040,0.000,0.300,-7.26,35.9
primary,tdcc_400_up_weeks,middle,5459,5459,0,1.7710203333943945777614947792636013921963729620810,2.0,1.00,2.00,0,3
primary,tdcc_1000_up_weeks,middle,5459,5459,0,1.3174574097820113573914636380289430298589485253709,1.0,0.00,2.00,0,3
primary,tdcc_both_net_positive,middle,5459,5459,0,0.42864993588569335043048177321853819380838981498443,0.0,0.00,1.00,0,1
primary,tdcc_both_up_count_ge2,middle,5459,5459,0,0.32679978017952005861879465103498809305733650851804,0.0,0.00,1.00,0,1
primary,return_5d,middle,5459,5459,0,-0.60779884594248030774867191793368748855101666971973,-0.40360,-2.333850,1.399850,-25.7251,7.9855
primary,return_20d,middle,5459,5459,0,-1.2258225865543139769188496061549734383586737497710,-0.67110,-4.673700,3.400000,-88.6003,19.9377
primary,range_20obs_pct,middle,5459,5459,0,16.554093372784634756924192704829849627667796367956,12.097669256381798002219755826859045504994450610430,7.5192929553435038784295831928105223480865752772450,18.847670552243744474036787320253638321300520186380,0.6079027355623100303951367781155015197568389057800,847.61904761904761904761904761904761904761904761905
primary,no_new_low_previous20obs,middle,5459,5459,0,0.89192159736215424070342553581241985711668803810222,1.0,1.00,1.00,0,1
primary,history_gap_count,middle,5459,5459,0,0.21066129327715698845942480307748671917933687488551,0.0,0.00,0.00,0,105
primary,price_state_falling,middle,5459,5459,0,0.35940648470415827074555779446785125480857299871771,0.0,0.00,1.00,0,1
primary,price_state_short_rebound_in_decline,middle,5459,5459,0,0.18409965195090675947975819747206448067411613848690,0.0,0.00,0.00,0,1
primary,price_state_nonnegative_short_and_medium,middle,5459,5459,0,0.26598278072907125847224766440740062282469316724675,0.0,0.00,1.00,0,1
primary,price_state_short_pullback,middle,5459,5459,0,0.19051108261586371130243634365268364169261769554864,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_change_sum,all_training,7094,7094,0,0.40877643078658020862700873978009585565266422328729,0.130,0.0100,0.5300,-6.5,35.84
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_change_sum,all_training,7094,7094,0,0.36911756413870876797293487454186636594305046518184,0.040,0.000,0.3500,-7.26,41.88
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_up_weeks,all_training,7094,7094,0,1.7727657175077530307301945305892303354947843247815,2.0,1.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_up_weeks,all_training,7094,7094,0,1.3228080067662813645334085142373837045390470820412,1.0,0.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_net_positive,all_training,7094,7094,0,0.42571186918522695235410205807724837891175641387088,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_up_count_ge2,all_training,7094,7094,0,0.32943332393572032703693261911474485480687905272061,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,return_5d,all_training,7094,7094,0,-0.57291224978855370735833098393008175923315477868621,-0.36430,-2.457950,1.679100,-25.9091,7.9855
immutable_prior_candidate_exclusion_sensitivity,return_20d,all_training,7094,7094,0,-1.0742578658020862700873978009585565266422328728503,-0.49380,-4.870100,4.186425,-90.3043,19.9495
immutable_prior_candidate_exclusion_sensitivity,range_20obs_pct,all_training,7094,7094,0,18.868335911436872793586845661770410113872273304233,13.419387075283144570286475682878081279147235176550,8.3333333333333333333333333333333333333333333333300,21.002351097178683385579937304075235109717868338558,0.6079027355623100303951367781155015197568389057800,1142.7184466019417475728155339805825242718446601942
immutable_prior_candidate_exclusion_sensitivity,no_new_low_previous20obs,all_training,7094,7094,0,0.89780095855652664223287285029602480969833662249789,1.0,1.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,history_gap_count,all_training,7094,7094,0,0.18480405976881872004510854243022272342824922469693,0.0,0.00,0.00,0,105
immutable_prior_candidate_exclusion_sensitivity,price_state_falling,all_training,7094,7094,0,0.34310685085988159007612066535100084578517056667606,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_rebound_in_decline,all_training,7094,7094,0,0.18381731040315759797011559063997744572878488863829,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_nonnegative_short_and_medium,all_training,7094,7094,0,0.27741753594586974908373273188610093036368762334367,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,price_state_short_pullback,all_training,7094,7094,0,0.19565830279109106287003101212292077812235692134198,0.0,0.00,0.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_change_sum,high,692,692,0,0.53338150289017341040462427745664739884393063583815,0.220,0.0100,0.7425,-5.27,10.58
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_change_sum,high,692,692,0,0.55277456647398843930635838150289017341040462427746,0.080,0.000,0.7225,-4.71,12.4
immutable_prior_candidate_exclusion_sensitivity,tdcc_400_up_weeks,high,692,692,0,1.7817919075144508670520231213872832369942196531792,2.0,1.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_1000_up_weeks,high,692,692,0,1.4190751445086705202312138728323699421965317919075,1.0,1.00,2.00,0,3
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_net_positive,high,692,692,0,0.42341040462427745664739884393063583815028901734104,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,tdcc_both_up_count_ge2,high,692,692,0,0.36127167630057803468208092485549132947976878612717,0.0,0.00,1.00,0,1
immutable_prior_candidate_exclusion_sensitivity,return_5d,high,692,692,0,-0.52785216763005780346820809248554913294797687861272,0.00000,-3.167600,2.553650,-25.9091,7.9848
immutable_prior_candidate_exclusion_sensitivity,return_20d,high,692,692,0,-1.5359099710982658959537572254335260115606936416185,0.32855,-6.061950,6.114600,-90.3043,19.9336
immutable_prior_candidate_exclusion_sensitivity,range_20obs_pct,high,692,692,0,29.196890313490697438384078393493386809049225873220,17.059312638580931263858093126385809312638580931260,11.082105114495225779686338028479818520046870552100,26.826699095642641819676623732529460126061934776652,3.7074148296593186372745490981963927855711422845700,1142.7184466019417475728155339805825242718446601942
immutable_prior_candidate_exclusion_sensitivity,no_new_low_previous20obs,high,692,692,0,0.90173410404624277456647398843930635838150289017341,1.0,1.00,1.00,0,1
