event_id,stock_id,kind,holding_cutoff_date,effective_date,tradable_date,record_date,suspension_end,share_factor,cash_per_old_share,documents,source_sha256s
8422_share_exchange_20251117,8422,share_exchange,20251106,20251117,20251117,20251114,20251114,10,,twse_8422_20251021,f97a7cd9abd7d99751efe67ad49a96dcf6b0ee190fa10b1251b59d320b599cc0
5904_share_exchange_20260810,5904,share_exchange,20260730,20260810,20260810,20260807,20260807,10,,tpex_5904_20260714,f0f91641e67cf1a6320eccd11414a6d364dd7dbeca60d1f6e3b3e54d4fa77196
2380_share_exchange_20260629,2380,share_exchange,20260617,20260629,20260629,20260626,20260626,0.27658171,,twse_2380_20260522,2d970a454ac03c5ef94a0ca27882e9eef47715a4dd8b07a43c4ac362656bb807
