artifact_version,horizon,slippage,analysis_population,signal_count,event_count,stock_count,position_count,realized_count,immature_count,unresolved_count,immature_event_count,evidence_missing_event_count,conflict_event_count,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,average_net_return_pct,median_net_return_pct,tail_loss_pct,high_return_hit_count,high_return_hit_rate_pct,major_loss_count,major_loss_rate_pct,denominator,performance_status,status_counts,formal_use,trade_eligible,promotion_evidence_allowed
tdcc_stealth_accumulation_operation_replay_v3,5,0,primary,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,5,0,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,5,0.001,primary,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,5,0.001,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,5,0.002,primary,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,5,0.002,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,821,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0,primary,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0.001,primary,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0.001,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0.002,primary,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,10,0.002,excluding_anomaly_candidates_sensitivity,6821,5108,520,0,0,0,0,1260,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
tdcc_stealth_accumulation_operation_replay_v3,20,0,primary,6821,5108,520,0,0,0,0,1784,5108,429,0,0,0,,,,,,,0,,0,,all_realized_positions_in_this_horizon_slippage_population,unavailable_no_realized_verified_positions,"{""entry_after_as_of"":131,""entry_price_missing"":2,""feature_evidence_missing"":4546,""signature_conflict"":429}",False,False,False
