observation_id,model_id,model_name_zh,stock_id,stock_name,signal_date,snapshot_date,snapshot_row_number,category,horizon,entry_date,entry_open,exit_date,exit_close,gross_return_pct,same_stock_signal_rows,same_stock_signal_categories,snapshot_generated_at,pipeline_commit_time,generated_after_entry_open,pipeline_after_entry_open,enum_source_branch,enum_window_dates,selector_input_differences,source_sequence_rows,missing_stock_dates,missing_weekdays,disposition,retained_in_primary,formal_use,trade_eligible,promotion_evidence_allowed
d10_max_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,8261,富鼎,20260616,20260616,323,pattern,10,20260617,176.0,20260702,327.0,85.795455,1,pattern,2026-06-30 16:25:30 Asia/Taipei,2026-06-17T06:31:40Z,True,True,blank_candidate_enum_filled_from_trend_debug,"20260430,20260508,20260515",0,11,,20260619,unresolved_anomaly_candidate,True,False,False,False
d5_min_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,2492,華新科,20260709,20260709,243,revenue_pullback,5,20260713,473.5,20260720,277.0,-41.499472,1,revenue_pullback,2026-07-14 04:43:10 Asia/Taipei,2026-07-14T04:39:32+08:00,True,True,blank_candidate_enum_filled_from_trend_debug,"20260430,20260508,20260515",0,6,,20260710,unresolved_anomaly_candidate,True,False,False,False
d5_max_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,1447,力鵬,20260626,20260626,324,pattern,5,20260629,6.4,20260706,9.51,48.593750,1,pattern,2026-06-30 16:25:30 Asia/Taipei,2026-06-29T00:17:09Z,True,False,blank_candidate_enum_filled_from_trend_debug,"20260430,20260508,20260515",0,6,,,unresolved_anomaly_candidate,True,False,False,False
d10_min_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,3624,光頡,20260714,20260714,290,revenue_pullback,10,20260715,120.0,20260729,62.3,-48.083333,1,revenue_pullback,2026-07-15 18:16:06 Asia/Taipei,2026-07-15T06:14:00Z,True,True,blank_candidate_enum_filled_from_trend_debug,"20260430,20260508,20260515",0,11,,,unresolved_anomaly_candidate,True,False,False,False
d20_min_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,8358,金居,20260630,20260630,214,revenue_pullback,20,20260701,626.0,20260730,271.0,-56.709265,2,revenue_pullback;pullback_rebound,2026-07-01 13:49:33 Asia/Taipei,2026-07-01T13:29:39+08:00,True,True,blank_candidate_enum_filled_from_trend_debug,"20260430,20260508,20260515",0,21,,20260710,unresolved_anomaly_candidate,True,False,False,False
d20_max_observed_return,tdcc_stealth_accumulation,TDCC 潛伏吸籌,3653,健策,20260717,20260717,64,revenue_breakout_low_response,20,20260720,3175.0,20260817,5340.0,68.188976,1,revenue_breakout_low_response,2026-07-18 08:19:29 Asia/Taipei,2026-07-17T21:15:44Z,False,False,existing_candidate_enum_preserved,"20260618,20260626,20260703",0,21,,,unresolved_anomaly_candidate,True,False,False,False
