variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
baseline,20,0,purged_cross_split,primary,1287,1287,20,20,20286,20286,0,0,18989,6,0,0,4,1287,69,650,0,637,50.505050505050505,0.0,49.494949494949495,4.087382492208177,0.10814324962972333,20.97902097902098,8.158508158508159,-73.90747254929168,147.97257064576516,False,False
baseline,20,0,purged_cross_split,sensitivity_excluding_candidates,1218,1218,20,20,20286,20286,0,0,18989,6,0,0,4,1218,0,585,0,633,48.029556650246306,0.0,51.970443349753694,1.4994055810204887,-0.374566510429028,16.83087027914614,8.292282430213465,-32.6449135241796,34.48374593601378,False,False
baseline,20,10,purged_cross_split,primary,1287,1287,20,20,20286,20286,0,0,18989,6,0,0,4,1287,69,635,0,652,49.339549339549336,0.0,50.660450660450664,3.8794155462575834,-0.09187302059930709,20.82362082362082,8.624708624708624,-73.95960547127112,147.47712095416523,False,False
baseline,20,10,purged_cross_split,sensitivity_excluding_candidates,1218,1218,20,20,20286,20286,0,0,18989,6,0,0,4,1218,0,570,0,648,46.79802955665024,0.0,53.20197044334976,1.2966085310904667,-0.5736183255930061,16.666666666666664,8.784893267651888,-32.779489121533885,34.215047142934836,False,False
baseline,20,20,purged_cross_split,primary,1287,1287,20,20,20286,20286,0,0,18989,6,0,0,4,1287,69,620,0,667,48.174048174048174,0.0,51.82595182595182,3.671863525406515,-0.2914900567560241,20.51282051282051,8.857808857808857,-74.01163433552205,146.9826601841054,False,False
baseline,20,20,purged_cross_split,sensitivity_excluding_candidates,1218,1218,20,20,20286,20286,0,0,18989,6,0,0,4,1218,0,555,0,663,45.566502463054185,0.0,54.43349753694581,1.0942160815378021,-0.7722728317446806,16.338259441707716,9.0311986863711,-32.913796104921396,33.94688467479217,False,False
baseline,20,0,validation,primary,5066,1799,91,91,90098,90098,0,0,83724,31,30,1219,28,0,219,2133,0,2933,42.104224240031584,0.0,57.895775759968416,0.8897122444628687,-1.4064661588559164,15.35728385313857,16.640347414133437,-74.34915032555477,168.69143902371553,False,False
baseline,20,0,validation,sensitivity_excluding_candidates,4847,1777,91,91,90098,90098,0,0,83724,31,30,1219,28,0,0,1925,0,2922,39.715287806890856,0.0,60.28471219310914,-1.4550758915844904,-1.7452283780284628,11.759851454507944,17.16525685991335,-36.61698019187287,34.50377329951878,False,False
baseline,20,10,validation,primary,5066,1799,91,91,90098,90098,0,0,83724,31,30,1219,28,0,219,2080,0,2986,41.05803395183577,0.0,58.94196604816423,0.6881338500928177,-1.6034562364606,14.923016186340307,17.23253059613107,-74.40054277864668,168.15459299170013,False,False
baseline,20,10,validation,sensitivity_excluding_candidates,4847,1777,91,91,90098,90098,0,0,83724,31,30,1219,28,0,0,1872,0,2975,38.62182793480503,0.0,61.37817206519497,-1.6519698495076764,-1.941541608042392,11.30596245100062,17.784196410150606,-36.743619592088905,34.235034491727525,False,False
baseline,20,20,validation,primary,5066,1799,91,91,90098,90098,0,0,83724,31,30,1219,28,0,219,2021,0,3045,39.89340702724042,0.0,60.10659297275958,0.4869576609512064,-1.8000531202976093,14.626924595341492,17.666798262929333,-74.45183265199191,167.6188185086508,False,False
baseline,20,20,validation,sensitivity_excluding_candidates,4847,1777,91,91,90098,90098,0,0,83724,31,30,1219,28,0,0,1813,0,3034,37.404580152671755,0.0,62.59541984732825,-1.848470956428269,-2.137462995281842,10.996492675881989,18.238085413657934,-36.87000621905102,33.96683208874225,False,False
baseline,60,0,all,primary,5115,1886,165,165,210140,210140,0,0,203233,53,2,1704,33,1472,223,2258,0,2857,44.14467253176931,0.0,55.8553274682307,6.336342701839641,-1.8465908302890603,25.29814271749756,24.652981427174975,-87.7603623379398,413.7410335523276,False,False
baseline,60,0,all,sensitivity_excluding_candidates,4892,1878,164,164,210140,210140,0,0,203233,53,2,1704,33,1346,0,2038,0,2854,41.65985282093214,0.0,58.34014717906787,1.0552361569341038,-2.4619083316817374,21.954210956663943,25.71545380212592,-67.36567239509786,70.99523179469256,False,False
baseline,60,10,all,primary,5115,1886,165,165,210140,210140,0,0,203233,53,2,1704,33,1472,223,2229,0,2886,43.577712609970675,0.0,56.422287390029325,6.123883715662154,-2.04270153792085,25.200391006842622,25.12218963831867,-87.7848171584434,412.71457794083443,False,False
baseline,60,10,all,sensitivity_excluding_candidates,4892,1878,164,164,210140,210140,0,0,203233,53,2,1704,33,1346,0,2009,0,2883,41.067048242027795,0.0,58.9329517579722,0.8533275213879898,-2.6567896337163397,21.85200327064595,26.206050695012266,-67.4308758468559,70.65358297991796,False,False
