event_id,stock_id,stock_name,kind,entitlement_date,effective_date,tradable_date,scheduled_payment_date,actual_payment_date,share_factor,new_shares_per_old_share,cash_per_old_share,record_date,suspension_start,suspension_end,payment_confirmed,payment_confirmation_ref,document_ids,document_sha256s,source_availability,coverage_complete,formal_use,promotion_evidence_allowed,total_return_verified
4747_share_exchange_20260831,4747,強生,share_exchange,20260820,20260831,20260831,,,2,0,0,20260828,20260820,20260828,False,,tpex_4747_suspension_notice.html;tpex_4747_resumption_notice.html,5e707074b9fbd6823648dbffad8d399851d7ef6508667746881436d14ab08fc0;cda435fc7a711ef1978530491f6fcfb5a7ef41c31bf7c42f956e4fda84ed9575,retrospective_only,False,False,False,False
5386_stock_dividend_20260720,5386,青雲,stock_dividend,20260720,20260720,20260814,,,1,0.50000001386,0,20260726,,,False,,tpex_exdaily_20260720.json;tpex_5386_capital_detail.json,d6ef30477e5c23ecf1379ec67aebad92aee9ad37e059cd396a5d0665ffd0046f;891b7a76e09de72859b3db93f06720b1b073e324c443cb77d9f47d9eb9cf98dd,retrospective_only,False,False,False,False
5386_cash_dividend_20260720,5386,青雲,cash_dividend,20260720,20260720,,20260814,,1,0,1.5,20260726,,,False,,tpex_exdaily_20260720.json;mops_5386_distribution.json,d6ef30477e5c23ecf1379ec67aebad92aee9ad37e059cd396a5d0665ffd0046f;efa0a4ac3e72f4e311f1501fbb074e2c60975434a8cc5cad3bae5ed6e15fffc2,retrospective_only,False,False,False,False
6461_capital_reduction_20260909,6461,益得,share_exchange,20260902,20260909,20260909,,,0.618578,0,0,20260908,20260902,20260908,False,,tpex_6461_suspension_notice.html;tpex_revivt_20260909.json,0ade8ce633a477fe9a3f94e1a9f1d4402e66d3f61a1a2451922bdaa24e0e5b70;32952d53a54ffaf219f3b33780299ca15fd2a0d583d2055cf3402a28cc3fefaf,retrospective_only,False,False,False,False
6669_stock_dividend_20260902,6669,緯穎,stock_dividend,20260902,20260902,,,,1,1.98279460,0,20260908,,,False,,mops_6669_exright_schedule.json;mops_6669_stock_dividend_adjustment.json;mops_6669_fractional_current.json;mops_6669_distribution_record_notice_20260819.html,312075a32a13d68e79d3c0ff21129c31cbe2c8e0edee45f1a0b8c429f7311440;c8ea5b46d7eecf048e03089f97a74385cbb88090a2153753f6fbaa969c19f711;338083156d68b3642e94a31d49e58425848c715d812d67cd236aad9fdead7326;57068d16af54eccf4ce2b408d6c6935ead7fe66b581779f0876fffc328997bc7,retrospective_only,False,False,False,False
