variant,partition,slippage_bps,signal_date,stock_id,horizon,net_return_pct,reason,disposition,primary_row_retained,exclusion_allowed_only_as_sensitivity,entry_date,exit_date,represented_in_current_proxy_trade
baseline,training,10,20250910,3581,20,41.180441334540977775324798371996670620436504920177,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,3631,20,42.066786811463949883604189842478943748708883520312,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,3685,20,67.701729016683122951671150029598227531850894849253,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,3709,20,51.942569772391334257298295193509173273872451889328,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,4806,20,110.82447599522604909390076002641623479107668543413,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,4967,20,63.115232720630626440933709597602680394484682070524,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,6485,20,40.408455478397778129685432536991808711918025460307,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,8046,20,34.745904764847929988797885996632424881983584440011,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250910,8271,20,44.878781037263000777005800346759448837739224016782,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250911,20251014,True
baseline,training,10,20250911,1570,20,36.423649184527433023326375299813150875387188640802,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250912,20251015,True
baseline,training,10,20250911,3016,20,34.376692400646615405147603560981002980522597107798,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250912,20251015,True
baseline,training,10,20250911,8110,20,46.126011371429507728139320976670610585139524258423,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250912,20251015,True
baseline,training,10,20250912,3628,20,44.936788426183151510267826496168603884993307313155,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250915,20251016,True
baseline,training,10,20250912,4973,20,44.145742534595023571816547486595027340031746488395,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250915,20251016,True
baseline,training,10,20250912,8043,20,46.401318673758079184294196323107755894981466962447,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250915,20251016,True
baseline,training,10,20250915,6770,20,63.972402381199257415355358139831441846658398366332,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250916,20251017,True
baseline,training,10,20250918,3430,20,46.377111373659482732025108681335167367708108669606,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250919,20251022,True
baseline,training,10,20250919,1504,20,39.811628336092840675664292924406780085799658433994,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250922,20251023,True
baseline,training,10,20250923,8299,20,43.843888814854693428221200650439480156638156982715,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250924,20251028,True
baseline,training,10,20250924,8047,20,152.42022790292241618219746445847780857157201748512,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250925,20251029,True
baseline,training,10,20250925,2314,20,116.84316857816219723389739944372617587985248725007,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250926,20251030,True
baseline,training,10,20250926,2360,20,42.809993522451468472413230702089114001523703462939,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250930,20251031,True
baseline,training,10,20250926,4171,20,35.669927365828386432037279303681586505909911355494,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250930,20251031,True
baseline,training,10,20250926,4991,20,35.633999189247567050770519535394756743660398648670,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20250930,20251031,True
baseline,training,10,20251015,4764,20,69.846392205081919696221434887902967499711630850182,immutable_previous_candidate_retained,unresolved_anomaly_candidate,True,True,20251016,20251114,True
