profile,strategy,horizon,slippage_bps,partition,population,feature_name,outcome_group,samples,valid_samples,missing_samples,mean,median,q25,q75,minimum,maximum
full_available,baseline_4,20,0,all,primary,tdcc_400_change_sum,all_realized,13625,13625,0,0.44460697247706422018348623853211009174311926605505,0.160,0.0200,0.600,-8.94,35.84
full_available,baseline_4,20,0,all,primary,tdcc_1000_change_sum,all_realized,13625,13625,0,0.39847119266055045871559633027522935779816513761468,0.050,0.000,0.4400,-7.26,41.88
full_available,baseline_4,20,0,all,primary,tdcc_400_up_weeks,all_realized,13625,13625,0,1.7939082568807339449541284403669724770642201834862,2.0,1.00,2.00,0,3
full_available,baseline_4,20,0,all,primary,tdcc_1000_up_weeks,all_realized,13625,13625,0,1.3558165137614678899082568807339449541284403669725,1.0,1.00,2.00,0,3
full_available,baseline_4,20,0,all,primary,return_5d,all_realized,13625,13625,0,-0.83650257614678899082568807339449541284403669724771,-0.39220,-2.892600,1.872700,-86.6780,7.9926
full_available,baseline_4,20,0,all,primary,return_20d,all_realized,13625,13625,0,-1.0308477944954128440366972477064220183486238532110,-0.67110,-5.555600,4.406800,-90.3043,19.9643
full_available,baseline_4,20,0,all,primary,volume_ratio,all_realized,13625,13625,0,0.86141140550458715596330275229357798165137614678899,0.75880,0.501100,1.126800,0.0061,2.4952
full_available,baseline_4,20,0,all,primary,history_gap_count,all_realized,13625,13625,0,0.16102752293577981651376146788990825688073394495413,0.0,0.00,0.00,0,163
full_available,baseline_4,20,0,all,primary,w8_slope400_pp_per_week,all_realized,13625,12193,1432,0.020840905740132225831683415049071341059610048300928,0.016027248613455510007234145165179647938268627923800,-0.061577618847286495582667227597812368531762726125368,0.10463514519731943410275502606105733432613551749814,-3.9373523028695442488545936821798890764408005787316,4.4130323054331864904552129221732745961820851688693
full_available,baseline_4,20,0,all,primary,w8_slope1000_pp_per_week,all_realized,13625,12193,1432,0.020000222500471640186035063838025177607116348450760,0.0010014947683109118086696562032884902840059790732436,-0.041645624727905964301262516325642141924249020461471,0.079283819628647214854111405835543766578249336870027,-6.0964950980392156862745098039215686274509803921569,6.7445301027900146842878120411160058737151248164464
full_available,baseline_4,20,0,all,primary,w8_net400_pp,all_realized,13625,12193,1432,0.32455753301074386943328139096202739276634134339375,0.180,-0.2700,0.8400,-31.53,33.29
full_available,baseline_4,20,0,all,primary,w8_net1000_pp,all_realized,13625,12193,1432,0.29578282621176084638727138522102845895185762322644,0.030,-0.1600,0.6600,-44.45,47.44
full_available,baseline_4,20,0,all,primary,w8_last400_pp,all_realized,13625,12193,1432,0.24965061920774214713360124661691134257360780775855,0.050,0.0000,0.3400,-9.18,33.27
full_available,baseline_4,20,0,all,primary,w8_last1000_pp,all_realized,13625,12193,1432,0.21611088329369310259985237431313048470433855490855,0.010,0.0000,0.1700,-9.54,35.90
full_available,baseline_4,20,0,all,primary,w8_max_positive_share400,all_realized,13625,12108,1517,0.59342140734921497134611217081213378835028567964262,0.54575100612777317127429368819139684915161688272292,0.42105263157894736842105263157894736842105263157895,0.7500,0.16417910447761194029850746268656716417910447761194,1
