# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260306,46.58,0.04999999999999716,44.99,0.0,44.21,0.0,43.11,0.0,1,False,False,False,,

TDCC_WINDOW_ROW_002=20260313,46.54,-0.03999999999999915,44.99,0.0,44.21,0.0,43.11,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_003=20260320,45.99,-0.5499999999999972,44.99,0.0,44.21,0.0,43.11,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_004=20260327,46.5,0.509999999999998,44.99,0.0,44.21,0.0,43.11,0.0,1,False,False,False,,

TDCC_WINDOW_ROW_005=20260402,46.55,0.04999999999999716,44.99,0.0,44.21,0.0,43.11,0.0,2,False,False,False,,

TDCC_WINDOW_ROW_006=20260410,46.66,0.10999999999999943,44.99,0.0,44.21,0.0,43.11,0.0,3,False,False,False,,

TDCC_WINDOW_ROW_007=20260417,46.1,-0.5599999999999952,44.99,0.0,44.21,0.0,43.11,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_008=20260424,46.08,-0.020000000000003126,44.99,0.0,44.21,0.0,43.11,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_009=20260430,46.27,0.19000000000000483,45.24,0.25,44.46,0.25,43.36,0.25,1,True,True,True,,

TDCC_WINDOW_ROW_010=20260508,46.92,0.6499999999999986,45.41,0.1699999999999946,44.63,0.1700000000000017,43.53,0.1700000000000017,2,True,True,True,,

TDCC_WINDOW_ROW_011=20260515,47.09,0.1700000000000017,45.49,0.0800000000000054,44.71,0.0799999999999983,43.61,0.0799999999999983,3,True,True,True,,

TDCC_WINDOW_ROW_012=20260522,47.24,0.14999999999999858,45.65,0.1599999999999966,44.87,0.1599999999999966,43.77,0.1600000000000037,4,True,True,True,,
