as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260306,73.93,0.5800000000000125,72.52,0.28000000000000114,71.44,-0.07000000000000739,70.68,0.14000000000000057,3,False,True,False,,
20260313,73.03,-0.9000000000000057,71.81,-0.7099999999999937,71.04,-0.3999999999999915,70.38,-0.30000000000001137,0,False,False,False,,
20260320,72.54,-0.4899999999999949,71.3,-0.5100000000000051,70.47,-0.5700000000000074,69.6,-0.7800000000000011,0,False,False,False,,
20260327,72.05,-0.4900000000000091,70.8,-0.5,70.08,-0.39000000000000057,69.54,-0.05999999999998806,0,False,False,False,,
20260402,72.27,0.21999999999999886,71.28,0.480000000000004,70.38,0.29999999999999716,69.85,0.30999999999998806,1,True,True,True,,
20260410,72.72,0.45000000000000284,71.62,0.3400000000000034,70.88,0.5,70.04,0.19000000000001194,2,True,True,True,,
20260417,73.28,0.5600000000000023,72.22,0.5999999999999943,71.41,0.5300000000000011,70.45,0.4099999999999966,3,True,True,True,,
20260424,73.67,0.39000000000000057,72.6,0.37999999999999545,71.81,0.4000000000000057,70.82,0.36999999999999034,4,True,True,True,,
20260430,73.5,-0.1700000000000017,72.26,-0.3399999999999892,71.62,-0.18999999999999773,70.65,-0.1699999999999875,0,False,False,False,,
20260508,74.22,0.7199999999999989,72.93,0.6700000000000017,72.2,0.5799999999999983,71.55,0.8999999999999915,1,True,True,True,,
20260515,74.82,0.5999999999999943,73.7,0.769999999999996,72.98,0.7800000000000011,72.25,0.7000000000000028,2,True,True,True,,
20260522,74.94,0.12000000000000455,73.59,-0.10999999999999943,73.19,0.20999999999999375,72.35,0.09999999999999432,3,False,True,False,,
