# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260313,77.81,0.0799999999999983,73.72,0.0799999999999983,70.63,0.14999999999999147,66.89,0.15000000000000568,5,True,True,True,,

TDCC_WINDOW_ROW_002=20260320,77.8,-0.010000000000005116,73.71,-0.010000000000005116,70.73,0.10000000000000853,67.0,0.10999999999999943,6,False,True,False,,

TDCC_WINDOW_ROW_003=20260327,77.87,0.07000000000000739,73.78,0.07000000000000739,70.88,0.14999999999999147,67.15,0.15000000000000568,7,True,True,True,,

TDCC_WINDOW_ROW_004=20260402,77.93,0.060000000000002274,73.84,0.060000000000002274,70.94,0.060000000000002274,67.21,0.05999999999998806,8,True,True,True,,

TDCC_WINDOW_ROW_005=20260410,77.93,0.0,73.84,0.0,70.97,0.030000000000001137,67.24,0.030000000000001137,9,False,True,False,,

TDCC_WINDOW_ROW_006=20260417,78.06,0.12999999999999545,73.97,0.12999999999999545,71.06,0.09000000000000341,67.33,0.09000000000000341,10,True,True,True,,

TDCC_WINDOW_ROW_007=20260424,78.14,0.0799999999999983,74.05,0.0799999999999983,71.07,0.009999999999990905,67.34,0.010000000000005116,11,True,True,True,,

TDCC_WINDOW_ROW_008=20260430,78.16,0.01999999999999602,74.07,0.01999999999999602,71.08,0.010000000000005116,67.35,0.009999999999990905,12,True,True,True,,

TDCC_WINDOW_ROW_009=20260508,78.29,0.13000000000000966,74.2,0.13000000000000966,71.13,0.04999999999999716,67.4,0.05000000000001137,13,True,True,True,,

TDCC_WINDOW_ROW_010=20260515,78.34,0.04999999999999716,74.25,0.04999999999999716,71.19,0.060000000000002274,67.46,0.05999999999998806,14,True,True,True,,

TDCC_WINDOW_ROW_011=20260522,78.38,0.03999999999999204,74.29,0.04000000000000625,71.21,0.01999999999999602,67.48,0.020000000000010232,15,True,True,True,,

TDCC_WINDOW_ROW_012=20260529,78.46,0.0799999999999983,74.37,0.0799999999999983,71.24,0.030000000000001137,67.51,0.030000000000001137,16,True,True,True,,
