as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260306,70.08,0.14000000000000057,66.22,0.14000000000000057,60.97,0.14000000000000057,60.97,0.14000000000000057,14,True,True,True,,
20260313,70.3,0.21999999999999886,66.44,0.21999999999999886,61.2,0.23000000000000398,61.2,0.23000000000000398,15,True,True,True,,
20260320,70.38,0.0799999999999983,66.52,0.0799999999999983,61.28,0.0799999999999983,61.28,0.0799999999999983,16,True,True,True,,
20260327,70.41,0.030000000000001137,66.55,0.030000000000001137,61.31,0.030000000000001137,61.31,0.030000000000001137,17,True,True,True,,
20260402,70.42,0.010000000000005116,66.56,0.010000000000005116,61.32,0.00999999999999801,61.32,0.00999999999999801,18,True,True,True,,
20260410,70.44,0.01999999999999602,66.57,0.009999999999990905,61.33,0.00999999999999801,61.33,0.00999999999999801,19,True,True,True,,
20260417,70.47,0.030000000000001137,66.6,0.030000000000001137,61.34,0.010000000000005116,61.34,0.010000000000005116,20,True,True,True,,
20260424,70.47,0.0,66.6,0.0,61.35,0.00999999999999801,61.35,0.00999999999999801,21,False,True,False,,
20260430,70.5,0.030000000000001137,66.63,0.030000000000001137,61.37,0.01999999999999602,61.37,0.01999999999999602,22,True,True,True,,
20260508,70.53,0.030000000000001137,66.66,0.030000000000001137,61.39,0.020000000000003126,61.39,0.020000000000003126,23,True,True,True,,
20260515,70.66,0.12999999999999545,67.4,0.7400000000000091,61.41,0.01999999999999602,61.41,0.01999999999999602,24,True,True,True,,
20260522,70.67,0.010000000000005116,67.41,0.009999999999990905,61.43,0.020000000000003126,61.43,0.020000000000003126,25,True,True,True,,
