# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260313,30.52,0.5,28.14,0.490000000000002,26.72,0.46999999999999886,23.59,-0.6999999999999993,4,False,True,False,,

TDCC_WINDOW_ROW_002=20260320,30.21,-0.3099999999999987,27.47,-0.6700000000000017,25.57,-1.1499999999999986,23.02,-0.5700000000000003,0,False,False,False,,

TDCC_WINDOW_ROW_003=20260327,30.68,0.46999999999999886,28.25,0.7800000000000011,25.79,0.21999999999999886,23.84,0.8200000000000003,1,True,True,True,,

TDCC_WINDOW_ROW_004=20260402,30.47,-0.21000000000000085,28.35,0.10000000000000142,25.83,0.03999999999999915,23.88,0.03999999999999915,2,False,True,False,,

TDCC_WINDOW_ROW_005=20260410,30.48,0.010000000000001563,27.94,-0.41000000000000014,25.91,0.08000000000000185,23.96,0.08000000000000185,3,False,True,False,,

TDCC_WINDOW_ROW_006=20260417,29.65,-0.8300000000000018,27.4,-0.5400000000000027,26.38,0.46999999999999886,25.79,1.8299999999999983,4,False,True,False,,

TDCC_WINDOW_ROW_007=20260424,29.62,-0.029999999999997584,27.78,0.38000000000000256,26.38,0.0,25.79,0.0,5,False,False,False,,

TDCC_WINDOW_ROW_008=20260430,30.12,0.5,27.98,0.1999999999999993,26.61,0.23000000000000043,26.02,0.23000000000000043,6,True,True,True,,

TDCC_WINDOW_ROW_009=20260508,30.23,0.10999999999999943,28.84,0.8599999999999994,26.97,0.35999999999999943,26.38,0.35999999999999943,7,True,True,True,,

TDCC_WINDOW_ROW_010=20260515,30.82,0.5899999999999999,29.43,0.5899999999999999,27.53,0.5600000000000023,26.94,0.5600000000000023,8,True,True,True,,

TDCC_WINDOW_ROW_011=20260522,30.89,0.07000000000000028,29.51,0.08000000000000185,27.63,0.09999999999999787,27.04,0.09999999999999787,9,True,True,True,,

TDCC_WINDOW_ROW_012=20260529,31.34,0.4499999999999993,29.64,0.129999999999999,27.71,0.08000000000000185,27.12,0.08000000000000185,10,True,True,True,,
