as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,75.23,,73.8,,70.07,,64.76,,0,False,False,False,,
20260508,75.79,0.5600000000000023,73.79,-0.009999999999990905,70.06,-0.009999999999990905,64.75,-0.010000000000005116,1,False,False,False,,
20260515,75.82,0.029999999999986926,73.79,0.0,70.06,0.0,64.75,0.0,2,False,False,False,,
20260522,75.84,0.020000000000010232,73.79,0.0,70.06,0.0,64.75,0.0,3,False,False,False,,
