as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,74.76,,72.47,,70.36,,68.86,,0,False,False,False,,
20260508,73.75,-1.0100000000000051,71.12,-1.3499999999999943,69.17,-1.1899999999999977,67.59,-1.269999999999996,0,False,False,False,,
20260515,73.42,-0.3299999999999983,70.95,-0.1700000000000017,68.65,-0.519999999999996,66.8,-0.7900000000000063,0,False,False,False,,
20260522,75.33,1.9099999999999966,72.74,1.789999999999992,70.95,2.299999999999997,68.97,2.1700000000000017,1,True,True,True,,
